display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,females,males
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2019,000000,,0,0,15248266.963342912,24956378.952839203
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2020,000000,,0,0,15021021.20427063,24392266.370591424
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2021,000000,,0,0,15606210.532419406,25028509.91031069
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2022,000000,,0,0,16507759.30981346,26174684.011526093
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2023,000000,,0,0,16712988.7932169,26393026.83156374
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,7019.605292758923,8543.762404147681
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,7151.620023750178,8780.190735509857
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,7909.344607186045,9519.469894731143
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,8744.67411694272,10381.444977475772
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,8249.802592450777,9979.079591392418
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,135415.93438442433,225189.4935298896
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,133987.00214854872,220003.73856504672
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,138890.07752715683,226266.16798730585
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,142783.81781004433,230714.5391793407
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,142959.1286291837,231157.48293733568
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2019,000000,,0,0,8101.770459893876,17990.94734282393
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2020,000000,,0,0,7608.369878473305,16555.92977567765
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2021,000000,,0,0,7455.625502343845,16477.239279992158
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2022,000000,,0,0,7773.509876535196,17056.93985004955
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2023,000000,,0,0,7938.579301568061,17291.368226274702
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,25057.44167752682,55787.81827223331
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,23612.33373365523,52505.30664800627
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0,0,27860.452977227582,60403.50346526842
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,29367.134624289647,62482.79153094396
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,26098.66692688995,55255.8716564457
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2019,000000,,0,0,13545.649902299234,26266.571766705874
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2020,000000,,0,0,13081.823577404242,25235.97575134798
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2021,000000,,0,0,13553.242696787387,25604.908856644637
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2022,000000,,0,0,14157.91650051519,26561.111333768113
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2023,000000,,0,0,14202.87195831317,26374.611804618944
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,24962.936944648744,47673.33773072191
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2020,000000,,0,0,23989.971865690153,45048.82696752325
