display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,females,males
0,0,Tech Total,,,0,000,00000,United States,2019,000000,,0,0,1884929.4951212897,3634726.745255719
0,0,Tech Total,,,0,000,00000,United States,2020,000000,,0,0,1896568.73642281,3625634.0328318994
0,0,Tech Total,,,0,000,00000,United States,2021,000000,,0,0,1971455.43512299,3700191.4385953997
0,0,Tech Total,,,0,000,00000,United States,2022,000000,,0,0,2136916.22027386,3900952.9337492296
0,0,Tech Total,,,0,000,00000,United States,2023,000000,,0,0,2145378.6061040806,3899812.632061979
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,470.58450469828506,916.7333130693141
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,409.96140231380497,887.8348187173718
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,412.82261935216303,840.3992061115802
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,449.6168068537139,769.762418574643
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,435.05099710816586,759.48623578739
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,8533.477128233248,19114.72849583986
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,8755.898807947551,18998.68911569708
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,9005.79397638613,19134.396253123112
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,9292.769320285415,19164.962375817493
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,9153.577744580442,18708.78499941478
0,0,Tech Total,,,00,000,18020,Columbus MSA,2019,000000,,0,0,259.498529326947,701.434696719982
0,0,Tech Total,,,00,000,18020,Columbus MSA,2020,000000,,0,0,270.54242688049106,710.5808869816132
0,0,Tech Total,,,00,000,18020,Columbus MSA,2021,000000,,0,0,210.024811500986,628.898912805373
0,0,Tech Total,,,00,000,18020,Columbus MSA,2022,000000,,0,0,202.16282256594897,598.7337408336431
0,0,Tech Total,,,00,000,18020,Columbus MSA,2023,000000,,0,0,210.66495969106,617.7282612738101
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,583.1576819549409,620.1405439500801
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,513.3463968239499,589.6320481209319
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0,0,514.55812243583,590.094227373455
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,564.1653239174601,637.568287520107
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,534.0026556608659,690.9793719218419
0,0,Tech Total,,,00,000,21780,Evansville MSA,2019,000000,,0,0,664.898306993084,1453.820197428377
0,0,Tech Total,,,00,000,21780,Evansville MSA,2020,000000,,0,0,799.8384968783041,1563.569735508405
