display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,females,males
0,0,Total All Industries,,,0,000,00000,United States,2019,000000,,0,0,77907078.7373205,78728601.25534916
0,0,Total All Industries,,,18,000,00000,Indiana,2019,000000,,0,0,1592696.3078995775,1647323.5940994846
0,0,Total All Industries,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,39987.62253163921,36732.80708936004
0,0,Total All Industries,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,556561.3979355079,560565.3672715458
0,0,Total All Industries,,,00,000,18020,Columbus MSA,2019,000000,,0,0,23586.112293192895,29413.5918501406
0,0,Total All Industries,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,56381.24696340132,80381.20946312703
0,0,Total All Industries,,,00,000,21780,Evansville MSA,2019,000000,,0,0,70341.6379400775,70585.82215682308
0,0,Total All Industries,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,113093.55087919053,114267.23714108687
0,0,Total All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,000000,,0,0,539639.5981418282,533382.8220121142
0,0,Total All Industries,,,00,000,29020,Kokomo MSA,2019,000000,,0,0,19379.14449852865,20696.394351914947
0,0,Total All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2019,000000,,0,0,51340.1596863198,55144.53502681847
0,0,Total All Industries,,,00,000,31140,Louisville/Jefferson County MSA,2019,000000,,0,0,340465.19357390725,348714.7317160919
0,0,Total All Industries,,,00,000,33140,Michigan City-La Porte MSA,2019,000000,,0,0,21285.493277259036,20829.48428765949
0,0,Total All Industries,,,00,000,34620,Muncie MSA,2019,000000,,0,0,25244.83978801884,23225.059728077253
0,0,Total All Industries,,,00,000,43780,South Bend-Mishawaka MSA,2019,000000,,0,0,75762.12472577146,70324.68393207865
0,0,Total All Industries,,,00,000,45460,Terre Haute MSA,2019,000000,,0,0,34622.27356507821,35016.47036559425
0,0,Total All Industries,,,0,000,00000,United States,2020,000000,,0,0,72946437.32447593,74399191.51063986
0,0,Total All Industries,,,18,000,00000,Indiana,2020,000000,,0,0,1500870.4433345376,1573473.858387488
0,0,Total All Industries,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,37329.36614067041,34430.9565039975
0,0,Total All Industries,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,520201.2814961192,533398.9653181745
0,0,Total All Industries,,,00,000,18020,Columbus MSA,2020,000000,,0,0,21854.667857228113,27341.826170274435
0,0,Total All Industries,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,52535.59858417293,75845.95722258679
0,0,Total All Industries,,,00,000,21780,Evansville MSA,2020,000000,,0,0,66126.86965712589,66883.5674980789
0,0,Total All Industries,,,00,000,23060,Fort Wayne MSA,2020,000000,,0,0,107009.56220911405,109377.52183244543
0,0,Total All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2020,000000,,0,0,511192.3312096528,514657.06058162346
0,0,Total All Industries,,,00,000,29020,Kokomo MSA,2020,000000,,0,0,18107.044536920577,19618.354355345422
0,0,Total All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2020,000000,,0,0,49103.135919226894,52560.095143105675
