display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,asian,black,hawaiian,hispanic,white,aian,diversity,two_or_more
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2019,000000,,0,0,1372333.2094656376,2708815.989461194,41873.808213175966,3773817.5705399937,14991533.312501436,94401.69030996594,148.58503370821504,284320.83794289577
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2020,000000,,0,0,1350075.7585367218,2678183.057409645,41904.80933195521,3747552.195334568,14371036.807519305,90922.31638682402,149.05608539445302,294551.2661687164
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2021,000000,,0,0,1411428.3452082265,2798977.2562580355,43753.64362612951,3956089.7882712334,14657857.765286332,96454.21229816582,150.6309807293439,320223.24128998746
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2022,000000,,0,0,1508503.172776609,3040545.5599112613,47037.0559548376,4251798.01843103,15097726.404855598,103174.86881289011,154.294888256789,350747.41296982684
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2023,000000,,0,0,1544072.259677727,3069986.7547378484,48128.03855078465,4371962.900304434,15062445.367249465,105938.08562320186,157.0335108246712,360711.4884248477
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2019,000000,,0,0,257.08602306401104,360.03910117709506,4.63322655485,332.99034472527507,10617.777501974717,19.120643877132004,1108.3842961013506,134.514956702826
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2020,000000,,0,0,263.271527937273,369.32493952443804,3.52327788017,375.7791960206171,10624.694094119879,20.843861413335002,1179.5513500776829,146.808547302952
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2021,000000,,0,0,312.50135029980106,452.464655248294,5.000993600247,448.8480466385329,11894.170764612905,26.647148347259005,1419.4908740777748,174.028679945779
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2022,000000,,0,0,371.47220082461996,534.516552683028,11.94541118892,613.5214525378203,13259.531106131551,29.922654825849005,1785.007710212364,223.62943815236406
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2023,000000,,0,0,359.51599248410696,477.71825251280904,7.96353217858,623.8075240330639,12438.121411133905,26.914980751736,1700.385719138025,204.46543717815203
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,48380.24268556058,94861.63264412335,560.8245837016561,189085.9184245286,466116.92892382096,889.1937649169067,340533.1774807721,6755.365377919477
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,47990.70924004628,92625.03354677395,559.463147863531,187653.2852204628,445643.56433531456,889.4184847263627,336554.3237889135,6836.41414902074
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,50283.674787515476,92366.05097963681,576.6691156416061,192258.2784321963,447793.2010026782,958.8768566866147,344025.7647550022,7582.214583243952
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,51798.00668951434,104542.88898287962,634.6741910715357,201532.59942819318,450922.0419166762,1102.4641792527746,367900.77784796053,8290.144376940718
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,53113.50156977548,107497.73416129549,659.2044107385275,207938.32067708153,450811.33915958874,1192.683489725029,378940.3149647045,8538.870656147164
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,5798.413975669802,22875.362477194478,175.15418187019705,9272.756073535802,175926.5098108335,255.46336337349106,40639.57290901367,2262.4228373641718
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,5794.892783460406,22905.71252057268,210.7096683382701,9668.864227052243,169139.75750199484,262.67181705352203,41199.61145611364,2356.76043963498
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,6397.320879573912,24380.33614363556,249.57193457241095,11111.272257841958,174277.4470255701,281.97238665924,45132.29159578949,2711.8179934992104
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,6895.378525760674,25734.38287615592,271.61577196187415,12086.201844741938,178158.62107906965,323.42349411139594,48239.685166635914,2928.682653898639
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,7278.569736400475,26431.72745181771,279.96926602533,13519.222595804506,178152.67854747747,319.40236901074707,50947.18776646742,3118.2963473977306
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2019,000000,,0,0,1951.6650387595712,926.9074143835253,9.852131377528998,2206.0214110511956,17355.45599598897,30.682949283731997,5310.1143368686035,184.98539201185199
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2020,000000,,0,0,1813.7641998947022,832.8494702519018,9.562421873797,2063.223879978027,15921.933170819033,34.589891962874,4931.065817663487,177.07595370676296
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2021,000000,,0,0,1709.156765702019,793.8434918210188,9.800392559098,2318.1778912626223,15717.470184162186,32.263069627782,5067.383165878171,204.14155489985603
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2022,000000,,0,0,1698.876874977097,870.8218693889899,11.740625449077001,2793.4395004213347,16034.174481921125,34.556242065864005,5611.827090592244,202.3919782931211
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2023,000000,,0,0,1738.3160488265012,921.7217478125461,13.454966493398,3127.3472842826864,16021.773894888414,34.434202372423,6052.378849776015,217.10459998954
0,0,Manufacturing & Logistics Total,0,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,1193.105161173041,3797.2367095588324,50.771028359544005,13603.237816601608,55553.307954968295,157.192834045856,19592.38115473273,790.837605004438
0,0,Manufacturing & Logistics Total,0,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,1119.1836788206713,3553.80205576354,43.98072010708,13228.856117304756,51783.21288078254,151.99178732255604,18826.669645740632,728.8552864179261
0,0,Manufacturing & Logistics Total,0,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0,0,1360.5709572568517,4315.211834094991,53.448367368891006,15835.152344630194,59796.05413738053,200.11769821392699,22763.477660882323,998.9764593170328
0,0,Manufacturing & Logistics Total,0,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,1445.6810956008828,4648.727867850951,57.716531263198995,16984.867991788455,61398.31541118626,219.05936965144204,24495.829758412583,1139.7769022646874
0,0,Manufacturing & Logistics Total,0,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,1296.144290960176,3737.134910159265,50.895669655352016,15355.361180299311,53935.062575698066,180.90150391666796,21535.970740198925,915.5331852238697
0,0,Manufacturing & Logistics Total,0,,00,000,21780,Evansville MSA,2019,000000,,0,0,346.4618343244831,2203.1931898207454,26.096686400229,913.7049443711372,25292.369541399876,32.95399051686,3789.437030857848,267.02638542402497
0,0,Manufacturing & Logistics Total,0,,00,000,21780,Evansville MSA,2020,000000,,0,0,358.078155068639,2149.927151283451,28.914312083575997,934.604430979422,23979.427718704814,36.154549604736,3779.170950552314,271.492351531528
0,0,Manufacturing & Logistics Total,0,,00,000,21780,Evansville MSA,2021,000000,,0,0,372.7649318030461,2317.0854342236016,34.282717159960995,1059.3421471595361,24353.96247702688,36.582737352706,4148.661905285113,328.603937585172
0,0,Manufacturing & Logistics Total,0,,00,000,21780,Evansville MSA,2022,000000,,0,0,354.05860782480283,2585.2237683033723,43.169839718428996,1234.508611945186,25025.025525650268,40.673989331509,4624.35871809565,366.72390097190004
0,0,Manufacturing & Logistics Total,0,,00,000,21780,Evansville MSA,2023,000000,,0,0,382.756511038984,2591.8640929632297,50.086203192542,1440.0365238054214,24455.34899184435,44.058331874797,4883.28007960767,374.47841673381805
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,1528.6408634235909,4893.681395561364,23.204939622756,3376.0103326960784,45381.79664863723,149.641403108172,10598.347949845158,627.1690154318287
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,2020,000000,,0,0,1630.3066262381205,4475.8144925642255,26.425948180000997,3311.450575018881,42011.63493597199,142.13189709068297,10190.886807434035,604.7572683421629
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,2021,000000,,0,0,1932.9247307556282,4825.9707915454965,29.545702759478996,3644.903304241296,43600.46629318515,148.89633681368002,11277.6020025711,695.3611364508326
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,2022,000000,,0,0,2287.988735426218,5514.504277817391,31.830505847131004,4063.3763933264804,45569.57543545548,168.65989132618998,12888.73442533513,822.374621584928
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,2426.594880092569,5722.496596021467,41.595588433562995,4451.7438606199985,45703.930490038314,170.40782053873198,13722.546208934562,909.7074632270966
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,000000,,0,0,9276.03701832719,28574.254561433754,150.803551786361,13016.69494947199,150002.40621447255,361.3901072685429,53682.45624093718,2303.2760526710413
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2020,000000,,0,0,10130.87171545611,29159.09969785996,165.166581890446,13854.149245824143,145486.8270462004,356.77486067405187,56108.01119832745,2441.9490966154326
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,0,0,10776.079623767564,30426.70681982245,184.96870690414298,15155.712094073224,150974.7304786479,386.0564967164241,59689.168423922056,2759.6446825859207
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,11943.284647291972,34643.90769327245,215.60245689237797,17214.111536569853,156526.17827682092,435.8773526738721,67540.21744936159,3087.4337626389342
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,12732.576230379591,37046.08207334095,244.66449621273398,18784.2495069469,157611.91883999406,477.3807321329067,72517.51792502322,3232.564885984283
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,2019,000000,,0,0,281.71239809300596,1076.650307519083,1.28996885598,362.19586710224405,10939.814304834048,37.61762625106199,1890.1425313333607,130.67636351136198
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,2020,000000,,0,0,252.16452161961297,1049.5727715668443,2.3492353256080003,374.268640679974,10571.348186830744,35.967459247380006,1847.2203996329956,132.897771193577
