display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,naics,naics_title,group_by_sort,sort,jobs,grp
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2011,000000,,0,0,4242590.125062129,484564705128.0387
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,000000,,0,0,4630744.379839327,800168427650.6304
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,2013,000000,,0,0,209303.09323367281,18417805218.490997
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,2022,000000,,0,0,51625.96794352892,6558966512.399074
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2017,000000,,0,0,103146.43825036567,9672280800.020287
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,1103747.547416703,158021706560.389
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,76720.42962099695,6717933654.142481
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,2009,000000,,0,0,1000870.5580897062,89311302942.13112
0,0,Total - All Industries,,,18,000,00000,Indiana,2010,000000,,0,0,2869327.1033547996,245717445261.0576
0,0,Total - All Industries,,,00,000,45460,Terre Haute MSA,2019,000000,,0,0,69638.74393068987,6312079992.313936
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,2011,000000,,0,0,135968.61805810034,10735513003.549736
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,2018,000000,,0,0,42151.83302015819,3796764445.892818
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,2010,000000,,0,0,36603.54397887546,2912879544.604568
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,4630034.1588157,794939206316.4198
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,2007,000000,,0,0,1059157.5960859363,90524446890.96945
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,2021,000000,,0,0,49492.65266732369,5806896123.174873
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,2014,000000,,0,0,138068.3354221598,11166170882.287716
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,2015,000000,,0,0,42229.83772319992,3455968276.258455
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2009,000000,,0,0,90152.26827166123,6464495319.584282
0,0,Total - All Industries,,,0,000,00000,United States,2022,000000,,0,0,158151027.93738618,23238981654299.62
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,0,0,1061369.7464142162,142778475292.9461
