display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,jobs
0,0,Life Sciences Total,,,0,000,00000,United States,2019,000000,,0,0,2190004.03459947
0,0,Life Sciences Total,,,0,000,00000,United States,2020,000000,,0,0,2237576.17851282
0,0,Life Sciences Total,,,0,000,00000,United States,2021,000000,,0,0,2355576.28152765
0,0,Life Sciences Total,,,0,000,00000,United States,2022,000000,,0,0,2492100.6176198567
0,0,Life Sciences Total,,,0,000,00000,United States,2023,000000,,0,0,2530810.3456565617
0,0,Life Sciences Total,,,0,000,00000,United States,2024,000000,,0,0,2530772.276997455
0,0,Life Sciences Total,,,0,000,00000,United States,2025,000000,,0,0,2596258.383701639
0,0,Life Sciences Total,,,0,000,00000,United States,2026,000000,,0,0,2646969.545048723
0,0,Life Sciences Total,,,0,000,00000,United States,2027,000000,,0,0,2687211.2157687508
0,0,Life Sciences Total,,,0,000,00000,United States,2028,000000,,0,0,2719780.7455938174
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,7173.848531714039
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,7237.849109098851
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,8606.293539430133
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,10204.127799390339
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,9339.661597549066
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2024,000000,,0,0,8851.93079728776
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2025,000000,,0,0,9090.249556654135
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2026,000000,,0,0,9273.043191085872
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2027,000000,,0,0,9416.555525538124
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2028,000000,,0,0,9531.746117596647
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,73477.68355611214
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,74162.36862729937
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,75675.36510492
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,76293.56761762028
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,76272.27765424844
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,000000,,0,0,76816.2276624561
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2025,000000,,0,0,77059.42343396282
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2026,000000,,0,0,77160.06216543958
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2027,000000,,0,0,77159.0869028855
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2028,000000,,0,0,77083.22215773042
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,12027.928814163635
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,12444.171864267335
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,13662.887101386477
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,14829.677782323364
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,14580.329142936129
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2024,000000,,0,0,14520.429138642128
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2025,000000,,0,0,14868.074054665507
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2026,000000,,0,0,15129.538725515922
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2027,000000,,0,0,15329.662185813737
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2028,000000,,0,0,15485.091479612483
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2019,000000,,0,0,336.0627798367258
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2020,000000,,0,0,391.7726935474508
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2021,000000,,0,0,425.02293061418004
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2022,000000,,0,0,479.5410346742047
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2023,000000,,0,0,472.38593622527424
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2024,000000,,0,0,454.50989617555206
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2025,000000,,0,0,475.52262392211
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2026,000000,,0,0,492.0310281391708
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2027,000000,,0,0,505.32254635473015
0,0,Life Sciences Total,,,00,000,18020,Columbus MSA,2028,000000,,0,0,516.1889376042953
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,495.6544650324387
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,524.4374368625806
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0,0,490.17884797879555
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,391.16978988539654
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,467.8581942206884
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2024,000000,,0,0,452.5778591178272
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2025,000000,,0,0,460.11423764806585
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2026,000000,,0,0,465.5323007469237
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2027,000000,,0,0,469.3805927087077
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2028,000000,,0,0,472.01988413451096
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2019,000000,,0,0,1429.749988416925
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2020,000000,,0,0,1547.4736533009807
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2021,000000,,0,0,1673.1324373723896
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2022,000000,,0,0,1706.740835051922
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2023,000000,,0,0,1903.4738048251982
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2024,000000,,0,0,1976.3764781669913
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2025,000000,,0,0,2001.2432049024824
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2026,000000,,0,0,2018.2188946276503
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2027,000000,,0,0,2029.5177287654396
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2028,000000,,0,0,2036.6532157418117
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,1830.462811605009
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2020,000000,,0,0,1897.1466951609898
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2021,000000,,0,0,1795.543334264905
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2022,000000,,0,0,1841.446067783514
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,1969.9872025764425
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2024,000000,,0,0,2056.145764235554
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2025,000000,,0,0,2119.8199545444236
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2026,000000,,0,0,2169.1244236157754
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2027,000000,,0,0,2208.180688250535
0,0,Life Sciences Total,,,00,000,23060,Fort Wayne MSA,2028,000000,,0,0,2239.6455465907893
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,000000,,0,0,25826.169441012644
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2020,000000,,0,0,26283.727972562407
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,0,0,27466.709733625048
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,29047.136421645107
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,30688.462294868
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,000000,,0,0,31008.683831538376
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2025,000000,,0,0,31700.964571585395
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2026,000000,,0,0,32216.466093184612
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2027,000000,,0,0,32606.102558984596
