display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,postings
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2020,000000,,0,0,3850.0
0,0,Manufacturing & Logistics Total,0,,00,000,34620,Muncie MSA,2022,000000,,0,0,2737.0
0,0,Manufacturing & Logistics Total,0,,00,000,33140,Michigan City-La Porte MSA,2022,000000,,0,0,5993.0
0,0,Manufacturing & Logistics Total,0,,00,000,21780,Evansville MSA,2022,000000,,0,0,20306.0
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,2022,000000,,0,0,2487.0
0,0,Manufacturing & Logistics Total,0,,00,000,31140,Louisville/Jefferson County MSA,2021,000000,,0,0,98621.0
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,108863.0
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2019,000000,,0,0,11994342.0
0,0,Manufacturing & Logistics Total,0,,00,000,34620,Muncie MSA,2020,000000,,0,0,2951.0
0,0,Manufacturing & Logistics Total,0,,18,000,00000,Indiana,2020,000000,,0,0,318340.0
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2022,000000,,0,0,6887.0
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,434897.0
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2021,000000,,0,0,7265.0
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2020,000000,,0,0,11742894.0
0,0,Manufacturing & Logistics Total,0,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,0,0,16032.0
0,0,Manufacturing & Logistics Total,0,,00,000,33140,Michigan City-La Porte MSA,2019,000000,,0,0,3013.0
0,0,Manufacturing & Logistics Total,0,,00,000,33140,Michigan City-La Porte MSA,2021,000000,,0,0,5270.0
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,169774.0
0,0,Manufacturing & Logistics Total,0,,00,000,43780,South Bend-Mishawaka MSA,2021,000000,,0,0,17314.0
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,119252.0
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,2022,000000,,0,0,38420.0
0,0,Manufacturing & Logistics Total,0,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,14838.0
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,2021,000000,,0,0,3039.0
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2023,000000,,0,0,12127475.0
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,122924.0
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2023,000000,,0,0,5210.0
0,0,Manufacturing & Logistics Total,0,,00,000,21780,Evansville MSA,2023,000000,,0,0,17172.0
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,2019,000000,,0,0,4859.0
0,0,Manufacturing & Logistics Total,0,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,22778.0
0,0,Manufacturing & Logistics Total,0,,18,000,00000,Indiana,2019,000000,,0,0,279042.0
0,0,Manufacturing & Logistics Total,0,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,0,0,66621.0
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,2020,000000,,0,0,5549.0
0,0,Manufacturing & Logistics Total,0,,18,000,00000,Indiana,2022,000000,,0,0,449061.0
0,0,Manufacturing & Logistics Total,0,,00,000,31140,Louisville/Jefferson County MSA,2022,000000,,0,0,95876.0
0,0,Manufacturing & Logistics Total,0,,00,000,45460,Terre Haute MSA,2019,000000,,0,0,3173.0
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,2023,000000,,0,0,2567.0
0,0,Manufacturing & Logistics Total,0,,00,000,45460,Terre Haute MSA,2022,000000,,0,0,4302.0
0,0,Manufacturing & Logistics Total,0,,00,000,34620,Muncie MSA,2023,000000,,0,0,3289.0
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2021,000000,,0,0,11208.0
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2021,000000,,0,0,16296649.0
0,0,Manufacturing & Logistics Total,0,,00,000,31140,Louisville/Jefferson County MSA,2019,000000,,0,0,78489.0
0,0,Manufacturing & Logistics Total,0,,00,000,21780,Evansville MSA,2020,000000,,0,0,11018.0
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,000000,,0,0,138894.0
0,0,Manufacturing & Logistics Total,0,,00,000,45460,Terre Haute MSA,2023,000000,,0,0,4490.0
0,0,Manufacturing & Logistics Total,0,,00,000,21780,Evansville MSA,2021,000000,,0,0,18030.0
0,0,Manufacturing & Logistics Total,0,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,12664.0
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2022,000000,,0,0,6782.0
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,25472.0
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2020,000000,,0,0,7119.0
0,0,Manufacturing & Logistics Total,0,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,8016.0
0,0,Manufacturing & Logistics Total,0,,00,000,43780,South Bend-Mishawaka MSA,2019,000000,,0,0,8756.0
0,0,Manufacturing & Logistics Total,0,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,0,0,5590.0
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,28021.0
0,0,Manufacturing & Logistics Total,0,,00,000,21780,Evansville MSA,2019,000000,,0,0,10724.0
0,0,Manufacturing & Logistics Total,0,,00,000,34620,Muncie MSA,2019,000000,,0,0,1860.0
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,610072.0
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,2020,000000,,0,0,30445.0
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2019,000000,,0,0,3324.0
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,36746.0
0,0,Manufacturing & Logistics Total,0,,00,000,34620,Muncie MSA,2021,000000,,0,0,4367.0
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,429323.0
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,172505.0
0,0,Manufacturing & Logistics Total,0,,00,000,31140,Louisville/Jefferson County MSA,2020,000000,,0,0,72207.0
0,0,Manufacturing & Logistics Total,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,0,0,172424.0
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,112151.0
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,440517.0
0,0,Manufacturing & Logistics Total,0,,18,000,00000,Indiana,2023,000000,,0,0,346137.0
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,2019,000000,,0,0,1417.0
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,183654.0
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,615081.0
1,1,Manufacturing,0,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,1,1,74367.0
