cicp_initiative,geo_area,statefips,countyfips,metrofips,year,jobs,STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2021,3183.3656179040872,STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2023,15078.911546888592,Non-STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2025,14903.619072173184,Non-STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2019,181063.72324354073,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2019,1239593.7888496,Non-STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2020,174464.3706892364,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2028,1278893.8141809183,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2020,49223.45622222136,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2020,309068.72906844725,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2024,328490.32955390797,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2027,52224.65479974609,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2019,5151.746690819172,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2023,4888.838521809347,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2028,20243.434031750974,Non-STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2020,3434.099966288669,STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2023,77368.26194137747,Non-STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2024,3610.4045999060263,STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2026,73185.392682392,Non-STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2027,3705.4395611846,STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2028,71596.65836745231,Non-STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2019,35868.8613355048,Non-STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2020,3614.3548435352586,STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2022,3656.2998673935876,STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2024,36743.4002594563,Non-STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2025,3661.1094422322476,STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2028,37613.43319441263,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2020,61793.33109871236,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2021,64889.78315295756,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2022,68719.99182727945,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2023,69380.21059055219,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2024,69602.51691037786,Non-STEM
Advanced and Traded Industries,Indiana,18,000,00000,2019,108592.11389025478,STEM
Advanced and Traded Industries,Indiana,18,000,00000,2019,941121.7477083242,Non-STEM
Advanced and Traded Industries,Indiana,18,000,00000,2022,997773.4575900753,Non-STEM
Advanced and Traded Industries,Indiana,18,000,00000,2024,112538.50685828908,STEM
Advanced and Traded Industries,Indiana,18,000,00000,2024,995793.0352065389,Non-STEM
Advanced and Traded Industries,Indiana,18,000,00000,2025,1009157.8576484952,Non-STEM
Advanced and Traded Industries,Indiana,18,000,00000,2026,118459.80334512892,STEM
Advanced and Traded Industries,Indiana,18,000,00000,2027,120615.200396458,STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2026,47137.622602310206,STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2027,47983.94025414323,STEM
