sector,statefips,countyfips,metro,geo_area,year,own,disc,naics,repunits,empl,wages
Total - All Industries,0 ,000,00000,United States,2019,0,0,00,10233822.0,148105091.66,8769108878915.0
Total - All Industries,0 ,000,00000,United States,2020,0,0,00,10487687.0,139103773.25,8905606771748.0
Total - All Industries,0 ,000,00000,United States,2021,0,0,00,10909076.0,143780068.41,9720962278782.0
Total - All Industries,0 ,000,00000,United States,2022,0,0,00,11519312.0,150025655.41,10499737035094.0
Total - All Industries,0 ,000,00000,United States,2023,0,0,00,11866306.0,153140899.25,11081267615470.0
Total - All Industries,0 ,000,00000,United States,2024,0,0,00,12100994.0,154870300.16,11708890534015.0
Total - All Industries,18,000,00000,Indiana,2019,0,0,00,168916.0,3077766.75,150173157764.0
Total - All Industries,18,000,00000,Indiana,2020,0,0,00,172647.0,2918791.75,151652077962.0
Total - All Industries,18,000,00000,Indiana,2021,0,0,00,178700.0,3010658.0,165490502583.0
Total - All Industries,18,000,00000,Indiana,2022,0,0,00,186186.0,3113419.41,180739411695.0
Total - All Industries,18,000,00000,Indiana,2023,0,0,00,189259.0,3157809.25,188413486946.0
Total - All Industries,18,000,00000,Indiana,2024,0,0,00,192804.0,3178225.0,199385161408.0
Total - All Industries,18,000,14020,Bloomington,2019,0,0,00,3366.0,69420.66,3163737075.0
Total - All Industries,18,000,14020,Bloomington,2020,0,0,00,3430.0,66931.57,3323640186.0
Total - All Industries,18,000,14020,Bloomington,2021,0,0,00,3486.0,68952.49,3624021893.0
Total - All Industries,18,000,14020,Bloomington,2022,0,0,00,3636.0,71991.07,3940018343.0
Total - All Industries,18,000,14020,Bloomington,2023,0,0,00,3704.0,72553.74,4086084094.0
Total - All Industries,18,000,14020,Bloomington,2024,0,0,00,3787.0,72494.41,4261486329.0
Total - All Industries,18,000,16980,Chicago-Naperville-Elgin,2019,0,0,00,250141.0,4478574.29,291069003263.0
Total - All Industries,18,000,16980,Chicago-Naperville-Elgin,2020,0,0,00,249788.0,4131496.12,289672299215.0
Total - All Industries,18,000,16980,Chicago-Naperville-Elgin,2021,0,0,00,252032.0,4208038.31,312309913099.0
Total - All Industries,18,000,16980,Chicago-Naperville-Elgin,2022,0,0,00,252993.0,4359531.14,333247857285.0
Total - All Industries,18,000,16980,Chicago-Naperville-Elgin,2023,0,0,00,253392.0,4436484.38,346410212397.0
Total - All Industries,18,000,16980,Chicago-Naperville-Elgin,2024,0,0,00,255475.0,4447536.71,358458273865.0
Total - All Industries,18,000,17140,Cincinnati,2019,0,0,00,1432.0,20024.16,745226124.0
Total - All Industries,18,000,17140,Cincinnati,2020,0,0,00,1480.0,18915.9,776939368.0
Total - All Industries,18,000,17140,Cincinnati,2021,0,0,00,1508.0,19260.83,810430636.0
Total - All Industries,18,000,17140,Cincinnati,2022,0,0,00,1580.0,19951.49,882519324.0
Total - All Industries,18,000,17140,Cincinnati,2023,0,0,00,1637.0,20321.99,933735211.0
Total - All Industries,18,000,17140,Cincinnati,2024,0,0,00,1664.0,19758.57,968166545.0
Total - All Industries,18,000,18020,Columbus,2019,0,0,00,1921.0,51231.0,2932331891.0
Total - All Industries,18,000,18020,Columbus,2020,0,0,00,1970.0,47571.0,2775258925.0
Total - All Industries,18,000,18020,Columbus,2021,0,0,00,1990.0,47909.33,2950987032.0
Total - All Industries,18,000,18020,Columbus,2022,0,0,00,2061.0,49770.08,3259073138.0
Total - All Industries,18,000,18020,Columbus,2023,0,0,00,2091.0,50375.91,3408057238.0
Total - All Industries,18,000,18020,Columbus,2024,0,0,00,2125.0,50176.66,3683448440.0
Total - All Industries,18,000,21140,Elkhart-Goshen,2019,0,0,00,4752.0,132986.75,6412392135.0
Total - All Industries,18,000,21140,Elkhart-Goshen,2020,0,0,00,4832.0,124783.33,6562600302.0
Total - All Industries,18,000,21140,Elkhart-Goshen,2021,0,0,00,4923.0,137343.83,8408641817.0
Total - All Industries,18,000,21140,Elkhart-Goshen,2022,0,0,00,5062.0,141287.5,8880816844.0
Total - All Industries,18,000,21140,Elkhart-Goshen,2023,0,0,00,5201.0,131336.75,7806251696.0
Total - All Industries,18,000,21140,Elkhart-Goshen,2024,0,0,00,5308.0,127072.75,7895369684.0
Total - All Industries,18,000,21780,Evansville,2019,0,0,00,6451.0,134447.4,6457941426.0
Total - All Industries,18,000,21780,Evansville,2020,0,0,00,6583.0,126881.5,6388103431.0
Total - All Industries,18,000,21780,Evansville,2021,0,0,00,6666.0,129381.83,6723236681.0
Total - All Industries,18,000,21780,Evansville,2022,0,0,00,6908.0,132463.57,7164994157.0
Total - All Industries,18,000,21780,Evansville,2023,0,0,00,7078.0,133688.15,7445785983.0
Total - All Industries,18,000,21780,Evansville,2024,0,0,00,7200.0,133900.74,7774132823.0
Total - All Industries,18,000,23060,Fort Wayne,2019,0,0,00,10298.0,214934.83,10073635304.0
Total - All Industries,18,000,23060,Fort Wayne,2020,0,0,00,10589.0,204406.65,10203180393.0
Total - All Industries,18,000,23060,Fort Wayne,2021,0,0,00,10827.0,210399.32,11133189690.0
Total - All Industries,18,000,23060,Fort Wayne,2022,0,0,00,11313.0,218788.91,12072633210.0
Total - All Industries,18,000,23060,Fort Wayne,2023,0,0,00,11635.0,221799.32,12636426428.0
Total - All Industries,18,000,23060,Fort Wayne,2024,0,0,00,12013.0,223085.99,13274986761.0
