display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,jobs
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2019,000000,,0,0,23267096.41843372
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2020,000000,,0,0,22574226.21068435
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2021,000000,,0,0,23284784.25223614
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2022,000000,,0,0,24399532.49371398
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2023,000000,,0,0,24563244.89456016
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2024,000000,,0,0,24508016.267702457
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2025,000000,,0,0,24913594.34682966
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2026,000000,,0,0,25215959.670209665
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2027,000000,,0,0,25443641.413497154
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2028,000000,,0,0,25618107.082252663
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2019,000000,,0,0,11726.161798074503
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2020,000000,,0,0,11804.245444208922
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2021,000000,,0,0,13313.661638699008
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2022,000000,,0,0,15044.538816338956
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2023,000000,,0,0,14138.507130270486
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2024,000000,,0,0,13489.74052992187
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2025,000000,,0,0,13802.623748191445
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2026,000000,,0,0,14039.16355650069
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2027,000000,,0,0,14221.084837525403
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2028,000000,,0,0,14363.094652831884
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,806650.1064046635
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,782197.8881244421
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,791818.9657578124
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,818822.8197645189
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,829751.6541243145
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,000000,,0,0,829021.0175388835
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2025,000000,,0,0,834805.8300338815
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2026,000000,,0,0,838538.1319933682
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2027,000000,,0,0,840808.4024184347
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2028,000000,,0,0,842013.8803507941
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,216566.0827197739
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,210339.368958184
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,219409.73862128318
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,226398.30624573588
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,229099.86631390732
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2024,000000,,0,0,228592.9719642588
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2025,000000,,0,0,231838.5681153415
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2026,000000,,0,0,234099.34506751725
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2027,000000,,0,0,235658.0297040181
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2028,000000,,0,0,236701.19128377267
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2019,000000,,0,0,22665.570332857227
