display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,naics,naics_title,group_by_sort,sort,posting_hourly_wage
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2023,000000,,0,0,24.6354643437173
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,27.58696392103512
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,25.72016167953399
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,23.208442540324857
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2023,000000,,0,0,26.182684339140824
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,22.586888379205188
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2023,000000,,0,0,26.406879834546736
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,24.00092387451386
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,24.6831497668965
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,26.07298521565099
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,29.136739472810486
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,0,0,22.998681346944903
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,0,0,23.87917613636091
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2023,000000,,0,0,26.18431267805931
0,0,Total Advanced and Traded Industries,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,0,0,25.182203907201824
0,0,Total Advanced and Traded Industries,,,00,000,45460,Terre Haute MSA,2023,000000,,0,0,28.26569998236151
0,0,Total Advanced and Traded Industries,,,18,000,00000,Indiana,2023,000000,,0,0,22.76839899178486
1,1,Manufacturing,,,0,000,00000,United States,2023,000000,,1,1,23.90026833631424
1,1,Manufacturing,,,00,000,14020,Bloomington MSA,2023,000000,,1,1,28.60268857356506
1,1,Manufacturing,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,1,1,25.209241766294735
1,1,Manufacturing,,,00,000,17140,Cincinnati MSA,2023,000000,,1,1,23.12794452432553
1,1,Manufacturing,,,00,000,18020,Columbus MSA,2023,000000,,1,1,24.78299132270122
1,1,Manufacturing,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,1,1,22.090729460330877
1,1,Manufacturing,,,00,000,21780,Evansville MSA,2023,000000,,1,1,26.435873868775634
1,1,Manufacturing,,,00,000,23060,Fort Wayne MSA,2023,000000,,1,1,23.451099156423155
1,1,Manufacturing,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,1,1,24.78735517199837
1,1,Manufacturing,,,00,000,29020,Kokomo MSA,2023,000000,,1,1,25.401330347732884
1,1,Manufacturing,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,1,1,27.666109913791637
1,1,Manufacturing,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,1,1,22.706192985699452
1,1,Manufacturing,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,1,1,23.08842290521519
1,1,Manufacturing,,,00,000,34620,Muncie MSA,2023,000000,,1,1,25.19797346640797
1,1,Manufacturing,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,1,1,24.779740254086423
1,1,Manufacturing,,,00,000,45460,Terre Haute MSA,2023,000000,,1,1,27.668640109896195
1,1,Manufacturing,,,18,000,00000,Indiana,2023,000000,,1,1,22.132648343545146
1,2,Logistics,,,0,000,00000,United States,2023,000000,,1,1,22.61410256410521
1,2,Logistics,,,00,000,14020,Bloomington MSA,2023,000000,,1,1,25.126883669607217
1,2,Logistics,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,1,1,23.022596153846887
1,2,Logistics,,,00,000,17140,Cincinnati MSA,2023,000000,,1,1,21.106244885436485
1,2,Logistics,,,00,000,18020,Columbus MSA,2023,000000,,1,1,27.96804887820416
1,2,Logistics,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,1,1,21.907990249188728
1,2,Logistics,,,00,000,21780,Evansville MSA,2023,000000,,1,1,23.89572520852169
1,2,Logistics,,,00,000,23060,Fort Wayne MSA,2023,000000,,1,1,22.19651162790349
1,2,Logistics,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,1,1,22.165719063543484
1,2,Logistics,,,00,000,29020,Kokomo MSA,2023,000000,,1,1,28.93824383164151
1,2,Logistics,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,1,1,28.086298076917736
1,2,Logistics,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,1,1,21.216878068740435
1,2,Logistics,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,1,1,23.090237940025432
1,2,Logistics,,,00,000,34620,Muncie MSA,2023,000000,,1,1,26.62652815933893
1,2,Logistics,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,1,1,23.638408771101222
1,2,Logistics,,,00,000,45460,Terre Haute MSA,2023,000000,,1,1,28.070905172413966
1,2,Logistics,,,18,000,00000,Indiana,2023,000000,,1,1,22.08927125506001
1,3,Advanced and Traded Services,,,0,000,00000,United States,2023,000000,,1,1,30.15346628679631
1,3,Advanced and Traded Services,,,00,000,14020,Bloomington MSA,2023,000000,,1,1,28.319951923075806
1,3,Advanced and Traded Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,1,1,31.068186134849377
1,3,Advanced and Traded Services,,,00,000,17140,Cincinnati MSA,2023,000000,,1,1,25.96704059829136
1,3,Advanced and Traded Services,,,00,000,18020,Columbus MSA,2023,000000,,1,1,26.752828054297847
1,3,Advanced and Traded Services,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,1,1,24.7863979289923
1,3,Advanced and Traded Services,,,00,000,21780,Evansville MSA,2023,000000,,1,1,29.259148158171836
1,3,Advanced and Traded Services,,,00,000,23060,Fort Wayne MSA,2023,000000,,1,1,27.83740871470254
1,3,Advanced and Traded Services,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,1,1,27.12820512820123
1,3,Advanced and Traded Services,,,00,000,29020,Kokomo MSA,2023,000000,,1,1,23.885157528640857
1,3,Advanced and Traded Services,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,1,1,33.501931980061116
1,3,Advanced and Traded Services,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,1,1,26.2330048076925
1,3,Advanced and Traded Services,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,1,1,26.636558084771433
1,3,Advanced and Traded Services,,,00,000,34620,Muncie MSA,2023,000000,,1,1,27.168696581185177
1,3,Advanced and Traded Services,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,1,1,28.056012820518674
1,3,Advanced and Traded Services,,,00,000,45460,Terre Haute MSA,2023,000000,,1,1,29.61096153846728
1,3,Advanced and Traded Services,,,18,000,00000,Indiana,2023,000000,,1,1,26.225641025638264
2,1,Manufacturing,3111,Animal Food Manufacturing,0,000,00000,United States,2023,3111,Animal Food Manufacturing,2,2,20.6769230769
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,14020,Bloomington MSA,2023,3111,Animal Food Manufacturing,2,2,
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,16980,Chicago-Naperville-Elgin MSA,2023,3111,Animal Food Manufacturing,2,2,18.8307692308
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,17140,Cincinnati MSA,2023,3111,Animal Food Manufacturing,2,2,22.1538461538
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,18020,Columbus MSA,2023,3111,Animal Food Manufacturing,2,2,
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,21140,Elkhart-Goshen MSA,2023,3111,Animal Food Manufacturing,2,2,19.50769230765
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,21780,Evansville MSA,2023,3111,Animal Food Manufacturing,2,2,19.8153846154
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,23060,Fort Wayne MSA,2023,3111,Animal Food Manufacturing,2,2,20.39615384615
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,3111,Animal Food Manufacturing,2,2,30.83076923075
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,29020,Kokomo MSA,2023,3111,Animal Food Manufacturing,2,2,
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,29200,Lafayette-West Lafayette MSA,2023,3111,Animal Food Manufacturing,2,2,19.9519230769
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,31140,Louisville/Jefferson County MSA,2023,3111,Animal Food Manufacturing,2,2,23.52307692305
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,33140,Michigan City-La Porte MSA,2023,3111,Animal Food Manufacturing,2,2,19.0
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,43780,South Bend-Mishawaka MSA,2023,3111,Animal Food Manufacturing,2,2,25.87884615385
2,1,Manufacturing,3111,Animal Food Manufacturing,00,000,45460,Terre Haute MSA,2023,3111,Animal Food Manufacturing,2,2,29.1028846154
2,1,Manufacturing,3111,Animal Food Manufacturing,18,000,00000,Indiana,2023,3111,Animal Food Manufacturing,2,2,23.8153846154
2,1,Manufacturing,3112,Grain and Oilseed Milling,0,000,00000,United States,2023,3112,Grain and Oilseed Milling,2,2,21.989743589749995
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,14020,Bloomington MSA,2023,3112,Grain and Oilseed Milling,2,2,
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,16980,Chicago-Naperville-Elgin MSA,2023,3112,Grain and Oilseed Milling,2,2,21.825641025649997
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,17140,Cincinnati MSA,2023,3112,Grain and Oilseed Milling,2,2,22.543589743566667
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,21140,Elkhart-Goshen MSA,2023,3112,Grain and Oilseed Milling,2,2,17.0461538462
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,21780,Evansville MSA,2023,3112,Grain and Oilseed Milling,2,2,16.4375
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,23060,Fort Wayne MSA,2023,3112,Grain and Oilseed Milling,2,2,25.3125
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,3112,Grain and Oilseed Milling,2,2,27.369230769225002
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,29020,Kokomo MSA,2023,3112,Grain and Oilseed Milling,2,2,14.0
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,29200,Lafayette-West Lafayette MSA,2023,3112,Grain and Oilseed Milling,2,2,28.6769230769
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,31140,Louisville/Jefferson County MSA,2023,3112,Grain and Oilseed Milling,2,2,18.94615384615
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,33140,Michigan City-La Porte MSA,2023,3112,Grain and Oilseed Milling,2,2,21.6
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,34620,Muncie MSA,2023,3112,Grain and Oilseed Milling,2,2,14.0
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,43780,South Bend-Mishawaka MSA,2023,3112,Grain and Oilseed Milling,2,2,18.640384615400002
2,1,Manufacturing,3112,Grain and Oilseed Milling,00,000,45460,Terre Haute MSA,2023,3112,Grain and Oilseed Milling,2,2,16.2259615385
2,1,Manufacturing,3112,Grain and Oilseed Milling,18,000,00000,Indiana,2023,3112,Grain and Oilseed Milling,2,2,22.20307692308
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,0,000,00000,United States,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,21.61846153846
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,14020,Bloomington MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,16980,Chicago-Naperville-Elgin MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,23.76615384616
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,17140,Cincinnati MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,18.923076923074998
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,18020,Columbus MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,21140,Elkhart-Goshen MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,21780,Evansville MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,23060,Fort Wayne MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,15.67884615385
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,19.532692307675
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,29200,Lafayette-West Lafayette MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,16.0
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,31140,Louisville/Jefferson County MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,16.411899038475
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,33140,Michigan City-La Porte MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,34620,Muncie MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,43780,South Bend-Mishawaka MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,16.0
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,00,000,45460,Terre Haute MSA,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,
2,1,Manufacturing,3113,Sugar and Confectionery Product Manufacturing,18,000,00000,Indiana,2023,3113,Sugar and Confectionery Product Manufacturing,2,2,20.22923076922
