display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,posting_hourly_wage
0,0,Tech Total,,,0,000,00000,United States,2023,000000,,0,0,35.12987477638605
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,32.1916488603926
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,32.40429338103952
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,29.64141651033171
0,0,Tech Total,,,00,000,18020,Columbus MSA,2023,000000,,0,0,34.15085470085555
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,22.414826923072
0,0,Tech Total,,,00,000,21780,Evansville MSA,2023,000000,,0,0,34.86483100232422
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,29.49649901381025
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,31.654945054935713
0,0,Tech Total,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,20.508173076927775
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,32.876889920431026
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,0,0,26.750035178231705
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,0,0,24.556177884615003
0,0,Tech Total,,,00,000,34620,Muncie MSA,2023,000000,,0,0,34.27350961539499
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,0,0,27.387800480765627
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,2023,000000,,0,0,29.74824414717826
0,0,Tech Total,,,18,000,00000,Indiana,2023,000000,,0,0,28.21556350625582
1,1,IT/Tech Services,,,0,000,00000,United States,2023,000000,,1,1,34.87472527471429
1,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,2023,000000,,1,1,27.82197802197143
1,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,1,1,34.38241758242857
1,1,IT/Tech Services,,,00,000,17140,Cincinnati MSA,2023,000000,,1,1,31.076923076928576
1,1,IT/Tech Services,,,00,000,18020,Columbus MSA,2023,000000,,1,1,34.24395604397143
1,1,IT/Tech Services,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,1,1,22.37123397435
1,1,IT/Tech Services,,,00,000,21780,Evansville MSA,2023,000000,,1,1,28.615384615385715
1,1,IT/Tech Services,,,00,000,23060,Fort Wayne MSA,2023,000000,,1,1,25.6967032967
1,1,IT/Tech Services,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,1,1,30.778021978014287
1,1,IT/Tech Services,,,00,000,29020,Kokomo MSA,2023,000000,,1,1,20.012419871800002
1,1,IT/Tech Services,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,1,1,29.92445054945714
1,1,IT/Tech Services,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,1,1,23.92087912088571
1,1,IT/Tech Services,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,1,1,24.211618589733334
1,1,IT/Tech Services,,,00,000,34620,Muncie MSA,2023,000000,,1,1,32.38901098898572
1,1,IT/Tech Services,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,1,1,26.153846153857142
1,1,IT/Tech Services,,,00,000,45460,Terre Haute MSA,2023,000000,,1,1,24.462637362657144
1,1,IT/Tech Services,,,18,000,00000,Indiana,2023,000000,,1,1,28.320879120857143
1,2,"Telecommunications, Internet Services and Data Hosting",,,0,000,00000,United States,2023,000000,,1,1,27.963636363636365
