SOC,entry_level_ed,statefips,metrofips,countyfips
11-1011,Bachelor's degree,0,00000,000
11-1021,Bachelor's degree,0,00000,000
11-1031,Bachelor's degree,0,00000,000
11-2011,Bachelor's degree,0,00000,000
11-2021,Bachelor's degree,0,00000,000
11-2022,Bachelor's degree,0,00000,000
11-2032,Bachelor's degree,0,00000,000
11-2033,Bachelor's degree,0,00000,000
11-3012,Bachelor's degree,0,00000,000
11-3013,Bachelor's degree,0,00000,000
11-3021,Bachelor's degree,0,00000,000
11-3031,Bachelor's degree,0,00000,000
11-3051,Bachelor's degree,0,00000,000
11-3061,Bachelor's degree,0,00000,000
11-3071,High school diploma or equivalent,0,00000,000
11-3111,Bachelor's degree,0,00000,000
11-3121,Bachelor's degree,0,00000,000
11-3131,Bachelor's degree,0,00000,000
11-9013,High school diploma or equivalent,0,00000,000
11-9021,Bachelor's degree,0,00000,000
11-9031,Bachelor's degree,0,00000,000
11-9032,Master's degree,0,00000,000
11-9033,Master's degree,0,00000,000
11-9039,Bachelor's degree,0,00000,000
11-9041,Bachelor's degree,0,00000,000
11-9051,High school diploma or equivalent,0,00000,000
11-9071,High school diploma or equivalent,0,00000,000
11-9072,Bachelor's degree,0,00000,000
11-9081,High school diploma or equivalent,0,00000,000
11-9111,Bachelor's degree,0,00000,000
11-9121,Bachelor's degree,0,00000,000
11-9131,High school diploma or equivalent,0,00000,000
11-9141,High school diploma or equivalent,0,00000,000
11-9151,Bachelor's degree,0,00000,000
11-9161,Bachelor's degree,0,00000,000
11-9171,Associate's degree,0,00000,000
11-9179,Bachelor's degree,0,00000,000
11-9199,Bachelor's degree,0,00000,000
13-1011,Bachelor's degree,0,00000,000
13-1028,Bachelor's degree,0,00000,000
13-1031,High school diploma or equivalent,0,00000,000
13-1032,Postsecondary nondegree award,0,00000,000
13-1041,Bachelor's degree,0,00000,000
13-1051,Bachelor's degree,0,00000,000
13-1071,Bachelor's degree,0,00000,000
13-1074,No formal educational credential,0,00000,000
13-1075,Bachelor's degree,0,00000,000
13-1081,Bachelor's degree,0,00000,000
13-1082,Bachelor's degree,0,00000,000
