year,statefips,metrofips,geo_area,cicp_initiative,jobs14to18,jobs19to21,jobs22to24,jobs25to34,jobs35to44,jobs45to54,jobs55to64,jobs65plus
2022,00,31140,Louisville/Jefferson County MSA,AgriNovus,1011.1756306962162,2153.5718509780827,3656.0306332519203,18020.77088807305,18434.653821923283,17291.32684833439,14675.564378554069,4419.525475842907
2022,00,21780,Evansville MSA,AgriNovus,309.16334432689604,444.15501714405605,816.0402025325961,4417.842003289387,4805.487472729309,4011.1162102893845,3817.049652093258,1071.4733175024762
2023,00,29200,Lafayette-West Lafayette MSA,AgriNovus,378.11474995732,917.1550254243118,1138.09341646428,4522.800108035528,5360.741769839078,4340.062432053983,3625.790326111335,1260.6365060298
2021,00,34620,Muncie MSA,AgriNovus,61.463867179339985,98.353757336884,111.238537897056,392.0424217439456,372.4829948666896,312.31254143311753,398.8563296597727,171.74229925010394
2022,0,00000,United States,AgriNovus,400941.8958550081,755938.2489584681,990967.9696473936,4362124.663173317,4540291.112928044,4213234.684315887,3725390.0151905175,1639007.6594836686
2023,00,18020,Columbus MSA,AgriNovus,31.65621143334832,70.932262840056,198.284871170472,856.2508758221037,957.5794292170998,556.837442266032,529.0128050180762,256.076933663108
2020,00,45460,Terre Haute MSA,AgriNovus,101.02866114461597,196.8693249467648,350.20192964478724,1695.4389569837722,1621.344213856204,1572.1746459360043,1378.456573906872,363.5171187228353
2019,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,1669.4669694198915,3312.9598819236558,4933.885773814777,22306.614103157484,21828.834306818866,20152.69001039267,16524.929408265034,4719.416291469385
2020,00,23060,Fort Wayne MSA,AgriNovus,352.11597100822,806.017803478292,1091.0812948856037,4158.258659765672,4339.531697654116,3869.289800808672,3648.864149439776,1235.5669447413686
2023,00,21140,Elkhart-Goshen MSA,AgriNovus,537.2882194948919,576.0394205650687,592.876173062772,2106.6793291950876,2105.165393071536,2277.310415072172,1942.6194700179515,831.9909766588027
2022,00,17140,Cincinnati MSA,AgriNovus,2823.531034354569,4390.272672135242,5543.5878990818155,26827.754256691514,28690.638358787346,24613.13135327645,21332.04469042617,6122.245389555139
2023,00,21780,Evansville MSA,AgriNovus,312.0348370215223,458.7246958248879,814.8838452072481,4253.5994079490565,4771.592704044356,3948.6555199703794,3582.077072909915,1185.736837714944
2021,00,17140,Cincinnati MSA,AgriNovus,2708.063849875399,4142.923589105649,5503.006291470068,25712.102404253215,26128.94659396646,23452.542116325407,20793.31938251892,5726.613248013375
2019,00,29020,Kokomo MSA,AgriNovus,24.005651159088,158.31484924089997,127.673995245128,688.67039413624,563.139729118808,521.0537198469482,530.2809897089318,103.19352384269598
2022,00,45460,Terre Haute MSA,AgriNovus,132.6768983693856,330.97766037962015,333.239000784304,1765.8755470112158,1723.395991925029,1832.747550764596,1625.6066757007359,587.5589087440841
2022,00,23060,Fort Wayne MSA,AgriNovus,663.24986399824,1056.5312677057882,1136.5582603451198,4296.963895640214,4456.299231508521,3662.674887862956,3425.342362459664,1355.3554529937956
2022,00,29020,Kokomo MSA,AgriNovus,32.410673184704,101.08639083182801,214.72383893229602,636.6133178769761,645.6370965004639,530.2515074065799,528.553878541736,192.940627421728
2022,00,43780,South Bend-Mishawaka MSA,AgriNovus,476.74883627413203,438.30598878994795,494.2946798646864,2082.986959577289,1991.7780731850692,1722.3370841468309,1813.070351702721,675.5779439037689
2020,00,17140,Cincinnati MSA,AgriNovus,2058.842866043673,3945.920191223922,5596.940541183761,25220.063482088,25189.479240982044,23486.03278562059,20674.616781406854,5336.4145303803325
2020,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,7927.683055611053,12986.723392705824,18231.056458762105,92630.41640020053,98975.65995089924,99186.42633899635,84337.99362367786,28855.91725968955
2023,00,43780,South Bend-Mishawaka MSA,AgriNovus,441.5099072152721,496.733940498608,502.2840105914329,2086.5195619206984,2019.5588851316197,1936.794259973248,1772.3300101092818,746.2483151537848
2019,00,17140,Cincinnati MSA,AgriNovus,2209.2700342468397,4347.02670115082,6118.294973500899,27702.36645026251,26535.235626561152,24686.387720054976,21325.54154243807,5638.841616103502
2019,00,18020,Columbus MSA,AgriNovus,32.510143135052,140.20696950393116,192.8821738587656,928.428198673964,867.7066461271039,663.9736102777799,559.601587333072,198.63094177400322
2019,00,29200,Lafayette-West Lafayette MSA,AgriNovus,318.33655454183605,916.1118329527134,1129.9762357217953,4329.380176436461,4287.72541397018,4121.439060137254,3520.1905416125564,893.4455318570399
2021,00,21140,Elkhart-Goshen MSA,AgriNovus,438.38226011635817,435.2468155728369,469.364215025176,1783.2116127036682,1899.3388069869002,1800.3025549284519,1736.350107856556,613.347625180672
2021,00,45460,Terre Haute MSA,AgriNovus,121.80394267076,263.6431180101712,373.36706241692013,1905.40264555664,1646.0860414781278,1726.3634217187362,1442.7017347221679,457.88830636400627
