display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,females,males
0,0,Life Sciences Total,,,0,000,00000,United States,2019,000000,,0,0,974647.3491228162,1215104.536686874
0,0,Life Sciences Total,,,0,000,00000,United States,2020,000000,,0,0,996776.6907870885,1240590.8478071052
0,0,Life Sciences Total,,,0,000,00000,United States,2021,000000,,0,0,1060241.9685303352,1295087.8239608528
0,0,Life Sciences Total,,,0,000,00000,United States,2022,000000,,0,0,1132094.5268712877,1359780.2606934002
0,0,Life Sciences Total,,,0,000,00000,United States,2023,000000,,0,0,1153303.6019296655,1377277.6349363977
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,3998.219424190611,3476.8869488007867
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,4030.702664430143,3616.079442083667
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,4666.328793378,4354.56294048466
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,5335.790200125387,5181.335012205417
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,4828.738600376914,4763.538705983952
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,34837.90355406019,38505.91403355675
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,35204.39324276241,38818.99663030987
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,36127.008052718345,39595.14463338437
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,36349.470637412014,39938.159719801624
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,36087.34041746853,39806.80993556848
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,5850.053166053088,6210.734798801515
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,6098.171508656086,6333.765518370308
