display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,females,males
0,0,Finance Total,,,0,000,00000,United States,2019,000000,,0,0,3824430.7267620787,2627491.5467416286
0,0,Finance Total,,,0,000,00000,United States,2020,000000,,0,0,3836870.755998117,2657636.0963789877
0,0,Finance Total,,,0,000,00000,United States,2021,000000,,0,0,3849816.1185022844,2699742.2676412007
0,0,Finance Total,,,0,000,00000,United States,2022,000000,,0,0,3915497.186184099,2771670.1086497842
0,0,Finance Total,,,0,000,00000,United States,2023,000000,,0,0,3933714.42947827,2797941.006025716
0,0,Finance Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,1091.66085867158,610.8761968379499
0,0,Finance Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,1180.0880243800498,684.268554529524
0,0,Finance Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,1112.025624302318,667.3901222071371
0,0,Finance Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,1031.84569647548,641.5551140486918
0,0,Finance Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,1022.1768773235999,631.627683190801
0,0,Finance Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,127790.8740718754,111681.54591810373
0,0,Finance Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,127756.94655432046,111845.7895089139
0,0,Finance Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,125392.36388541792,109529.75940818273
0,0,Finance Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,125005.55021968468,110388.22106507154
0,0,Finance Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,124528.53205593498,111375.0407279966
0,0,Finance Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,33397.096719449,23578.71256215683
0,0,Finance Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,32959.6739698312,23746.700849920435
0,0,Finance Total,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,32303.13928558737,23768.769322662316
0,0,Finance Total,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,31104.185395018514,22871.380823135245
0,0,Finance Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,30194.634569452315,22372.619667611976
0,0,Finance Total,,,00,000,18020,Columbus MSA,2019,000000,,0,0,699.3768440495799,312.111973018053
0,0,Finance Total,,,00,000,18020,Columbus MSA,2020,000000,,0,0,727.4176037418902,317.14983136847206
0,0,Finance Total,,,00,000,18020,Columbus MSA,2021,000000,,0,0,726.3942165146755,327.75862680675095
0,0,Finance Total,,,00,000,18020,Columbus MSA,2022,000000,,0,0,734.4063865451749,333.25963050753995
0,0,Finance Total,,,00,000,18020,Columbus MSA,2023,000000,,0,0,727.469302986512,335.86622182304995
0,0,Finance Total,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,1301.711692270609,610.74485361965
0,0,Finance Total,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,1256.7921845026226,614.15744455347
0,0,Finance Total,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0,0,1194.851295580102,594.875629058941
0,0,Finance Total,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,1178.7662032509522,625.7504558499079
0,0,Finance Total,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,1197.3706411324263,642.0776065982601
0,0,Finance Total,,,00,000,21780,Evansville MSA,2019,000000,,0,0,2354.5398506107404,1158.9714388154239
0,0,Finance Total,,,00,000,21780,Evansville MSA,2020,000000,,0,0,2327.7082427732007,1166.298227514295
0,0,Finance Total,,,00,000,21780,Evansville MSA,2021,000000,,0,0,2344.1574422599433,1239.4069129942618
0,0,Finance Total,,,00,000,21780,Evansville MSA,2022,000000,,0,0,2503.0908275307606,1363.004560813261
0,0,Finance Total,,,00,000,21780,Evansville MSA,2023,000000,,0,0,2542.7716568986107,1433.497163760588
0,0,Finance Total,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,6180.736828828984,3512.391891149645
0,0,Finance Total,,,00,000,23060,Fort Wayne MSA,2020,000000,,0,0,6227.473672253501,3633.8207934202997
0,0,Finance Total,,,00,000,23060,Fort Wayne MSA,2021,000000,,0,0,6118.610537433112,3636.1824215202414
0,0,Finance Total,,,00,000,23060,Fort Wayne MSA,2022,000000,,0,0,6245.395711262022,3757.1894784586393
0,0,Finance Total,,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,6069.540736897741,3606.903990418841
0,0,Finance Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,000000,,0,0,31864.049452236246,19706.62311739445
0,0,Finance Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2020,000000,,0,0,31957.08012744466,19884.849329073302
0,0,Finance Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,0,0,31749.348582323644,19953.068447741487
0,0,Finance Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,32719.809339147654,20356.424200592104
0,0,Finance Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,32472.79354196161,20469.59870237515
0,0,Finance Total,,,00,000,29020,Kokomo MSA,2019,000000,,0,0,631.43804648558,287.941354559949
0,0,Finance Total,,,00,000,29020,Kokomo MSA,2020,000000,,0,0,664.2257828117989,297.34573192075
0,0,Finance Total,,,00,000,29020,Kokomo MSA,2021,000000,,0,0,658.444863253987,291.393349111657
0,0,Finance Total,,,00,000,29020,Kokomo MSA,2022,000000,,0,0,629.974810339659,270.799803222995
0,0,Finance Total,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,613.144053739774,276.44353472585897
