display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,females,males
0,0,Healthcare Total,,,0,000,00000,United States,2019,000000,,0,0,11944628.112815,3372245.57003144
0,0,Healthcare Total,,,0,000,00000,United States,2020,000000,,0,0,11554588.5305824,3334689.4127696804
0,0,Healthcare Total,,,0,000,00000,United States,2021,000000,,0,0,11739021.625299003,3434617.9072856
0,0,Healthcare Total,,,0,000,00000,United States,2022,000000,,0,0,11906602.850359803,3506407.4174469006
0,0,Healthcare Total,,,0,000,00000,United States,2023,000000,,0,0,12389303.301630098,3661829.61467016
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,5859.638694985658,1407.8703138155638
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,6357.489531210689,1568.21904524472
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,6216.3969199975245,1566.5042607713501
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,6210.617306288641,1553.825069981709
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,6646.785678716759,1707.0854903196848
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,352106.15068690304,98718.818185093
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,336406.6355868849,96032.286565095
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,337515.39206001,97740.12313428003
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,340120.55417715595,98268.92004064599
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,354762.024429881,102377.017418994
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,100015.7281226345,24408.113767927687
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,97661.61319095557,24183.988607524505
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,99123.8847976851,24800.35556406922
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,99342.80105472621,25107.110431261804
