display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,asian,black,hawaiian,hispanic,white,aian,diversity,two_or_more
0,0,Life Sciences Total,,,0,000,00000,United States,2019,000000,,0,0,277082.5093356437,178611.0383136037,3229.397053649981,259545.71979551035,1433312.5075997438,6499.4926437984905,7.598299943841489,31471.221069316845
0,0,Life Sciences Total,,,0,000,00000,United States,2020,000000,,0,0,289170.40432732773,183372.71325699493,3403.869168646861,269889.97815692174,1450899.5912969273,6677.219556354146,7.7516624310883335,33953.76282921286
0,0,Life Sciences Total,,,0,000,00000,United States,2021,000000,,0,0,311609.0690107128,195622.79232626763,3744.899786835805,292067.7345311601,1506801.9961594352,7126.149181825707,7.963998804081637,38357.15149796647
0,0,Life Sciences Total,,,0,000,00000,United States,2022,000000,,0,0,337383.78247751854,214016.9197294064,4083.5489803507458,319159.81929847255,1567450.9870636582,7748.153819587138,8.230771356097943,42031.57619510932
0,0,Life Sciences Total,,,0,000,00000,United States,2023,000000,,0,0,345874.8008184894,219133.44247894787,4358.410116645451,329742.3139174159,1579461.7791065222,8109.28507368699,8.371147440337756,43901.20535227782
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,211.4770529091153,187.98449216360615,4.78169908046,203.32314361961934,6758.403238950044,17.467001882285754,0.6202453352436901,91.66974437724053
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,226.0755326721122,192.79030116259477,4.55652706453,223.28489535715153,6868.968401390861,19.78620585656655,0.6441608244604329,111.32024301482825
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,282.05783869707204,263.3366668466912,6.08746589602,323.4937593167982,7985.076787272706,22.790865932769783,0.7443248413507203,138.04834988226088
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,335.09061128291853,347.4885199723899,8.78136618155499,502.8574371347242,9122.855274147987,23.39751669152201,0.889511210448015,176.6544869290462
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,322.7607493211851,276.4084173458998,8.233577584759999,486.70339376148684,8312.816724215241,21.29446298348118,0.75745047776778,164.05998114351686
