display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,naics,naics_title,group_by_sort,sort,jobs,grp
0,0,Agbiosciences Total,,,0,000,00000,United States,2007,000000,,0.0,0.0,4514698.614162113,492692981359.24097
0,0,Agbiosciences Total,,,0,000,00000,United States,2008,000000,,0.0,0.0,4515527.882836518,497072234044.36505
0,0,Agbiosciences Total,,,0,000,00000,United States,2009,000000,,0.0,0.0,4417142.92440092,526092463756.662
0,0,Agbiosciences Total,,,0,000,00000,United States,2010,000000,,0.0,0.0,4418691.017357144,537732014333.6553
0,0,Agbiosciences Total,,,0,000,00000,United States,2011,000000,,0.0,0.0,4455088.925693065,561772762508.7615
0,0,Agbiosciences Total,,,0,000,00000,United States,2012,000000,,0.0,0.0,4520137.185899198,588096337056.5103
0,0,Agbiosciences Total,,,0,000,00000,United States,2013,000000,,0.0,0.0,4595101.8625637805,640655976148.2416
0,0,Agbiosciences Total,,,0,000,00000,United States,2014,000000,,0.0,0.0,4661162.20114988,644606257133.8021
0,0,Agbiosciences Total,,,0,000,00000,United States,2015,000000,,0.0,0.0,4759167.172927425,658511511878.917
0,0,Agbiosciences Total,,,0,000,00000,United States,2016,000000,,0.0,0.0,4833246.596623607,654137586475.1776
0,0,Agbiosciences Total,,,0,000,00000,United States,2017,000000,,0.0,0.0,4908661.807197142,673211833666.5331
0,0,Agbiosciences Total,,,0,000,00000,United States,2018,000000,,0.0,0.0,4967605.375245758,675152150123.0482
0,0,Agbiosciences Total,,,0,000,00000,United States,2019,000000,,0.0,0.0,5004747.867768979,672536009435.9939
0,0,Agbiosciences Total,,,0,000,00000,United States,2020,000000,,0.0,0.0,4874373.711024256,685619908083.515
0,0,Agbiosciences Total,,,0,000,00000,United States,2021,000000,,0.0,0.0,4962815.122683652,797003365852.6213
0,0,Agbiosciences Total,,,0,000,00000,United States,2022,000000,,0.0,0.0,5156949.013644763,873638528710.0558
0,0,Agbiosciences Total,,,0,000,00000,United States,2023,000000,,0.0,0.0,5249615.446956142,909369599646.7026
0,0,Agbiosciences Total,,,0,000,00000,United States,2024,000000,,0.0,0.0,5290064.66847691,958696939302.6199
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2007,000000,,0.0,0.0,953.184400291609,93598354.5478751
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2008,000000,,0.0,0.0,1023.3695428320309,102902881.3212073
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2009,000000,,0.0,0.0,938.3425308405881,99071821.91085696
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2010,000000,,0.0,0.0,807.3039336329359,85049626.0296458
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2011,000000,,0.0,0.0,882.1491381977551,100321427.41027209
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2012,000000,,0.0,0.0,985.952716497838,102987074.7559034
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2013,000000,,0.0,0.0,1039.3912438144662,125987740.40987206
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2014,000000,,0.0,0.0,1050.0538686443151,131089960.4705458
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2015,000000,,0.0,0.0,1091.2182582646496,140608367.2495521
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2016,000000,,0.0,0.0,1129.5742151543848,162432338.50988573
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2017,000000,,0.0,0.0,1105.92450527148,156405094.28389615
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2018,000000,,0.0,0.0,1158.5188459560193,144852628.8826281
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2019,000000,,0.0,0.0,1143.926870121115,135929921.03683785
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2020,000000,,0.0,0.0,1137.403255390179,153174194.45291728
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2021,000000,,0.0,0.0,1206.6237261237566,201078783.06462574
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2022,000000,,0.0,0.0,1290.4269742801569,222333934.71434984
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2023,000000,,0.0,0.0,1268.3462145491585,219794178.29111525
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2024,000000,,0.0,0.0,1323.823387898568,242386043.92844412
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2007,000000,,0.0,0.0,100856.64141578018,11954109902.792868
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2008,000000,,0.0,0.0,99888.62028620939,11811819559.065744
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2009,000000,,0.0,0.0,96840.67120762299,13273710126.902311
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2010,000000,,0.0,0.0,96051.99486887128,13152927193.325336
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2011,000000,,0.0,0.0,96411.38944633749,13460447681.286987
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2012,000000,,0.0,0.0,97486.87894218133,15080226601.851667
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2013,000000,,0.0,0.0,99285.46791625697,15614994440.899687
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2014,000000,,0.0,0.0,102029.57719577225,16489985119.54046
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2015,000000,,0.0,0.0,104892.93340459724,17240621801.22154
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2016,000000,,0.0,0.0,106623.65348174817,17708615160.745583
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2017,000000,,0.0,0.0,108750.93901995491,17597491447.34551
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2018,000000,,0.0,0.0,111802.16411571101,17692807814.720654
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0.0,0.0,113473.1358522428,17934782791.061817
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0.0,0.0,110642.91996584115,18373746154.008766
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0.0,0.0,114196.1998311748,20766406888.04511
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0.0,0.0,118728.27162882857,22157301197.52364
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0.0,0.0,125214.62423096523,23850082794.546032
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,000000,,0.0,0.0,130311.30706706185,25643540600.66928
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2007,000000,,0.0,0.0,24444.78295261841,2988969284.800599
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2008,000000,,0.0,0.0,23998.64049720827,2877564277.5414853
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2009,000000,,0.0,0.0,23466.967851163605,3371757805.0611863
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2010,000000,,0.0,0.0,23503.11471877199,3293952334.8354516
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2011,000000,,0.0,0.0,23661.224708493526,3340185440.9574
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2012,000000,,0.0,0.0,24360.259343488364,3322723131.687116
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2013,000000,,0.0,0.0,24357.83911443731,3498551871.7275267
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2014,000000,,0.0,0.0,24524.380390649854,3681245870.135534
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2015,000000,,0.0,0.0,25517.227295304423,3838516417.2951355
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2016,000000,,0.0,0.0,26330.181620788877,3986548734.6970406
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2017,000000,,0.0,0.0,27030.39159144872,4003397108.7427077
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2018,000000,,0.0,0.0,28380.500919478098,4107074760.8691516
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0.0,0.0,29452.050306380363,4333151166.646145
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0.0,0.0,27800.99141406328,4375086391.758969
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2021,000000,,0.0,0.0,28519.331519211493,4978466487.203223
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2022,000000,,0.0,0.0,29972.758646039863,5222044503.95794
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0.0,0.0,32259.945950496458,5967887119.451135
0,0,Agbiosciences Total,,,00,000,17140,Cincinnati MSA,2024,000000,,0.0,0.0,33665.60203426789,6379268966.760105
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2007,000000,,0.0,0.0,889.2879415658991,78465488.05790253
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2008,000000,,0.0,0.0,838.3345808756429,88567729.86071339
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2009,000000,,0.0,0.0,842.0290927389101,85843840.62501523
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2010,000000,,0.0,0.0,895.6398268850558,85420707.85729265
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2011,000000,,0.0,0.0,850.9218500481579,102157993.1614161
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2012,000000,,0.0,0.0,822.012048807767,96492417.3858392
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2013,000000,,0.0,0.0,716.4379313602491,121143314.91724609
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2014,000000,,0.0,0.0,731.0831923148578,115758379.12253891
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2015,000000,,0.0,0.0,857.8947889892069,105961585.53133722
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2016,000000,,0.0,0.0,874.399348546706,118698193.17327683
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2017,000000,,0.0,0.0,880.4800632370399,112101509.72537065
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2018,000000,,0.0,0.0,845.2441573576851,109052568.89113021
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2019,000000,,0.0,0.0,857.0699946646299,106570053.46916999
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2020,000000,,0.0,0.0,865.2401015573001,123067946.00851305
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2021,000000,,0.0,0.0,792.1597302954856,158326448.03148907
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2022,000000,,0.0,0.0,765.3541265648599,159159503.27031583
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2023,000000,,0.0,0.0,870.111673171814,180377235.55351707
0,0,Agbiosciences Total,,,00,000,18020,Columbus MSA,2024,000000,,0.0,0.0,931.1847993580127,214353024.9121699
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2007,000000,,0.0,0.0,2061.0533730671227,227020360.56421328
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2008,000000,,0.0,0.0,2032.545588676408,223949805.84959722
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2009,000000,,0.0,0.0,2038.0699675613191,229107217.68938535
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2010,000000,,0.0,0.0,2184.1038742027813,257429290.89488068
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2011,000000,,0.0,0.0,2263.6307852168493,303498190.52628773
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2012,000000,,0.0,0.0,2234.4958820952256,282641333.1203754
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2013,000000,,0.0,0.0,2166.955536807983,332480013.4986141
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2014,000000,,0.0,0.0,2180.716288879582,347858817.31528
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2015,000000,,0.0,0.0,2175.512605445524,331357416.1443752
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2016,000000,,0.0,0.0,2297.6614908511506,328498387.92465997
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2017,000000,,0.0,0.0,2364.525511513629,352838089.7341322
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2018,000000,,0.0,0.0,2460.1989738359334,384324747.5836109
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0.0,0.0,2512.7750742735984,365478736.3981885
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0.0,0.0,2388.083590821779,388959046.46314365
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0.0,0.0,2283.2525889187796,476136179.980916
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0.0,0.0,2455.248267852326,516901884.98720723
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0.0,0.0,2671.6974392162924,548882175.9213555
0,0,Agbiosciences Total,,,00,000,21140,Elkhart-Goshen MSA,2024,000000,,0.0,0.0,2771.377065002821,580779984.8604522
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2007,000000,,0.0,0.0,3407.1296703496255,315221647.04732877
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2008,000000,,0.0,0.0,3321.564091991803,333145052.5054787
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2009,000000,,0.0,0.0,3378.3519297385446,401765388.3729853
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2010,000000,,0.0,0.0,3450.432705152659,419396571.0585523
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2011,000000,,0.0,0.0,3343.2978194995767,413333221.9186274
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2012,000000,,0.0,0.0,3632.9259195457603,481846471.1798502
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2013,000000,,0.0,0.0,3560.3651294791002,525859387.1861194
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2014,000000,,0.0,0.0,4440.5272353855635,966876652.6868997
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2015,000000,,0.0,0.0,4660.007161339255,1052226819.2456355
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2016,000000,,0.0,0.0,4541.043816168369,1021699226.5876898
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2017,000000,,0.0,0.0,4418.086205612486,1041796733.4439727
0,0,Agbiosciences Total,,,00,000,21780,Evansville MSA,2018,000000,,0.0,0.0,4510.04959823572,939016589.5067568
