display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,naics,naics_title,group_by_sort,sort,jobs,grp
0,0,Tech Total,,,0,000,00000,United States,2007,000000,,0,0,5238036.5349832,976428154997.43
0,0,Tech Total,,,0,000,00000,United States,2008,000000,,0,0,5238389.1828898005,998446252055.89
0,0,Tech Total,,,0,000,00000,United States,2009,000000,,0,0,4928294.171246501,978082507829.86
0,0,Tech Total,,,0,000,00000,United States,2010,000000,,0,0,4806405.240219699,1015089238902.1
0,0,Tech Total,,,0,000,00000,United States,2011,000000,,0,0,4881921.3883849,1040585376812.8599
0,0,Tech Total,,,0,000,00000,United States,2012,000000,,0,0,4943291.9048685,1078638091205.9598
0,0,Tech Total,,,0,000,00000,United States,2013,000000,,0,0,4997838.984997519,1109470239460.8896
0,0,Tech Total,,,0,000,00000,United States,2014,000000,,0,0,5081035.52761353,1144292113713.1704
0,0,Tech Total,,,0,000,00000,United States,2015,000000,,0,0,5192777.935355989,1204367138951.1902
0,0,Tech Total,,,0,000,00000,United States,2016,000000,,0,0,5252670.49846308,1266559905839.57
0,0,Tech Total,,,0,000,00000,United States,2017,000000,,0,0,5317323.257709601,1345716990025.1602
0,0,Tech Total,,,0,000,00000,United States,2018,000000,,0,0,5423677.116875271,1400331304794.3599
0,0,Tech Total,,,0,000,00000,United States,2019,000000,,0,0,5519012.84140561,1506815564568.1301
0,0,Tech Total,,,0,000,00000,United States,2020,000000,,0,0,5521676.54342738,1556668243047.95
0,0,Tech Total,,,0,000,00000,United States,2021,000000,,0,0,5671027.42205527,1708008262133.33
0,0,Tech Total,,,0,000,00000,United States,2022,000000,,0,0,6037303.577814299,1796961197037.2297
0,0,Tech Total,,,0,000,00000,United States,2023,000000,,0,0,6044494.14423093,1916222064450.7402
0,0,Tech Total,,,0,000,00000,United States,2024,000000,,0,0,5866521.79272035,2010264096135.1304
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2007,000000,,0,0,1321.230538320248,217063784.00781155
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2008,000000,,0,0,1450.8361696089494,236648559.0270298
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2009,000000,,0,0,1535.277772979805,261020591.92378092
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2010,000000,,0,0,1519.0214724422501,276480765.5042291
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2011,000000,,0,0,1483.153476863679,250508640.2495019
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2012,000000,,0,0,1710.542672061042,282777393.040136
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2013,000000,,0,0,1891.985829836365,301708255.8248326
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2014,000000,,0,0,1685.2461244533013,280646452.94901407
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2015,000000,,0,0,1537.4850786787676,249950948.81954235
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2016,000000,,0,0,1437.065365154094,261126529.0152933
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2017,000000,,0,0,1499.0781353598434,391161302.6117985
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2018,000000,,0,0,1420.438272750533,399885303.54749787
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,1412.889913576081,398767281.95470476
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,1319.270048901422,359475751.06464136
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,1250.1208737408192,352225277.8539309
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,1213.92805826723,379056800.5836347
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,1193.775731539383,355826215.67085433
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2024,000000,,0,0,1129.685543661018,376700280.54332596
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2007,000000,,0,0,153566.86030027462,30324925722.308163
