display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,jobs
0,0,Agbiosciences Total,,,0,000,00000,United States,2019,000000,,0.0,0.0,5004747.867768979
0,0,Agbiosciences Total,,,0,000,00000,United States,2020,000000,,0.0,0.0,4874373.711024256
0,0,Agbiosciences Total,,,0,000,00000,United States,2021,000000,,0.0,0.0,4962815.122683652
0,0,Agbiosciences Total,,,0,000,00000,United States,2022,000000,,0.0,0.0,5156949.013644763
0,0,Agbiosciences Total,,,0,000,00000,United States,2023,000000,,0.0,0.0,5249615.446956142
0,0,Agbiosciences Total,,,0,000,00000,United States,2024,000000,,0.0,0.0,5290064.66847691
0,0,Agbiosciences Total,,,0,000,00000,United States,2025,000000,,0.0,0.0,5386836.890551356
0,0,Agbiosciences Total,,,0,000,00000,United States,2026,000000,,0.0,0.0,5461711.065566913
0,0,Agbiosciences Total,,,0,000,00000,United States,2027,000000,,0.0,0.0,5519424.514615159
0,0,Agbiosciences Total,,,0,000,00000,United States,2028,000000,,0.0,0.0,5567477.315966493
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2019,000000,,0.0,0.0,1143.926870121115
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2020,000000,,0.0,0.0,1137.403255390179
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2021,000000,,0.0,0.0,1206.6237261237566
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2022,000000,,0.0,0.0,1290.4269742801569
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2023,000000,,0.0,0.0,1268.3462145491585
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2024,000000,,0.0,0.0,1323.823387898568
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2025,000000,,0.0,0.0,1367.457082893531
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2026,000000,,0.0,0.0,1402.0340159169602
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2027,000000,,0.0,0.0,1430.0830350303402
0,0,Agbiosciences Total,,,00,000,14020,Bloomington MSA,2028,000000,,0.0,0.0,1453.491729422049
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0.0,0.0,113473.1358522428
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0.0,0.0,110642.91996584115
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0.0,0.0,114196.1998311748
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0.0,0.0,118728.27162882857
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0.0,0.0,125214.62423096523
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,000000,,0.0,0.0,130311.30706706185
0,0,Agbiosciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2025,000000,,0.0,0.0,133615.3178491811
