display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,naics,naics_title,group_by_sort,sort,jobs
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,77112.2786960324
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,79766.8921032152
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,2028,000000,,0,0,1164492.0578104372
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,145321.00656047382
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,36694.54787371723
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,2027,000000,,0,0,36838.868416797304
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,111244.79739825343
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2026,000000,,0,0,114604.9591049834
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,0,0,709046.695280707
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,2027,000000,,0,0,733735.7118449028
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,2021,000000,,0,0,46456.863752517245
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,2027,000000,,0,0,48279.61287141321
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,2020,000000,,0,0,136970.49575733574
0,0,Total - All Industries,,,00,000,45460,Terre Haute MSA,2028,000000,,0,0,68445.71443841579
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,2025,000000,,0,0,130572.20070375202
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,227371.60881279316
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,2022,000000,,0,0,230399.204757295
0,0,Total - All Industries,,,18,000,00000,Indiana,2019,000000,,0,0,3240392.4250975945
0,0,Total - All Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,000000,,0,0,1142751.6617667521
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,2024,000000,,0,0,715669.0752638236
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,2025,000000,,0,0,52427.99728070862
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,136761.21869253376
0,0,Total - All Industries,,,00,000,21780,Evansville MSA,2024,000000,,0,0,139731.42573401213
