display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,postings
0,0,Life Sciences Total,,,00,000,45460,Terre Haute MSA,2022,000000,,0,0,474.986
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,43009.318
0,0,Life Sciences Total,,,00,000,43780,South Bend-Mishawaka MSA,2020,000000,,0,0,926.6359999999999
0,0,Life Sciences Total,,,00,000,29200,Lafayette-West Lafayette MSA,2020,000000,,0,0,491.302
0,0,Life Sciences Total,,,00,000,34620,Muncie MSA,2021,000000,,0,0,158.766
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0,0,229.362
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2020,000000,,0,0,662.0039999999999
0,0,Life Sciences Total,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,133.20599999999996
0,0,Life Sciences Total,,,00,000,29020,Kokomo MSA,2021,000000,,0,0,210.41000000000003
0,0,Life Sciences Total,,,00,000,34620,Muncie MSA,2022,000000,,0,0,187.384
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,000000,,0,0,14883.499999999993
0,0,Life Sciences Total,,,0,000,00000,United States,2020,000000,,0,0,1328013.4859999996
0,0,Life Sciences Total,,,00,000,31140,Louisville/Jefferson County MSA,2020,000000,,0,0,4225.002
0,0,Life Sciences Total,,,00,000,29200,Lafayette-West Lafayette MSA,2019,000000,,0,0,552.516
0,0,Life Sciences Total,,,0,000,00000,United States,2019,000000,,0,0,1261527.872
0,0,Life Sciences Total,,,00,000,34620,Muncie MSA,2020,000000,,0,0,229.274
0,0,Life Sciences Total,,,18,000,00000,Indiana,2019,000000,,0,0,27950.811999999998
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,7843.5440000000035
0,0,Life Sciences Total,,,00,000,29020,Kokomo MSA,2020,000000,,0,0,221.65200000000002
0,0,Life Sciences Total,,,00,000,33140,Michigan City-La Porte MSA,2021,000000,,0,0,227.87599999999995
0,0,Life Sciences Total,,,00,000,43780,South Bend-Mishawaka MSA,2021,000000,,0,0,1212.8639999999996
0,0,Life Sciences Total,,,00,000,45460,Terre Haute MSA,2020,000000,,0,0,563.99
0,0,Life Sciences Total,,,00,000,45460,Terre Haute MSA,2019,000000,,0,0,380.308
0,0,Life Sciences Total,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,0,0,299.562
0,0,Life Sciences Total,,,18,000,00000,Indiana,2021,000000,,0,0,40489.46000000001
0,0,Life Sciences Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,18006.284000000003
0,0,Life Sciences Total,,,00,000,33140,Michigan City-La Porte MSA,2019,000000,,0,0,150.152
0,0,Life Sciences Total,,,00,000,31140,Louisville/Jefferson County MSA,2022,000000,,0,0,6011.522000000001
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2022,000000,,0,0,1349.9840000000004
