display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,postings
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,6094.0
0,0,Tech Total,,,00,000,18020,Columbus MSA,2012,000000,,0,0,234.0
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,2022,000000,,0,0,5704.0
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,2015,000000,,0,0,442.0
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2025,000000,,0,0,605.0
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,2020,000000,,0,0,5006.0
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,2023,000000,,0,0,488.0
0,0,Tech Total,,,00,000,34620,Muncie MSA,2018,000000,,0,0,296.0
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,000000,,0,0,91692.0
0,0,Tech Total,,,00,000,18020,Columbus MSA,2016,000000,,0,0,394.0
0,0,Tech Total,,,18,000,00000,Indiana,2018,000000,,0,0,82238.0
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,2012,000000,,0,0,9094.0
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2013,000000,,0,0,16772.0
0,0,Tech Total,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,272.0
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,2015,000000,,0,0,1720.0
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,40446.0
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,606.0
0,0,Tech Total,,,18,000,00000,Indiana,2017,000000,,0,0,52552.0
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,2020,000000,,0,0,378.0
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,2021,000000,,0,0,574.0
0,0,Tech Total,,,0,000,00000,United States,2017,000000,,0,0,2989010.0
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,24772.0
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,2022,000000,,0,0,594.0
0,0,Tech Total,,,18,000,00000,Indiana,2024,000000,,0,0,51370.0
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2014,000000,,0,0,464.0
0,0,Tech Total,,,00,000,29020,Kokomo MSA,2011,000000,,0,0,160.0
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,2019,000000,,0,0,4222.0
