display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,postings
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,2018,000000,,0,0,242.0
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,2025,000000,,0,0,205.0
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2012,000000,,0,0,9060.0
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,2019,000000,,0,0,158.0
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,2014,000000,,0,0,84.0
0,0,Tech Total,,,00,000,21780,Evansville MSA,2014,000000,,0,0,1772.0
0,0,Tech Total,,,00,000,18020,Columbus MSA,2016,000000,,0,0,500.0
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2012,000000,,0,0,744.0
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2014,000000,,0,0,14292.0
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2010,000000,,0,0,550.0
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,2024,000000,,0,0,1472.0
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,2017,000000,,0,0,920.0
0,0,Tech Total,,,18,000,00000,Indiana,2025,000000,,0,0,35497.0
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,2020,000000,,0,0,326.0
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,2019,000000,,0,0,652.0
0,0,Tech Total,,,0,000,00000,United States,2015,000000,,0,0,3329528.0
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,2013,000000,,0,0,1784.0
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,2012,000000,,0,0,1302.0
0,0,Tech Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,1054.0
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,2025,000000,,0,0,15606.0
0,0,Tech Total,,,00,000,29020,Kokomo MSA,2025,000000,,0,0,247.0
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,2025,000000,,0,0,1001.0
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,2016,000000,,0,0,1772.0
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,0,0,348.0
0,0,Tech Total,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,216.0
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,000000,,0,0,26098.0
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,2010,000000,,0,0,190.0
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,2015,000000,,0,0,1442.0
0,0,Tech Total,,,00,000,21780,Evansville MSA,2017,000000,,0,0,1000.0
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2013,000000,,0,0,88714.0
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2017,000000,,0,0,101788.0
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,2011,000000,,0,0,1164.0
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,2010,000000,,0,0,288.0
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,4156.0
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2015,000000,,0,0,18942.0
