display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,NAICS,naics_title,Year,group_by_sort,sort,wages
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2020,0,0,69132.85763683944
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,000000,,2022,0,0,74036.29377613708
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2021,0,0,83827.04891254412
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,000000,,2020,0,0,72198.89452516114
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2020,0,0,80067.87563729999
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2022,0,0,86018.26743689865
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,000000,,2019,0,0,73489.90692374477
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,000000,,2021,0,0,80677.56299753564
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,000000,,2021,0,0,69572.33513605075
0,0,Healthcare Total,,,0,000,00000,United States,000000,,2023,0,0,87684.28188137108
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,000000,,2020,0,0,76611.25052827997
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2023,0,0,74024.00587597453
0,0,Healthcare Total,,,0,000,00000,United States,000000,,2022,0,0,85389.607910991
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,000000,,2021,0,0,76961.48218743918
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,000000,,2023,0,0,88111.65127918788
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,000000,,2023,0,0,80008.00847186748
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,000000,,2019,0,0,72312.75634457252
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2022,0,0,74568.6616494067
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,000000,,2019,0,0,66778.59323358956
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,0,0,87868.26967811186
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,000000,,2022,0,0,85732.16649473316
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,000000,,2022,0,0,84642.20152442632
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2020,0,0,68995.83686207069
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2021,0,0,71506.4870782851
0,0,Healthcare Total,,,0,000,00000,United States,000000,,2020,0,0,78472.65895483656
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,000000,,2022,0,0,76146.93351803717
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,0,0,80048.13301509108
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,000000,,2021,0,0,77318.6377096177
0,0,Healthcare Total,,,18,000,00000,Indiana,000000,,2023,0,0,82193.08958939342
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,000000,,2023,0,0,81263.02779406263
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,000000,,2020,0,0,68112.02652526798
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2019,0,0,73559.41750537703
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2022,0,0,85354.35983384546
0,0,Healthcare Total,,,00,000,45460,Terre Haute MSA,000000,,2022,0,0,76494.00978040166
0,0,Healthcare Total,,,18,000,00000,Indiana,000000,,2020,0,0,73465.5033014445
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,000000,,2020,0,0,72157.73070624543
0,0,Healthcare Total,,,00,000,29020,Kokomo MSA,000000,,2023,0,0,74092.95049161463
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2020,0,0,79347.43274231596
0,0,Healthcare Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2022,0,0,89233.81001794727
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2020,0,0,72023.22190064605
0,0,Healthcare Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2022,0,0,76043.64193478334
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,000000,,2023,0,0,79268.04790769081
0,0,Healthcare Total,,,18,000,00000,Indiana,000000,,2021,0,0,76989.20779123611
0,0,Healthcare Total,,,0,000,00000,United States,000000,,2019,0,0,73544.00489292029
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2021,0,0,81518.32074992085
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,000000,,2019,0,0,69020.71237129226
0,0,Healthcare Total,,,00,000,23060,Fort Wayne MSA,000000,,2023,0,0,85914.75705354685
0,0,Healthcare Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2023,0,0,89320.74747993452
0,0,Healthcare Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2019,0,0,64520.01113601709
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2020,0,0,70425.70868233165
0,0,Healthcare Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2019,0,0,64587.6476177037
0,0,Healthcare Total,,,00,000,21780,Evansville MSA,000000,,2019,0,0,69051.3084476146
