display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,NAICS,naics_title,Year,group_by_sort,sort,wages
0,0,Tech Total,,,0,000,00000,United States,000000,,2019,0,0,142855.87554523343
0,0,Tech Total,,,0,000,00000,United States,000000,,2020,0,0,152109.63427422073
0,0,Tech Total,,,0,000,00000,United States,000000,,2021,0,0,169023.01873993798
0,0,Tech Total,,,0,000,00000,United States,000000,,2022,0,0,165802.64255372723
0,0,Tech Total,,,0,000,00000,United States,000000,,2023,0,0,174545.4246647065
0,0,Tech Total,,,00,000,14020,Bloomington MSA,000000,,2019,0,0,83452.93914558203
0,0,Tech Total,,,00,000,14020,Bloomington MSA,000000,,2020,0,0,92152.94506768958
0,0,Tech Total,,,00,000,14020,Bloomington MSA,000000,,2021,0,0,91644.20486151562
0,0,Tech Total,,,00,000,14020,Bloomington MSA,000000,,2022,0,0,102039.50241505251
0,0,Tech Total,,,00,000,14020,Bloomington MSA,000000,,2023,0,0,102684.39699190418
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2019,0,0,131246.7797234022
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2020,0,0,140810.29131172478
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2021,0,0,153352.09824447238
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2022,0,0,153026.5770289879
0,0,Tech Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,0,0,158875.9719406568
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,000000,,2019,0,0,108418.64094772782
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,000000,,2020,0,0,111843.88933368954
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,000000,,2021,0,0,122620.56282384082
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,000000,,2022,0,0,126115.78994866578
0,0,Tech Total,,,00,000,17140,Cincinnati MSA,000000,,2023,0,0,131927.26223709728
0,0,Tech Total,,,00,000,18020,Columbus MSA,000000,,2019,0,0,87586.15424616983
0,0,Tech Total,,,00,000,18020,Columbus MSA,000000,,2020,0,0,83621.20327170148
0,0,Tech Total,,,00,000,18020,Columbus MSA,000000,,2021,0,0,88437.06894073043
0,0,Tech Total,,,00,000,18020,Columbus MSA,000000,,2022,0,0,97487.10221619491
0,0,Tech Total,,,00,000,18020,Columbus MSA,000000,,2023,0,0,108066.20933824129
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2019,0,0,64839.00422338337
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2020,0,0,65558.21105230406
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2021,0,0,72044.17825413623
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2022,0,0,74969.85267187047
0,0,Tech Total,,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,0,0,78319.35878565858
0,0,Tech Total,,,00,000,21780,Evansville MSA,000000,,2019,0,0,91759.96383491873
0,0,Tech Total,,,00,000,21780,Evansville MSA,000000,,2020,0,0,90633.34420570747
0,0,Tech Total,,,00,000,21780,Evansville MSA,000000,,2021,0,0,98574.07198004826
0,0,Tech Total,,,00,000,21780,Evansville MSA,000000,,2022,0,0,103566.03816752794
0,0,Tech Total,,,00,000,21780,Evansville MSA,000000,,2023,0,0,111498.63706229115
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,000000,,2019,0,0,95131.22441525297
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,000000,,2020,0,0,97684.70434545855
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,000000,,2021,0,0,98876.81831560635
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,000000,,2022,0,0,104041.31478438812
0,0,Tech Total,,,00,000,23060,Fort Wayne MSA,000000,,2023,0,0,104054.35737147731
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2019,0,0,111343.70796992423
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2020,0,0,115270.14225188782
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2021,0,0,124341.71644634998
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2022,0,0,127149.85314590979
0,0,Tech Total,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2023,0,0,132059.48227389864
0,0,Tech Total,,,00,000,29020,Kokomo MSA,000000,,2019,0,0,78441.43642308454
0,0,Tech Total,,,00,000,29020,Kokomo MSA,000000,,2020,0,0,81470.60037067541
0,0,Tech Total,,,00,000,29020,Kokomo MSA,000000,,2021,0,0,85108.19923406155
0,0,Tech Total,,,00,000,29020,Kokomo MSA,000000,,2022,0,0,91734.7535650186
0,0,Tech Total,,,00,000,29020,Kokomo MSA,000000,,2023,0,0,91591.82315601026
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2019,0,0,82692.40345520715
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2020,0,0,84460.7358423873
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2021,0,0,91605.98963398584
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2022,0,0,93347.24497879867
0,0,Tech Total,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2023,0,0,97291.93535226332
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2019,0,0,95566.73499940509
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2020,0,0,96178.85558949441
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2021,0,0,104807.72031738344
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2022,0,0,107753.09303682555
0,0,Tech Total,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2023,0,0,114359.57174601685
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2019,0,0,60465.99834502293
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2020,0,0,68955.2698095728
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2021,0,0,145705.38629626328
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2022,0,0,75274.17099740259
0,0,Tech Total,,,00,000,33140,Michigan City-La Porte MSA,000000,,2023,0,0,80420.04791610494
0,0,Tech Total,,,00,000,34620,Muncie MSA,000000,,2019,0,0,100785.84076899831
0,0,Tech Total,,,00,000,34620,Muncie MSA,000000,,2020,0,0,75678.12305474462
0,0,Tech Total,,,00,000,34620,Muncie MSA,000000,,2021,0,0,79568.17234268658
0,0,Tech Total,,,00,000,34620,Muncie MSA,000000,,2022,0,0,80924.0492616033
0,0,Tech Total,,,00,000,34620,Muncie MSA,000000,,2023,0,0,85953.82544189526
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2019,0,0,73456.89797183977
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2020,0,0,77317.55975342738
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2021,0,0,84543.12825757604
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2022,0,0,83939.68055477785
0,0,Tech Total,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2023,0,0,91984.96178161282
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,000000,,2019,0,0,69545.95915711108
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,000000,,2020,0,0,73055.02699709858
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,000000,,2021,0,0,78795.93084007513
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,000000,,2022,0,0,80679.1995619357
0,0,Tech Total,,,00,000,45460,Terre Haute MSA,000000,,2023,0,0,80101.388962902
0,0,Tech Total,,,18,000,00000,Indiana,000000,,2019,0,0,99699.91358211335
0,0,Tech Total,,,18,000,00000,Indiana,000000,,2020,0,0,103180.68397992602
0,0,Tech Total,,,18,000,00000,Indiana,000000,,2021,0,0,111822.12626958375
0,0,Tech Total,,,18,000,00000,Indiana,000000,,2022,0,0,115313.7419520234
0,0,Tech Total,,,18,000,00000,Indiana,000000,,2023,0,0,119828.07039807497
1,1,IT/Tech Services,,,0,000,00000,United States,000000,,2019,1,1,141190.29710821956
1,1,IT/Tech Services,,,0,000,00000,United States,000000,,2020,1,1,149125.913062802
1,1,IT/Tech Services,,,0,000,00000,United States,000000,,2021,1,1,163119.57774655908
1,1,IT/Tech Services,,,0,000,00000,United States,000000,,2022,1,1,161910.3711659867
1,1,IT/Tech Services,,,0,000,00000,United States,000000,,2023,1,1,170318.24628439252
1,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,000000,,2019,1,1,95580.41210430041
1,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,000000,,2020,1,1,110324.95802772348
1,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,000000,,2021,1,1,100249.65415118942
1,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,000000,,2022,1,1,122471.4020933104
1,1,IT/Tech Services,,,00,000,14020,Bloomington MSA,000000,,2023,1,1,124930.2448986554
1,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2019,1,1,136506.4169024975
1,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2020,1,1,147751.72755295638
1,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2021,1,1,154108.0962525055
1,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2022,1,1,157751.95576751832
1,1,IT/Tech Services,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,1,1,164371.16772690392
