display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,naics,naics_title,Year,group_by_sort,sort,wages
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,000000,,2020,0,0,63820.40118478543
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,000000,,2022,0,0,66413.01134398358
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2021,0,0,70762.94264075687
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,000000,,2020,0,0,53563.28171178191
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2020,0,0,83864.63235765668
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2022,0,0,90842.41402284082
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,000000,,2019,0,0,68221.9682989205
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,000000,,2021,0,0,63536.28650642933
0,0,Total - All Industries,,,00,000,45460,Terre Haute MSA,000000,,2021,0,0,55932.10246339361
0,0,Total - All Industries,,,0,000,00000,United States,000000,,2023,0,0,85427.11642981404
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,000000,,2020,0,0,60111.79431423579
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2023,0,0,67357.1070523809
0,0,Total - All Industries,,,0,000,00000,United States,000000,,2022,0,0,82621.88216547036
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,000000,,2021,0,0,59722.75284714783
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,000000,,2023,0,0,79291.55611956463
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,000000,,2023,0,0,81118.16723044662
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,000000,,2019,0,0,56498.18741327577
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2022,0,0,63734.088668427314
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,000000,,2019,0,0,51542.46186915289
0,0,Total - All Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,0,0,92820.7435649879
0,0,Total - All Industries,,,00,000,17140,Cincinnati MSA,000000,,2022,0,0,77324.35159968851
0,0,Total - All Industries,,,00,000,23060,Fort Wayne MSA,000000,,2022,0,0,65873.52933918854
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2020,0,0,57559.357140991306
0,0,Total - All Industries,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2021,0,0,58031.55516599882
0,0,Total - All Industries,,,0,000,00000,United States,000000,,2020,0,0,76321.86909913205
0,0,Total - All Industries,,,00,000,18020,Columbus MSA,000000,,2022,0,0,78490.91265103745
0,0,Total - All Industries,,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,0,0,72364.98350285122
0,0,Total - All Industries,,,00,000,21780,Evansville MSA,000000,,2021,0,0,62665.913769251085
0,0,Total - All Industries,,,18,000,00000,Indiana,000000,,2023,0,0,71217.08110923444
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,000000,,2023,0,0,66183.64054236555
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,000000,,2020,0,0,59428.8460232015
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2019,0,0,63691.540775591566
0,0,Total - All Industries,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2022,0,0,63657.885413254204
0,0,Total - All Industries,,,00,000,45460,Terre Haute MSA,000000,,2022,0,0,58281.918331953115
0,0,Total - All Industries,,,18,000,00000,Indiana,000000,,2020,0,0,62532.603766423505
0,0,Total - All Industries,,,00,000,14020,Bloomington MSA,000000,,2020,0,0,56360.880503777065
0,0,Total - All Industries,,,00,000,29020,Kokomo MSA,000000,,2023,0,0,70844.61889496823
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2020,0,0,67862.91665337175
0,0,Total - All Industries,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2022,0,0,73495.2680206864
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,000000,,2020,0,0,54753.96112327879
0,0,Total - All Industries,,,00,000,33140,Michigan City-La Porte MSA,000000,,2022,0,0,59489.17607869583
0,0,Total - All Industries,,,00,000,34620,Muncie MSA,000000,,2023,0,0,58950.45431300037
0,0,Total - All Industries,,,18,000,00000,Indiana,000000,,2021,0,0,66031.35936414378
