soccode,soc_title
11-3021,Computer and Information Systems Managers
11-9041,Architectural and Engineering Managers
11-9121,Natural Sciences Managers
15-1211,Computer Systems Analysts
15-1212,Information Security Analysts
15-1221,Computer and Information Research Scientists
15-1231,Computer Network Support Specialists
15-1232,Computer User Support Specialists
15-1241,Computer Network Architects
15-1242,Database Administrators
15-1243,Database Architects
15-1244,Network and Computer Systems Administrators
15-1251,Computer Programmers
15-1252,Software Developers
15-1253,Software Quality Assurance Analysts and Testers
15-1254,Web Developers
15-1255,Web and Digital Interface Designers
15-1299,"Computer Occupations, All Other"
15-2011,Actuaries
15-2021,Mathematicians
15-2031,Operations Research Analysts
15-2041,Statisticians
15-2051,Data Scientists
15-2099,"Mathematical Science Occupations, All Other"
17-1011,"Architects, Except Landscape and Naval"
17-1012,Landscape Architects
17-1021,Cartographers and Photogrammetrists
17-1022,Surveyors
17-2011,Aerospace Engineers
17-2021,Agricultural Engineers
17-2031,Bioengineers and Biomedical Engineers
17-2041,Chemical Engineers
17-2051,Civil Engineers
17-2061,Computer Hardware Engineers
17-2071,Electrical Engineers
17-2072,"Electronics Engineers, Except Computer"
17-2081,Environmental Engineers
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-2112,Industrial Engineers
17-2121,Marine Engineers and Naval Architects
17-2131,Materials Engineers
17-2141,Mechanical Engineers
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2161,Nuclear Engineers
17-2171,Petroleum Engineers
17-2199,"Engineers, All Other"
17-3011,Architectural and Civil Drafters
17-3012,Electrical and Electronics Drafters
17-3013,Mechanical Drafters
17-3019,"Drafters, All Other"
17-3021,Aerospace Engineering and Operations Technologists and Technicians
17-3022,Civil Engineering Technologists and Technicians
17-3023,Electrical and Electronic Engineering Technologists and Technicians
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians
17-3025,Environmental Engineering Technologists and Technicians
17-3026,Industrial Engineering Technologists and Technicians
17-3027,Mechanical Engineering Technologists and Technicians
17-3028,Calibration Technologists and Technicians
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
17-3031,Surveying and Mapping Technicians
19-1011,Animal Scientists
19-1012,Food Scientists and Technologists
19-1013,Soil and Plant Scientists
19-1021,Biochemists and Biophysicists
19-1022,Microbiologists
19-1023,Zoologists and Wildlife Biologists
19-1029,"Biological Scientists, All Other"
19-1031,Conservation Scientists
19-1032,Foresters
19-1041,Epidemiologists
19-1042,"Medical Scientists, Except Epidemiologists"
19-1099,"Life Scientists, All Other"
19-2011,Astronomers
19-2012,Physicists
19-2021,Atmospheric and Space Scientists
19-2031,Chemists
19-2032,Materials Scientists
19-2041,"Environmental Scientists and Specialists, Including Health"
19-2042,"Geoscientists, Except Hydrologists and Geographers"
19-2043,Hydrologists
19-2099,"Physical Scientists, All Other"
19-4012,Agricultural Technicians
19-4013,Food Science Technicians
19-4021,Biological Technicians
19-4031,Chemical Technicians
19-4042,"Environmental Science and Protection Technicians, Including Health"
19-4043,"Geological Technicians, Except Hydrologic Technicians"
19-4044,Hydrologic Technicians
19-4051,Nuclear Technicians
19-4071,Forest and Conservation Technicians
19-4092,Forensic Science Technicians
19-4099,"Life, Physical, and Social Science Technicians, All Other"
25-1021,"Computer Science Teachers, Postsecondary"
25-1022,"Mathematical Science Teachers, Postsecondary"
25-1031,"Architecture Teachers, Postsecondary"
25-1032,"Engineering Teachers, Postsecondary"
25-1041,"Agricultural Sciences Teachers, Postsecondary"
25-1042,"Biological Science Teachers, Postsecondary"
25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
25-1052,"Chemistry Teachers, Postsecondary"
25-1053,"Environmental Science Teachers, Postsecondary"
25-1054,"Physics Teachers, Postsecondary"
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
41-9031,Sales Engineers
