sector_id,sector_name,statefips,countyfips,year,own,disc,naics,repunits,empl,wages
2,522 - Credit Intermediation,04,000,2018,0,0,522210,15.0,968.0,67948951.0
2,522 - Credit Intermediation,15,000,2018,0,0,522310,71.0,203.5,18138578.0
3,523 - Securities and Investments,37,000,2020,0,0,523999,42.0,152.5,17065678.0
3,524 - Insurance,55,000,2019,0,0,524210,3003.0,13339.41,883540182.0
3,523 - Securities and Investments,53,000,2020,0,0,523910,72.0,281.91,52979607.0
3,524 - Insurance,06,000,2021,0,1,524126,729.0,23997.83,2548878107.0
2,522 - Credit Intermediation,23,000,2018,0,1,522291,12.0,0.0,0.0
3,523 - Securities and Investments,72,000,2021,0,0,523910,9.0,17.91,1357435.0
3,525 - Funds and Trusts,44,000,2019,0,1,525910,1.0,0.0,0.0
3,523 - Securities and Investments,38,000,2022,0,1,523910,50.0,0.0,0.0
2,522 - Credit Intermediation,78,000,2022,0,0,522110,27.0,252.25,14292709.0
3,525 - Funds and Trusts,27,000,2019,0,1,525910,22.0,0.0,0.0
2,522 - Credit Intermediation,01,000,2018,0,1,522130,439.0,5182.41,257262678.0
2,522 - Credit Intermediation,40,000,2018,0,0,522292,236.0,1924.33,146533247.0
2,522 - Credit Intermediation,33,000,2022,0,0,522390,13.0,17.5,1974635.0
3,524 - Insurance,38,000,2019,0,0,524298,8.0,31.33,2210189.0
2,522 - Credit Intermediation,49,000,2019,0,0,522130,444.0,7077.83,312770430.0
3,524 - Insurance,22,000,2023,0,0,524130,16.0,319.0,57822435.0
3,524 - Insurance,34,000,2020,0,1,524126,280.0,15150.83,1802665168.0
1,521 - Central Bank,40,000,2019,0,1,521110,3.0,0.0,0.0
3,523 - Securities and Investments,02,000,2024,0,0,523991,4.0,22.08,2112559.0
3,523 - Securities and Investments,11,000,2024,0,1,523991,7.0,0.0,0.0
3,523 - Securities and Investments,41,000,2023,0,0,523160,21.0,52.0,7169219.0
3,524 - Insurance,25,000,2019,0,0,524291,171.0,1717.66,149702048.0
3,523 - Securities and Investments,41,000,2024,0,0,523160,26.0,70.91,10154929.0
3,525 - Funds and Trusts,36,000,2024,0,0,525910,226.0,1034.66,396107892.0
1,521 - Central Bank,01,000,2023,0,0,521110,17.0,94.75,6806460.0
3,523 - Securities and Investments,51,000,2024,0,0,523940,1756.0,7572.75,1579171699.0
3,524 - Insurance,13,000,2023,0,0,524130,44.0,1562.5,160296345.0
3,524 - Insurance,31,000,2022,0,0,524114,51.0,5934.83,597383048.0
3,525 - Funds and Trusts,16,000,2019,0,1,525910,4.0,0.0,0.0
2,522 - Credit Intermediation,0 ,000,2021,0,0,522292,18545.0,288727.75,41856899739.0
2,522 - Credit Intermediation,12,000,2024,0,0,522292,1402.0,11908.75,1581571006.0
3,525 - Funds and Trusts,10,000,2022,0,0,525920,71.0,28.16,2160670.0
3,524 - Insurance,42,000,2023,0,0,524298,484.0,9020.91,959977531.0
3,525 - Funds and Trusts,38,000,2019,0,1,525920,10.0,0.0,0.0
3,524 - Insurance,04,000,2024,0,0,524298,250.0,1592.5,149694870.0
3,524 - Insurance,55,000,2020,0,0,524114,107.0,12459.91,956339942.0
3,525 - Funds and Trusts,26,000,2020,0,0,525120,11.0,147.66,9403991.0
3,524 - Insurance,28,000,2020,0,1,524127,8.0,0.0,0.0
3,523 - Securities and Investments,02,000,2019,0,1,523999,3.0,0.0,0.0
3,525 - Funds and Trusts,37,000,2021,0,1,525120,2.0,0.0,0.0
3,524 - Insurance,19,000,2019,0,0,524298,100.0,611.41,36461764.0
1,521 - Central Bank,53,000,2020,0,1,521110,6.0,0.0,0.0
3,523 - Securities and Investments,16,000,2019,0,0,523991,19.0,44.5,3888945.0
3,524 - Insurance,54,000,2023,0,0,524113,29.0,55.25,4669017.0
3,524 - Insurance,54,000,2018,0,0,524130,3.0,13.0,1126985.0
3,524 - Insurance,11,000,2021,0,0,524113,25.0,82.91,19540306.0
3,524 - Insurance,21,000,2024,0,0,524130,22.0,73.16,9273441.0
2,522 - Credit Intermediation,05,000,2022,0,0,522130,131.0,1105.08,60297168.0
3,523 - Securities and Investments,08,000,2020,0,0,523999,92.0,751.33,97241787.0
3,523 - Securities and Investments,33,000,2024,0,1,523910,38.0,0.0,0.0
3,525 - Funds and Trusts,40,000,2019,0,1,525910,2.0,0.0,0.0
3,523 - Securities and Investments,33,000,2024,0,1,523150,201.0,3679.66,712457021.0
3,525 - Funds and Trusts,21,000,2022,0,0,525110,19.0,26.66,1939845.0
3,523 - Securities and Investments,12,000,2024,0,0,523210,97.0,430.66,83718898.0
3,524 - Insurance,06,000,2019,0,0,524127,679.0,9979.58,1228915198.0
3,524 - Insurance,45,000,2024,0,0,524291,157.0,735.58,69546172.0
3,524 - Insurance,49,000,2021,0,0,524298,166.0,1598.75,96952186.0
3,523 - Securities and Investments,26,000,2022,0,0,523150,1104.0,5958.83,1185686517.0
3,524 - Insurance,49,000,2019,0,0,524126,118.0,1560.75,117687591.0
3,524 - Insurance,24,000,2024,0,0,524127,84.0,795.0,90207049.0
2,522 - Credit Intermediation,04,000,2018,0,0,522310,412.0,3986.75,310120002.0
1,521 - Central Bank,0 ,000,2024,0,0,521110,585.0,20606.0,3182626124.0
2,522 - Credit Intermediation,13,000,2018,0,0,522110,2254.0,35699.0,3172255111.0
2,522 - Credit Intermediation,13,000,2018,0,0,522310,281.0,2046.91,243393726.0
3,524 - Insurance,30,000,2022,0,0,524113,10.0,29.33,3652350.0
2,522 - Credit Intermediation,41,000,2018,0,1,522291,85.0,589.91,40045303.0
1,521 - Central Bank,35,000,2020,0,1,521110,1.0,0.0,0.0
3,523 - Securities and Investments,48,000,2020,0,0,523210,21.0,210.25,38356003.0
2,522 - Credit Intermediation,05,000,2019,0,0,522210,6.0,44.0,2972828.0
2,522 - Credit Intermediation,06,000,2023,0,0,522130,1411.0,22648.75,1879691352.0
2,522 - Credit Intermediation,53,000,2023,0,0,522130,618.0,11268.58,979552464.0
3,524 - Insurance,26,000,2018,0,0,524128,33.0,220.75,16928486.0
3,525 - Funds and Trusts,27,000,2021,0,0,525920,72.0,51.58,11415392.0
3,525 - Funds and Trusts,39,000,2020,0,0,525990,35.0,24.33,4256641.0
3,524 - Insurance,0 ,000,2024,0,0,524128,2288.0,26066.16,3104736050.0
2,522 - Credit Intermediation,25,000,2024,0,0,522210,26.0,86.16,9862779.0
2,522 - Credit Intermediation,42,000,2024,0,0,522130,860.0,11809.5,859033634.0
3,523 - Securities and Investments,31,000,2023,0,0,523160,84.0,299.5,54127886.0
3,524 - Insurance,09,000,2024,0,0,524114,97.0,4610.33,634678315.0
3,525 - Funds and Trusts,06,000,2020,0,0,525120,22.0,257.83,68587410.0
3,525 - Funds and Trusts,11,000,2024,0,0,525910,23.0,38.25,14384487.0
3,525 - Funds and Trusts,11,000,2022,0,0,525910,23.0,42.0,15236906.0
3,525 - Funds and Trusts,15,000,2019,0,1,525110,2.0,0.0,0.0
3,525 - Funds and Trusts,21,000,2021,0,0,525120,11.0,64.5,4375491.0
2,522 - Credit Intermediation,08,000,2024,0,0,522292,566.0,4470.66,560027906.0
3,524 - Insurance,42,000,2022,0,0,524130,49.0,616.5,124509091.0
3,525 - Funds and Trusts,38,000,2020,0,1,525920,13.0,0.0,0.0
1,521 - Central Bank,04,000,2020,0,0,521110,11.0,82.83,7909069.0
2,522 - Credit Intermediation,21,000,2020,0,0,522220,73.0,271.75,25842566.0
2,522 - Credit Intermediation,21,000,2021,0,0,522390,306.0,742.25,27411003.0
2,522 - Credit Intermediation,10,000,2024,0,0,522299,29.0,103.41,7478001.0
3,525 - Funds and Trusts,28,000,2022,0,0,525190,6.0,21.0,1776008.0
3,523 - Securities and Investments,51,000,2022,0,0,523150,1042.0,5186.75,1262967719.0
2,522 - Credit Intermediation,30,000,2024,0,0,522299,72.0,374.75,26131511.0
3,523 - Securities and Investments,45,000,2021,0,0,523991,38.0,66.0,7256788.0
3,523 - Securities and Investments,05,000,2022,0,0,523910,49.0,69.58,9305119.0
3,524 - Insurance,18,000,2018,0,0,524128,27.0,705.83,41353665.0
3,525 - Funds and Trusts,01,000,2018,0,1,525110,2.0,0.0,0.0
3,523 - Securities and Investments,51,000,2024,0,0,523991,63.0,183.5,20118708.0
3,524 - Insurance,16,000,2019,0,0,524292,33.0,881.83,37896051.0
3,525 - Funds and Trusts,37,000,2018,0,0,525990,91.0,81.0,19572558.0
2,522 - Credit Intermediation,30,000,2019,0,0,522130,122.0,1394.33,68675950.0
2,522 - Credit Intermediation,13,000,2024,0,0,522180,63.0,530.0,50266064.0
2,522 - Credit Intermediation,13,000,2023,0,0,522110,2206.0,36789.66,3940403857.0
3,523 - Securities and Investments,54,000,2021,0,0,523991,9.0,33.0,2417186.0
3,524 - Insurance,46,000,2024,0,0,524127,18.0,162.58,10446598.0
3,524 - Insurance,56,000,2021,0,0,524292,24.0,62.41,4078507.0
