statefips,countyfips,metrofips,cnty_name,year,code,data
18,000,00000,State Total,2017,100,73238
18,000,00000,State Total,2017,101,38046
18,000,00000,State Total,2017,102,8794
18,000,00000,State Total,2017,103,26398
18,000,00000,State Total,2017,200,0
18,000,00000,State Total,2017,201,0
18,000,00000,State Total,2017,202,0
18,000,00000,State Total,2017,203,0
18,000,00000,State Total,2017,204,0
18,000,00000,State Total,2017,300,37327
18,000,00000,State Total,2017,301,35911
18,000,00000,State Total,2017,302,1673
18,000,00000,State Total,2017,303,7942
18,000,00000,State Total,2017,304,13282
18,000,00000,State Total,2017,304,6641
18,000,00000,State Total,2017,305,2985
18,000,00000,State Total,2017,306,53997
18,000,00000,State Total,2017,400,6450
18,000,00000,State Total,2017,401,66788
18,000,00000,State Total,2017,500,24407
18,000,00000,State Total,2017,501,48831
18,000,00000,State Total,2017,600,28108
18,000,00000,State Total,2017,601,1822
18,000,00000,State Total,2017,602,19569
18,000,00000,State Total,2017,603,11103
18,000,00000,State Total,2017,604,12636
18,000,00000,State Total,2017,700,46149
18,000,00000,State Total,2017,800,33594
18,000,00000,State Total,2017,900,5542
18,000,00000,State Total,2017,901,5417
18,000,00000,State Total,2017,902,2125
18,000,00000,State Total,2017,903,5730
18,000,00000,State Total,2017,904,7332
18,000,00000,State Total,2017,905,3018
18,000,00000,State Total,2017,906,1936
18,000,00000,State Total,2017,907,2494
18,000,00000,State Total,2017,908,9339
18,000,00000,State Total,2017,909,480
18,000,00000,State Total,2017,910,170
18,000,00000,State Total,2017,911,23159
18,000,00000,State Total,2017,912,446
18,000,00000,State Total,2018,100,73959
18,000,00000,State Total,2018,101,39243
18,000,00000,State Total,2018,102,7397
18,000,00000,State Total,2018,103,27319
18,000,00000,State Total,2018,200,0
18,000,00000,State Total,2018,201,56497
18,000,00000,State Total,2018,202,4802
18,000,00000,State Total,2018,203,7295
18,000,00000,State Total,2018,204,5365
18,000,00000,State Total,2018,300,37426
18,000,00000,State Total,2018,301,36533
18,000,00000,State Total,2018,302,1820
18,000,00000,State Total,2018,303,7912
18,000,00000,State Total,2018,304,13864
18,000,00000,State Total,2018,304,6932
18,000,00000,State Total,2018,305,3115
18,000,00000,State Total,2018,306,54180
18,000,00000,State Total,2018,400,6777
18,000,00000,State Total,2018,401,67182
18,000,00000,State Total,2018,500,26694
18,000,00000,State Total,2018,501,47265
18,000,00000,State Total,2018,600,0
18,000,00000,State Total,2018,601,31013
18,000,00000,State Total,2018,602,19793
18,000,00000,State Total,2018,603,11687
18,000,00000,State Total,2018,604,11466
18,000,00000,State Total,2018,700,45221
18,000,00000,State Total,2018,800,32242
18,000,00000,State Total,2018,900,4819
18,000,00000,State Total,2018,901,5180
18,000,00000,State Total,2018,902,2051
18,000,00000,State Total,2018,903,5409
18,000,00000,State Total,2018,904,7413
18,000,00000,State Total,2018,905,3048
18,000,00000,State Total,2018,906,1885
18,000,00000,State Total,2018,907,2437
18,000,00000,State Total,2018,908,8375
18,000,00000,State Total,2018,909,497
