year,statefips,metrofips,geo_area,code,category,data
2017,18,00000,Indiana,100,Total High School Graduates,73238
2017,18,00000,Indiana,101,Diploma Type - Core 40,38046
2017,18,00000,Indiana,102,Diploma Type - General,8794
2017,18,00000,Indiana,103,Diploma Type - Honors,26398
2017,18,00000,Indiana,200,No ACT data,0
2017,18,00000,Indiana,201,ACT - < 15,0
2017,18,00000,Indiana,202,ACT - 15-19,0
2017,18,00000,Indiana,203,ACT - 20-25,0
2017,18,00000,Indiana,204,ACT - 26-36,0
2017,18,00000,Indiana,300,Gender - Female,37327
2017,18,00000,Indiana,301,Gender - Male,35911
2017,18,00000,Indiana,302,Race/Ethnicity - Asian,1673
2017,18,00000,Indiana,303,Race/Ethnicity - Black,7942
2017,18,00000,Indiana,304,Race/Ethnicity - Hispanic or Latino,13282
2017,18,00000,Indiana,304,Race/Ethnicity - Hispanic or Latino,6641
2017,18,00000,Indiana,305,Race/Ethnicity - Other,2985
2017,18,00000,Indiana,306,Race/Ethnicity - White,53997
2017,18,00000,Indiana,400,Waiver Status - Graduated with Waiver,6450
2017,18,00000,Indiana,401,Waiver Status - Graduated without Waiver,66788
2017,18,00000,Indiana,500,Socioeconomic Status - Free or Reduced Lunch,24407
2017,18,00000,Indiana,501,Socioeconomic Status - Non Free or Reduced Lunch,48831
2017,18,00000,Indiana,600,No SAT data,28108
2017,18,00000,Indiana,601,SAT - < 800,1822
2017,18,00000,Indiana,602,SAT - 1000-1199,19569
2017,18,00000,Indiana,603,SAT - 1200-1600,11103
2017,18,00000,Indiana,604,SAT - 800-999,12636
2017,18,00000,Indiana,700,College Enrollments,46149
2017,18,00000,Indiana,800,Indiana Public College Enrollments,33594
2017,18,00000,Indiana,900,Area of Study - Arts and Humanities,5542
2017,18,00000,Indiana,901,Area of Study - Business and Communication,5417
2017,18,00000,Indiana,902,Area of Study - Education,2125
2017,18,00000,Indiana,903,Area of Study - Health,5730
2017,18,00000,Indiana,904,"Area of Study - Science, Technology, Engineering, and Math (STEM)",7332
2017,18,00000,Indiana,905,Area of Study - Social and Behavioral Sciences and Human Services,3018
2017,18,00000,Indiana,906,Area of Study - Trades,1936
2017,18,00000,Indiana,907,Area of Study - Undecided,2494
2017,18,00000,Indiana,908,Degree Level - Associate,9339
2017,18,00000,Indiana,909,Degree Level - Award of at least 1 but less than 2 academic years,480
2017,18,00000,Indiana,910,Degree Level - Award of less than 1 academic year,170
2017,18,00000,Indiana,911,Degree Level - Bachelor's,23159
2017,18,00000,Indiana,912,Degree Level - Unclassified undergraduate,446
2018,18,00000,Indiana,100,Total High School Graduates,73959
2018,18,00000,Indiana,101,Diploma Type - Core 40,39243
2018,18,00000,Indiana,102,Diploma Type - General,7397
2018,18,00000,Indiana,103,Diploma Type - Honors,27319
2018,18,00000,Indiana,200,No ACT data,0
2018,18,00000,Indiana,201,ACT - < 15,56497
2018,18,00000,Indiana,202,ACT - 15-19,4802
2018,18,00000,Indiana,203,ACT - 20-25,7295
2018,18,00000,Indiana,204,ACT - 26-36,5365
2018,18,00000,Indiana,300,Gender - Female,37426
2018,18,00000,Indiana,301,Gender - Male,36533
2018,18,00000,Indiana,302,Race/Ethnicity - Asian,1820
2018,18,00000,Indiana,303,Race/Ethnicity - Black,7912
2018,18,00000,Indiana,304,Race/Ethnicity - Hispanic or Latino,13864
2018,18,00000,Indiana,304,Race/Ethnicity - Hispanic or Latino,6932
2018,18,00000,Indiana,305,Race/Ethnicity - Other,3115
2018,18,00000,Indiana,306,Race/Ethnicity - White,54180
