display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,females,males
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2020,000000,,0,0,6637074.07111145,15937447.41977375
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2021,000000,,0,0,6967024.823790991,16317624.853786293
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2022,000000,,0,0,7420784.324625809,16982584.382192615
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2023,000000,,0,0,7491782.91824672,17074522.942463573
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2024,000000,,0,0,7450547.852918781,16977782.25250598
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2020,000000,,0,0,5014.956486870277,6794.853909147477
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2021,000000,,0,0,5735.711718993176,7569.199638695667
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2022,000000,,0,0,6547.818237474616,8488.670095630858
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2023,000000,,0,0,6016.759480006802,8114.319279807709
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,2024,000000,,0,0,5514.017938621809,7656.1930934099755
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,248934.68603162133,533278.187375094
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,254576.0354848008,537505.2023136783
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,267757.4056348862,551544.9139886731
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,274546.5366010862,555550.851158905
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,000000,,0,0,276099.55698637356,555919.0389241512
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,58963.42029913943,151134.07903635653
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,63263.86946904385,156012.74127546046
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,66460.81692209412,159899.21658463767
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,67879.25660975979,160965.09173756183
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,2024,000000,,0,0,67566.17677742841,160765.2577072994
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2020,000000,,0,0,6079.429743609739,14754.557216452638
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,2021,000000,,0,0,6088.9556810849235,14709.279821383536
