display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,naics,naics_title,group_by_sort,sort,jobs,grp
3,1,Manufacturing,8,Furniture and Wood Products Manufacturing,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,3219,Other Wood Product Manufacturing,3,3,211.1714321958,41649594.943276
3,1,Manufacturing,13,x-All Other Manufacturing,0,000,00000,United States,2019,3222,Converted Paper Product Manufacturing,3,3,276298.7311971,34248028418.34
3,2,Logistics,7,Freight Transportation and Logistics,0,000,00000,United States,2011,5619,Other Support Services,3,3,51808.7593837,3119083644.08
3,1,Manufacturing,11,Metals Manufacturing,00,000,34620,Muncie MSA,2012,3335,Metalworking Machinery Manufacturing,3,3,451.08189676639995,34404362.571742
3,1,Manufacturing,1,Agbiosciences Manufacturing,18,000,00000,Indiana,2018,3117,Seafood Product Preparation and Packaging,3,3,2.5910627893,2916209.35762
3,1,Manufacturing,13,x-All Other Manufacturing,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2011,3399,Other Miscellaneous Manufacturing,3,3,959.7518716239999,86812556.5305
3,1,Manufacturing,1,Agbiosciences Manufacturing,00,000,29020,Kokomo MSA,2009,3117,Seafood Product Preparation and Packaging,3,3,0.0,0.0
2,1,Manufacturing,12,Polymers/Plastics Manufacturing,00,000,43780,South Bend-Mishawaka MSA,2020,000000,,2,2,2352.90415457312,240313664.32063895
3,1,Manufacturing,5,Electronic Components and Products Manufacturing,18,000,00000,Indiana,2008,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",3,3,4990.605449819,507200477.67579997
3,2,Logistics,14,Wholesale Distribution,18,000,00000,Indiana,2010,4239,Miscellaneous Durable Goods Merchant Wholesalers,3,3,6317.330837614,593231699.8521
3,1,Manufacturing,11,Metals Manufacturing,18,000,00000,Indiana,2019,3323,Architectural and Structural Metals Manufacturing,3,3,13610.003109730002,1194575925.1604
3,2,Logistics,14,Wholesale Distribution,00,000,16980,Chicago-Naperville-Elgin MSA,2010,4239,Miscellaneous Durable Goods Merchant Wholesalers,3,3,10087.515148444,1199570504.7189999
3,1,Manufacturing,6,Energy Manufacturing,00,000,14020,Bloomington MSA,2023,3359,Other Electrical Equipment and Component Manufacturing,3,3,39.1211942069,4204668.69575
3,1,Manufacturing,13,x-All Other Manufacturing,00,000,18020,Columbus MSA,2016,3241,Petroleum and Coal Products Manufacturing,3,3,0.0,24003.0406789
1,2,Logistics,0,,18,000,00000,Indiana,2008,000000,,1,1,233295.40947827577,24713638050.076992
3,1,Manufacturing,13,x-All Other Manufacturing,00,000,34620,Muncie MSA,2013,3219,Other Wood Product Manufacturing,3,3,9.43194670998,808694.242179
2,1,Manufacturing,3,Automotive/Motor Vehicle Manufacturing,00,000,34620,Muncie MSA,2011,000000,,2,2,636.4999992147999,51684352.35011599
2,1,Manufacturing,13,x-All Other Manufacturing,00,000,23060,Fort Wayne MSA,2007,000000,,2,2,6091.914383214728,516521930.08903456
2,1,Manufacturing,11,Metals Manufacturing,00,000,45460,Terre Haute MSA,2020,000000,,2,2,1471.808291755291,152498186.26015958
3,1,Manufacturing,13,x-All Other Manufacturing,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,3151,Apparel Knitting Mills,3,3,91.1291670538,7000064.86182
3,1,Manufacturing,9,Industrial Machinery Manufacturing,00,000,21780,Evansville MSA,2020,3339,Other General Purpose Machinery Manufacturing,3,3,105.84535342749999,14253519.85175
3,1,Manufacturing,10,Life Sciences Manufacturing,00,000,29020,Kokomo MSA,2024,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",3,3,0.0,0.0
3,1,Manufacturing,11,Metals Manufacturing,00,000,17140,Cincinnati MSA,2016,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",3,3,4087.942148011,398164133.6481
3,1,Manufacturing,13,x-All Other Manufacturing,00,000,43780,South Bend-Mishawaka MSA,2012,3241,Petroleum and Coal Products Manufacturing,3,3,94.8420529001,11842294.771288
3,1,Manufacturing,1,Agbiosciences Manufacturing,00,000,23060,Fort Wayne MSA,2011,3112,Grain and Oilseed Milling,3,3,0.0,0.0
3,2,Logistics,7,Freight Transportation and Logistics,00,000,23060,Fort Wayne MSA,2018,5416,"Management, Scientific, and Technical Consulting Services",3,3,177.939447256,17391294.2941
3,1,Manufacturing,13,x-All Other Manufacturing,00,000,21140,Elkhart-Goshen MSA,2020,3219,Other Wood Product Manufacturing,3,3,169.566684376,13715360.6905
3,2,Logistics,14,Wholesale Distribution,00,000,18020,Columbus MSA,2013,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",3,3,6.46379515522,801978.50188
3,2,Logistics,14,Wholesale Distribution,00,000,45460,Terre Haute MSA,2021,4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,3,3,66.3094552057,17006765.90754
3,2,Logistics,7,Freight Transportation and Logistics,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2013,4884,Support Activities for Road Transportation,3,3,113.747763242,8620440.11976
3,2,Logistics,7,Freight Transportation and Logistics,00,000,21780,Evansville MSA,2023,5416,"Management, Scientific, and Technical Consulting Services",3,3,45.0979175461,7202762.57434
3,1,Manufacturing,12,Polymers/Plastics Manufacturing,00,000,29200,Lafayette-West Lafayette MSA,2011,3251,Basic Chemical Manufacturing,3,3,0.0,0.0
3,2,Logistics,14,Wholesale Distribution,00,000,18020,Columbus MSA,2024,4247,Petroleum and Petroleum Products Merchant Wholesalers,3,3,1.27917416336,1340522.34435
3,1,Manufacturing,13,x-All Other Manufacturing,00,000,17140,Cincinnati MSA,2012,3365,Railroad Rolling Stock Manufacturing,3,3,0.0,129615.541582
3,2,Logistics,14,Wholesale Distribution,18,000,00000,Indiana,2024,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,3,3,13531.884098874001,3037982947.672
3,1,Manufacturing,11,Metals Manufacturing,0,000,00000,United States,2010,3323,Architectural and Structural Metals Manufacturing,3,3,320912.7176353,24042929565.43
3,1,Manufacturing,9,Industrial Machinery Manufacturing,00,000,29200,Lafayette-West Lafayette MSA,2014,3332,Industrial Machinery Manufacturing,3,3,0.0,73080.4317702
3,1,Manufacturing,1,Agbiosciences Manufacturing,00,000,33140,Michigan City-La Porte MSA,2013,3119,Other Food Manufacturing,3,3,0.0,597747.5213548001
3,1,Manufacturing,11,Metals Manufacturing,00,000,18020,Columbus MSA,2016,3321,Forging and Stamping,3,3,350.21268185184,25381242.042233
3,2,Logistics,14,Wholesale Distribution,00,000,17140,Cincinnati MSA,2015,4251,Wholesale Trade Agents and Brokers,3,3,7064.19752687,1544807692.49
3,2,Logistics,14,Wholesale Distribution,00,000,34620,Muncie MSA,2020,4247,Petroleum and Petroleum Products Merchant Wholesalers,3,3,96.0485712881,104680709.3509
3,1,Manufacturing,3,Automotive/Motor Vehicle Manufacturing,00,000,21140,Elkhart-Goshen MSA,2007,3362,Motor Vehicle Body and Trailer Manufacturing,3,3,25867.70956541,1908923561.5818
3,1,Manufacturing,4,Consumer Products Manufacturing,00,000,43780,South Bend-Mishawaka MSA,2012,3379,Other Furniture Related Product Manufacturing,3,3,20.7427049262,953026.053238
3,1,Manufacturing,11,Metals Manufacturing,00,000,18020,Columbus MSA,2024,3339,Other General Purpose Machinery Manufacturing,3,3,0.0,0.0
3,1,Manufacturing,1,Agbiosciences Manufacturing,00,000,23060,Fort Wayne MSA,2015,3116,Animal Slaughtering and Processing,3,3,61.05552689944,5103279.522774801
3,1,Manufacturing,8,Furniture and Wood Products Manufacturing,00,000,29020,Kokomo MSA,2008,3219,Other Wood Product Manufacturing,3,3,0.338492584528,320954.5241714
3,1,Manufacturing,2,Aircraft/Aerospace Manufacturing,00,000,21140,Elkhart-Goshen MSA,2019,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",3,3,0.0,0.0
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,2010,000000,,0,0,20200496.233665578,2923358831361.8076
3,1,Manufacturing,1,Agbiosciences Manufacturing,00,000,29020,Kokomo MSA,2013,3251,Basic Chemical Manufacturing,3,3,0.0,0.0
3,1,Manufacturing,13,x-All Other Manufacturing,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2011,3133,Textile and Fabric Finishing and Fabric Coating Mills,3,3,35.544622378599996,2062378.2029400002
3,1,Manufacturing,11,Metals Manufacturing,00,000,43780,South Bend-Mishawaka MSA,2018,3323,Architectural and Structural Metals Manufacturing,3,3,704.343822827694,56866443.037254095
3,1,Manufacturing,5,Electronic Components and Products Manufacturing,00,000,17140,Cincinnati MSA,2013,3341,Computer and Peripheral Equipment Manufacturing,3,3,7.33510442026,1033776.618603
3,1,Manufacturing,1,Agbiosciences Manufacturing,00,000,29020,Kokomo MSA,2020,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",3,3,0.0,112050.9267894
2,1,Manufacturing,10,Life Sciences Manufacturing,00,000,14020,Bloomington MSA,2009,000000,,2,2,5649.535725469917,778335377.0719973
2,1,Manufacturing,8,Furniture and Wood Products Manufacturing,00,000,18020,Columbus MSA,2020,000000,,2,2,700.2665572946411,69992697.95502871
3,1,Manufacturing,12,Polymers/Plastics Manufacturing,00,000,14020,Bloomington MSA,2016,3255,"Paint, Coating, and Adhesive Manufacturing",3,3,0.0,0.0
2,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2024,000000,,2,2,6104400.17838612,1680710805203.1548
3,1,Manufacturing,1,Agbiosciences Manufacturing,00,000,16980,Chicago-Naperville-Elgin MSA,2024,3118,Bakeries and Tortilla Manufacturing,3,3,21097.711521152,2064164155.0201
3,1,Manufacturing,13,x-All Other Manufacturing,0,000,00000,United States,2019,3274,Lime and Gypsum Product Manufacturing,3,3,16057.25218439,4721608071.04
3,1,Manufacturing,1,Agbiosciences Manufacturing,00,000,43780,South Bend-Mishawaka MSA,2021,3115,Dairy Product Manufacturing,3,3,41.227085719950004,3698332.565341
3,1,Manufacturing,13,x-All Other Manufacturing,18,000,00000,Indiana,2016,3251,Basic Chemical Manufacturing,3,3,1094.363190509,288308462.48440003
2,1,Manufacturing,6,Energy Manufacturing,00,000,21780,Evansville MSA,2019,000000,,2,2,474.49698279597703,641223239.1619017
3,1,Manufacturing,11,Metals Manufacturing,0,000,00000,United States,2009,3339,Other General Purpose Machinery Manufacturing,3,3,13313.430059,1502203401.0
3,1,Manufacturing,8,Furniture and Wood Products Manufacturing,00,000,16980,Chicago-Naperville-Elgin MSA,2018,3211,Sawmills and Wood Preservation,3,3,134.13725535790002,18581788.85216
3,2,Logistics,14,Wholesale Distribution,00,000,31140,Louisville/Jefferson County MSA,2007,4242,Drugs and Druggists' Sundries Merchant Wholesalers,3,3,691.992234493,262684133.45
3,2,Logistics,7,Freight Transportation and Logistics,00,000,29200,Lafayette-West Lafayette MSA,2018,5416,"Management, Scientific, and Technical Consulting Services",3,3,177.328394877,24867697.3929
3,1,Manufacturing,11,Metals Manufacturing,00,000,43780,South Bend-Mishawaka MSA,2007,3339,Other General Purpose Machinery Manufacturing,3,3,148.802363109,21712995.7532
3,1,Manufacturing,11,Metals Manufacturing,00,000,21780,Evansville MSA,2021,3325,Hardware Manufacturing,3,3,0.0,0.0
3,1,Manufacturing,5,Electronic Components and Products Manufacturing,00,000,18020,Columbus MSA,2007,3344,Semiconductor and Other Electronic Component Manufacturing,3,3,59.7591125025,5228564.9285293
3,2,Logistics,14,Wholesale Distribution,0,000,00000,United States,2009,4246,Chemical and Allied Products Merchant Wholesalers,3,3,123661.129743,21731581474.57
3,1,Manufacturing,12,Polymers/Plastics Manufacturing,00,000,17140,Cincinnati MSA,2016,3255,"Paint, Coating, and Adhesive Manufacturing",3,3,585.159021587,156375255.5499
2,1,Manufacturing,4,Consumer Products Manufacturing,18,000,00000,Indiana,2009,000000,,2,2,11813.00545261802,1489230360.6371553
3,1,Manufacturing,10,Life Sciences Manufacturing,00,000,29020,Kokomo MSA,2020,3391,Medical Equipment and Supplies Manufacturing,3,3,0.0,0.0
2,1,Manufacturing,10,Life Sciences Manufacturing,00,000,23060,Fort Wayne MSA,2007,000000,,2,2,74.46153440404001,12917081.919115601
1,2,Logistics,0,,00,000,33140,Michigan City-La Porte MSA,2019,000000,,1,1,2977.366323781811,369287539.5819989
2,1,Manufacturing,4,Consumer Products Manufacturing,00,000,14020,Bloomington MSA,2021,000000,,2,2,72.619691876968,6810225.513810499
2,1,Manufacturing,6,Energy Manufacturing,00,000,14020,Bloomington MSA,2019,000000,,2,2,147.35846502,14258005.1476
3,2,Logistics,14,Wholesale Distribution,00,000,45460,Terre Haute MSA,2012,4247,Petroleum and Petroleum Products Merchant Wholesalers,3,3,62.364842559699994,74868343.5912
2,1,Manufacturing,9,Industrial Machinery Manufacturing,18,000,00000,Indiana,2021,000000,,2,2,16968.149995033327,2306392626.718292
3,1,Manufacturing,4,Consumer Products Manufacturing,00,000,21140,Elkhart-Goshen MSA,2011,3399,Other Miscellaneous Manufacturing,3,3,489.15703232013004,46196433.887132004
3,2,Logistics,7,Freight Transportation and Logistics,00,000,16980,Chicago-Naperville-Elgin MSA,2010,4884,Support Activities for Road Transportation,3,3,1129.55949398,90479541.617
3,1,Manufacturing,11,Metals Manufacturing,00,000,16980,Chicago-Naperville-Elgin MSA,2022,3324,"Boiler, Tank, and Shipping Container Manufacturing",3,3,3043.2413177089,531772451.02220005
3,1,Manufacturing,13,x-All Other Manufacturing,00,000,29200,Lafayette-West Lafayette MSA,2008,3161,Leather and Hide Tanning and Finishing,3,3,0.0,80383.1727884
3,1,Manufacturing,6,Energy Manufacturing,00,000,18020,Columbus MSA,2024,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",3,3,0.0,0.0
3,2,Logistics,7,Freight Transportation and Logistics,00,000,14020,Bloomington MSA,2017,5619,Other Support Services,3,3,0.0,21820.8391428
3,1,Manufacturing,11,Metals Manufacturing,00,000,14020,Bloomington MSA,2018,3313,Alumina and Aluminum Production and Processing,3,3,0.0,97240.2535014
3,1,Manufacturing,9,Industrial Machinery Manufacturing,00,000,29200,Lafayette-West Lafayette MSA,2011,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",3,3,0.0,395896.881916
3,1,Manufacturing,13,x-All Other Manufacturing,00,000,21780,Evansville MSA,2024,3222,Converted Paper Product Manufacturing,3,3,61.086964523149,10047011.873892
3,2,Logistics,7,Freight Transportation and Logistics,18,000,00000,Indiana,2017,4812,Nonscheduled Air Transportation,3,3,21.400147871,3867153.77109
3,1,Manufacturing,11,Metals Manufacturing,00,000,21140,Elkhart-Goshen MSA,2023,3311,Iron and Steel Mills and Ferroalloy Manufacturing,3,3,46.3831909197,23760520.2267
3,1,Manufacturing,5,Electronic Components and Products Manufacturing,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2009,3353,Electrical Equipment Manufacturing,3,3,92.3227872874,5901500.8473
3,1,Manufacturing,5,Electronic Components and Products Manufacturing,00,000,21780,Evansville MSA,2011,3342,Communications Equipment Manufacturing,3,3,229.119565419,34095360.2416
3,1,Manufacturing,12,Polymers/Plastics Manufacturing,00,000,33140,Michigan City-La Porte MSA,2007,3255,"Paint, Coating, and Adhesive Manufacturing",3,3,3.10066261224,285151.943288
3,1,Manufacturing,10,Life Sciences Manufacturing,00,000,21780,Evansville MSA,2017,3254,Pharmaceutical and Medicine Manufacturing,3,3,647.732203819,279728793.24
3,1,Manufacturing,6,Energy Manufacturing,00,000,43780,South Bend-Mishawaka MSA,2017,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",3,3,0.0,0.0
