display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,year,naics,naics_title,group_by_sort,sort,jobs,grp
0,0,Healthcare Total,,,0,000,00000,United States,2007,000000,,0,0,13029890.253457397,856794943626.3303
0,0,Healthcare Total,,,0,000,00000,United States,2008,000000,,0,0,13355076.381844202,923490015190.7402
0,0,Healthcare Total,,,0,000,00000,United States,2009,000000,,0,0,13608496.156974198,981591082874.4199
0,0,Healthcare Total,,,0,000,00000,United States,2010,000000,,0,0,13851645.340983598,1023477728591.8099
0,0,Healthcare Total,,,0,000,00000,United States,2011,000000,,0,0,14072817.865827598,1049709841697.4601
0,0,Healthcare Total,,,0,000,00000,United States,2012,000000,,0,0,14335517.0775981,1090397682762.0599
0,0,Healthcare Total,,,0,000,00000,United States,2013,000000,,0,0,14544999.602339301,1119821525667.8901
0,0,Healthcare Total,,,0,000,00000,United States,2014,000000,,0,0,14715783.613914197,1150422571519.7202
0,0,Healthcare Total,,,0,000,00000,United States,2015,000000,,0,0,15075549.2622382,1216731244860.6199
0,0,Healthcare Total,,,0,000,00000,United States,2016,000000,,0,0,15468879.739602603,1280527076120.65
0,0,Healthcare Total,,,0,000,00000,United States,2017,000000,,0,0,15713071.864605399,1329854443689.1902
0,0,Healthcare Total,,,0,000,00000,United States,2018,000000,,0,0,16026816.956768,1382056284263.19
0,0,Healthcare Total,,,0,000,00000,United States,2019,000000,,0,0,16281310.061659003,1449570370553.1194
0,0,Healthcare Total,,,0,000,00000,United States,2020,000000,,0,0,15824549.979313498,1444693234680.4285
0,0,Healthcare Total,,,0,000,00000,United States,2021,000000,,0,0,16075369.410796197,1560321694545.0898
0,0,Healthcare Total,,,0,000,00000,United States,2022,000000,,0,0,16315389.377602197,1662363524708.63
0,0,Healthcare Total,,,0,000,00000,United States,2023,000000,,0,0,17006809.0943517,1821235102844.92
0,0,Healthcare Total,,,0,000,00000,United States,2024,000000,,0,0,17682228.418845303,1953894998394.15
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2007,000000,,0,0,7295.50168835024,428145613.164482
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2008,000000,,0,0,7482.521266304751,460608653.9588203
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2009,000000,,0,0,7603.274884595662,469027030.82565874
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2010,000000,,0,0,7726.634902972371,495202728.4654742
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2011,000000,,0,0,8008.3164399626485,495182738.08154297
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2012,000000,,0,0,8097.790199231198,533578637.22030056
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2013,000000,,0,0,8120.351113723693,552252561.8081383
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2014,000000,,0,0,7550.199081837401,537431186.840643
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2015,000000,,0,0,7217.69201197323,525590528.353845
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2016,000000,,0,0,7365.509164098939,557347716.889987
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2017,000000,,0,0,7377.75126862859,574344269.8885583
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2018,000000,,0,0,7493.47658394135,591881268.8324164
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,7741.882323013199,618276015.9594572
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,8406.36871044231,700560576.1507353
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,8210.103572995235,747329555.6908914
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,8146.859282001761,800824615.9123368
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,8817.259383332672,868212496.9985684
0,0,Healthcare Total,,,00,000,14020,Bloomington MSA,2024,000000,,0,0,9140.476837489832,939355858.4429227
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2007,000000,,0,0,399012.3655646369,27962775554.934803
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2008,000000,,0,0,407350.592758621,29774648756.08691
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2009,000000,,0,0,415060.378187612,31789622898.940792
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2010,000000,,0,0,421606.78679529805,32698079263.1083
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2011,000000,,0,0,428905.10898354196,33568553363.720005
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2012,000000,,0,0,435778.104110544,34699075005.29261
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2013,000000,,0,0,440026.2274785419,35184995632.993904
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2014,000000,,0,0,445017.9773713369,35998266741.26041
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2015,000000,,0,0,458577.96837446396,37900507943.3131
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2016,000000,,0,0,463365.28645294596,39500768235.631004
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2017,000000,,0,0,466736.46565604804,40936446894.705894
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2018,000000,,0,0,474539.17733020696,42826744557.20601
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,476115.505597573,43508573808.9666
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,456356.03336944093,42908152926.79309
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,459352.911851522,45274137795.21569
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,462741.390218415,48402248209.73589
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,483448.09251883696,52785551313.4125
0,0,Healthcare Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,000000,,0,0,509508.16937668604,56697137838.670006
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2007,000000,,0,0,110729.09121958572,7111375800.940949
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2008,000000,,0,0,113424.4406140267,7644195996.033508
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2009,000000,,0,0,113771.84940032999,8016666612.090088
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2010,000000,,0,0,115141.83674974098,8220523950.779387
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2011,000000,,0,0,114905.9501499758,8291173070.625471
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2012,000000,,0,0,116968.68676179442,8664257254.83634
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2013,000000,,0,0,119923.9795108938,9095989974.23117
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2014,000000,,0,0,121967.91029740061,9441054610.441
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2015,000000,,0,0,123388.21661705463,9994290983.52944
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2016,000000,,0,0,124806.08676261612,10222492260.25744
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2017,000000,,0,0,126335.22121677827,10604729923.740252
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2018,000000,,0,0,127922.83658002908,10936960628.990269
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,130712.8371870726,11513911972.773064
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,127911.77953271096,11565805655.507122
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,129622.83652210521,12487157934.029852
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,130163.04491112522,13148013844.261572
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,134880.66660597248,14331631260.050007
0,0,Healthcare Total,,,00,000,17140,Cincinnati MSA,2024,000000,,0,0,138801.09159416525,15096584503.01623
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2007,000000,,0,0,3099.2971358025598,183589720.88377285
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2008,000000,,0,0,3135.90613860761,193037614.263781
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2009,000000,,0,0,2921.6860830289897,196682839.85277212
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2010,000000,,0,0,2473.9238830680324,184115207.534223
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2011,000000,,0,0,2490.13298966808,177015878.8399915
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2012,000000,,0,0,2520.17123143877,185121911.78134593
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2013,000000,,0,0,2672.748570183193,195969821.3456572
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2014,000000,,0,0,2645.8966863826304,198412541.7316745
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2015,000000,,0,0,2785.3003411111217,217841710.34707865
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2016,000000,,0,0,3033.368561491675,234191627.7004542
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2017,000000,,0,0,3060.6333566093517,240053089.66166958
0,0,Healthcare Total,,,00,000,18020,Columbus MSA,2018,000000,,0,0,3011.378674748041,233676300.6871891
