year,NAICS,occ
2027,115111,11-2033
2019,311111,33-9093
2023,312112,19-1041
2028,325320,51-8092
2023,424430,53-5022
2026,424440,51-4199
2019,115310,53-2011
2022,311225,27-4021
2025,311830,51-3091
2023,311942,39-2021
2020,312111,17-2011
2024,312111,33-3021
2023,424450,53-6032
2027,424460,37-2021
2026,424590,51-9193
2028,325315,43-4181
2025,423820,53-5021
2026,424470,43-4161
2022,113210,47-5023
2028,115112,15-1232
2022,311211,15-2011
2026,311211,29-1041
2026,311340,41-9099
2027,311615,31-9092
2028,114111,49-9051
2023,311225,13-1141
2020,311612,45-2041
2023,311919,51-9194
2027,333111,39-9099
2021,424510,51-2098
2027,113110,11-3131
2025,114112,27-3099
2021,311991,49-2011
2028,311991,45-4029
2021,312113,43-3011
2026,325414,47-3013
2019,424460,53-7065
2028,115111,29-2034
2026,311352,43-9111
2027,311513,51-4041
2025,112000,53-5031
2022,311225,43-9061
2027,311340,51-9193
2027,311612,49-2095
2026,312130,53-3031
2028,322110,47-4071
2025,424810,19-4044
2026,114111,11-3121
2023,311613,47-5011
2020,325311,33-1012
2019,493120,33-1091
2025,115115,43-5021
2024,311520,51-5113
2025,311830,41-2021
2026,311920,41-9041
2022,311212,45-2041
2028,311225,53-7121
2027,311811,49-3051
2027,325193,39-9099
2020,333112,51-7042
2021,115115,43-3011
2027,311352,51-9194
2028,311423,13-1199
2023,325314,51-9161
2027,423820,51-9197
2021,311412,21-1012
2027,311512,27-1012
2025,311613,53-1041
2019,311821,51-9192
2028,424910,53-6021
2024,424910,49-9041
2026,311512,45-4029
2028,311513,43-3031
2026,312120,47-5099
2025,113210,33-1091
2024,311111,53-7081
2023,311230,15-2011
2027,311351,47-5041
2023,311611,47-4021
2026,311812,39-4021
2021,312111,17-3023
2028,312230,43-9021
2023,424440,29-9093
2019,115310,25-3041
2022,311824,25-2012
2021,424420,33-3031
2019,424810,47-5071
2019,113210,51-6031
2023,311213,13-2031
2020,311511,11-3121
2021,311514,49-9045
2026,311613,27-2042
2025,311813,27-1012
2026,311930,41-2012
2023,311999,29-1023
2022,325311,47-5041
2020,311111,47-3016
2019,311221,17-2121
2020,311412,29-1241
2021,311612,53-6011
2020,311942,47-2161
2025,312113,39-3011
2020,312130,11-3111
2026,312140,27-1024
2025,112000,47-2111
2021,115210,17-2021
2020,311119,53-7011
2027,311225,11-9111
2027,311340,49-3053
2026,311514,49-9012
2019,311612,11-2022
2019,424520,43-9022
2028,424590,47-3014
2026,424810,23-1022
2022,311119,43-2021
2026,311340,29-1021
2022,311421,47-2121
2026,311611,27-1014
2028,312140,53-4031
2023,325311,17-2011
2026,115113,47-3012
2024,115114,19-4042
2027,311213,27-1025
2026,311411,19-2012
2028,311412,21-1018
2019,312230,51-8021
2019,325311,27-3031
2020,333112,51-3099
2020,333243,21-1012
2028,424460,13-1081
2019,493130,29-1041
2024,113310,29-2061
2022,325312,15-1231
2021,424490,19-4031
2028,115113,19-3032
2028,115310,35-1012
2022,311212,51-4033
2022,325312,49-9063
2026,424490,47-2082
2027,115310,17-1012
2026,311941,33-9094
2028,325312,11-3111
2021,424480,31-9097
2025,114111,41-9041
2024,115115,17-1012
2019,311352,43-2011
2024,311611,21-1094
2026,312140,27-4012
2019,325193,35-3011
2025,424460,29-2036
2024,115310,47-2061
2023,311313,39-2011
2022,311314,53-7071
2021,311421,33-9031
2026,312230,49-9069
2021,325314,47-2082
2019,325320,39-1014
2028,325414,29-1249
2025,115114,51-7042
2026,311991,51-4199
2022,325311,19-1031
2024,114119,51-4032
2023,311813,21-1092
2025,325314,13-1074
2019,325315,49-3042
2028,325413,51-3093
2022,114210,17-2111
2021,311224,13-2052
2028,311514,49-2021
2028,311710,29-1161
2025,311824,53-6061
2021,311919,43-5032
2026,311941,17-2021
2020,325311,39-5012
2019,424490,29-2031
2027,115310,53-6011
2023,311613,51-4032
2022,311999,11-9151
2022,312111,43-4181
2024,312140,45-2091
2019,325315,51-4062
2019,311313,27-4014
2021,311352,13-2028
2020,325315,49-2093
2026,325413,17-2072
2021,424420,43-5041
2021,424490,29-9092
2024,493120,15-2051
2025,311710,51-4033
2028,322110,25-2031
2027,325311,51-4031
2019,325320,47-2051
2025,325320,15-2041
2022,333111,49-3091
2025,424430,51-9192
2024,424440,27-1026
2019,424510,53-4099
2022,113310,51-8031
2020,115111,17-2111
2023,115113,29-2034
2023,311111,29-1299
2025,311514,29-1029
2019,112000,29-1124
2027,311119,47-5081
2026,311611,53-7011
2028,325413,53-6021
2024,325413,41-9021
2022,423820,27-1011
2023,311314,53-6032
2027,311513,11-3071
2019,311821,43-3051
2025,312120,25-3099
2024,325414,43-9031
2028,424810,31-1133
2025,115116,35-3041
2028,115210,19-4044
2023,311225,47-3013
2022,311611,29-1128
2021,311920,51-8011
2019,311930,13-2051
2022,312111,11-3051
2027,424430,29-2092
2020,424510,29-1211
2028,114111,49-2092
2025,115112,47-2111
2023,311211,29-1071
2028,311313,11-9013
2023,311811,51-2098
2026,311942,17-2041
2020,312140,31-9091
2028,312140,29-1222
2023,325311,33-3052
2026,424410,17-2151
2024,115210,13-2011
2022,115310,47-5051
2022,311119,49-9064
2022,333111,35-3041
2023,311111,13-2061
2020,311212,53-7071
2021,311422,51-2028
2023,311512,19-4012
2022,311612,51-3092
2025,311812,43-3031
2020,311824,21-1012
2025,311930,51-1011
2027,325413,49-2011
2022,424450,43-4171
2021,424460,29-1161
2024,311212,19-2042
2024,325193,51-9192
2020,424430,33-9092
2026,114112,47-2131
2028,115113,43-4181
2020,115115,19-3032
2022,115210,29-1221
2020,311411,29-1249
2023,311824,43-2099
2026,312120,17-1022
2026,325320,51-6092
2025,333243,13-1031
2023,424820,53-4011
2020,311212,49-3021
2024,311422,29-1299
2025,311423,33-9093
2028,325320,27-4015
2022,493120,43-9022
2026,114112,39-1014
2020,311514,53-7065
2021,311830,53-1041
2026,311830,21-2011
2024,312140,29-1216
2024,325312,17-1021
2026,325414,13-1141
2027,424480,51-9141
2022,311411,53-6021
2026,325193,47-5049
2028,325320,27-3042
2022,325414,51-4023
2021,424490,43-4111
2021,424510,25-9021
2025,311111,13-1199
2022,311213,49-2097
2028,311225,53-3053
2027,311351,53-2021
2023,311351,35-9021
2026,311999,51-6062
2020,424480,13-1141
2027,493130,49-9071
2022,114112,29-2099
2020,115111,51-8012
2022,311221,51-9197
2027,311813,41-9041
2028,325312,51-3093
2024,325412,19-2011
2024,333111,49-2098
2022,311942,51-7021
2024,333111,19-3034
2028,424490,43-5052
2022,424510,19-2043
2022,424820,29-9092
2022,311111,17-2061
2025,311119,43-4171
2026,321113,27-1012
2019,424480,25-2032
2028,493120,11-9021
2024,111000,13-1028
2023,115116,11-9141
2020,311520,17-3013
2026,312130,51-4199
2022,424440,43-4081
2027,311411,51-3021
2027,311612,11-2021
2021,311612,31-9093
2021,311920,39-6011
2022,311930,13-2099
2028,325411,51-9151
2021,424820,17-3012
2025,115112,27-3043
2027,311221,19-4012
2027,311911,45-4021
2025,115112,17-3022
2027,311111,31-9011
2024,311119,47-5044
2025,311221,13-2041
2025,311351,51-9199
2021,311920,17-2161
2025,424430,41-1012
2021,424490,51-8021
2019,424810,11-3071
