year,NAICS,occ
2019,311221,13-1074
2019,311221,13-2041
2019,311221,17-1021
2019,311221,17-2011
2019,311221,17-2131
2019,311221,17-3029
2019,311221,19-3051
2019,311221,19-3092
2019,311221,21-1093
2019,311221,23-1022
2019,311221,27-1013
2019,311221,27-1014
2019,311221,27-3043
2019,311221,29-1023
2019,311221,29-1081
2019,311221,29-2042
2019,311221,31-1131
2019,311221,31-9092
2019,311221,31-9097
2019,311221,33-1021
2019,311221,33-2021
2019,311221,35-2011
2019,311221,39-2011
2019,311221,39-3021
2019,311221,39-5011
2019,311221,39-5092
2019,311221,39-9032
2019,311221,41-9091
2019,311221,43-3051
2019,311221,43-5051
2019,311221,43-9021
2019,311221,45-4011
2019,311221,47-3011
2019,311221,47-3012
2019,311221,47-4051
2019,311221,47-5012
2019,311221,49-2021
2019,311221,51-3091
2019,311221,51-4051
2019,311221,51-4193
2019,311221,51-7021
2019,311221,51-7099
2019,311221,51-9032
2019,311221,51-9071
2019,311221,51-9123
2019,311221,51-9191
2019,311221,51-9196
2019,311221,51-9198
2019,311221,53-1041
2019,311221,53-1047
2019,311221,53-2011
2019,311221,53-7051
2019,311221,53-7081
2019,325193,11-2033
2019,325193,11-3051
2019,325193,11-9031
2019,325193,11-9072
2019,325193,11-9131
2019,325193,13-1151
2019,325193,13-2071
2019,325193,17-3012
2019,325193,19-2041
2019,325193,19-3099
2019,325193,19-4044
2019,325193,25-2058
2019,325193,25-3031
2019,325193,27-1029
2019,325193,27-2021
2019,325193,27-2041
2019,325193,27-3091
2019,325193,27-3092
2019,325193,29-1161
2019,325193,29-1229
2019,325193,29-1243
2019,325193,29-9092
2019,325193,33-2011
2019,325193,33-3021
2019,325193,33-9099
2019,325193,39-3091
2019,325193,39-7018
2019,325193,41-9022
2019,325193,43-3061
2019,325193,43-4021
2019,325193,45-2011
2019,325193,47-2061
2019,325193,47-2131
2019,325193,47-2152
2019,325193,47-3016
2019,325193,47-5022
2019,325193,49-9092
2019,325193,49-9097
2019,325193,51-2061
2019,325193,51-4111
2019,325193,51-4199
2019,325193,51-6051
2019,325193,51-6052
2019,325193,51-8091
2019,325193,51-9021
2019,325193,51-9031
2019,325193,53-3032
2019,325193,53-7021
2019,325193,53-7063
2019,325220,15-1232
2019,325220,15-1253
2019,325220,15-2011
2019,325220,17-2031
2019,325220,17-2141
2019,325220,19-1021
2019,325220,19-1042
2019,325220,19-2099
2019,325220,19-3034
2019,325220,19-4012
2019,325220,19-4031
2019,325220,23-1023
2019,325220,25-2052
2019,325220,25-9099
2019,325220,29-1126
2019,325220,29-1181
2019,325220,29-1241
2019,325220,29-1243
2019,325220,29-2032
