year,NAICS,occ
2022,524130,11-3071
2025,524298,51-6063
2021,523991,19-1099
2026,523210,37-2021
2025,522110,29-1123
2027,523150,29-2033
2023,521110,49-9044
2019,523210,39-9011
2024,522291,25-9044
2022,524126,39-3012
2023,525920,29-2055
2023,523150,17-1021
2025,522299,19-3011
2021,523210,43-4011
2026,522220,39-5094
2024,524298,11-3013
2023,523910,47-2072
2024,522130,45-2011
2027,522180,43-9071
2028,523991,51-9124
2025,524113,11-9171
2019,525990,51-9191
2019,522180,51-4199
2022,522320,29-1029
2028,523150,49-9043
2028,524130,53-7063
2026,525910,35-9011
2028,524210,17-2071
2023,523991,17-1011
2025,525990,37-2021
2028,521110,43-4041
2027,524113,27-2011
2022,524298,43-4141
2025,524210,21-1015
2019,522180,33-1091
2021,523910,49-9099
2026,522320,39-3021
2024,522390,25-9045
2021,523210,11-9141
2021,522180,49-2097
2019,522180,11-1031
2024,524114,47-2111
2022,525120,35-1011
2027,523210,13-1081
2028,525120,19-4099
2022,523210,53-3052
2020,522291,29-1216
2020,524298,51-8031
2023,523999,25-2022
2019,522220,23-1021
2023,522292,51-6021
2025,524210,39-5094
2028,525120,51-3021
2019,524210,47-3011
2028,525920,49-9099
2028,523210,39-3092
2027,522291,39-5092
2019,522291,21-1015
2026,523940,49-3051
2020,525120,49-9041
2026,522220,51-7041
2025,524126,29-1024
2026,524113,27-4014
2020,524298,51-6042
2019,522310,13-2071
2028,525990,35-1011
2027,523910,43-1011
2021,524114,25-2011
2027,523150,53-6041
2024,524128,43-3041
2026,524114,53-2022
2025,524128,39-4012
2026,525910,53-3052
2022,525190,11-3012
2022,523991,51-6099
2020,525190,11-9081
2022,525910,11-3013
2020,523150,51-6092
2020,523940,29-2042
2025,524130,29-2056
2025,524128,19-3094
2019,523150,53-6061
2021,525920,13-2081
2024,521110,27-1014
2027,525120,43-4021
2027,522220,47-3013
2028,525190,39-3099
2020,523910,31-2011
2021,524298,25-2052
2027,524292,51-4022
2025,523999,29-1181
2019,522292,23-2011
2019,522299,51-9023
2023,522130,33-3012
2025,522310,53-2021
2019,522110,39-1013
2026,524292,11-9033
2023,525920,27-1019
2025,525990,29-1161
2026,521110,29-1127
2027,523210,51-9197
2022,523210,33-1021
2020,524130,15-1255
2020,525920,29-1222
2021,522390,29-2053
2023,524114,13-2082
2026,522210,25-4013
2026,524130,51-8091
2027,522390,51-4062
2028,522310,33-9092
2027,524128,51-1011
2023,525910,15-1241
2026,524210,35-2014
2020,522292,51-7042
2019,522210,29-1213
2020,523160,43-4171
2027,522180,51-4121
2019,523999,29-1124
2028,524114,27-2032
2023,525190,39-1022
2020,525910,29-1129
2022,525120,27-1025
2019,525910,27-3023
2027,522299,47-4051
2027,522291,31-2012
2023,525110,29-1223
2026,522110,51-6063
2026,521110,27-3041
2025,523160,25-2032
2023,523210,53-3053
2023,525910,11-3111
2028,522220,49-3042
2021,522291,47-2042
2026,524130,25-4013
2023,524130,17-2041
2019,522130,17-2151
2021,521110,21-2099
2022,522180,49-2098
2019,521110,31-1132
2026,524128,53-3033
2025,525910,53-3051
2023,525110,39-3093
2026,522291,51-6093
2027,523940,27-1011
2022,522320,25-2058
2020,522130,43-5021
2024,523940,51-4034
2028,524126,43-9022
2023,523991,47-2053
2022,523150,15-1231
2026,524114,25-4011
2028,524114,47-4031
2023,523940,49-9091
2026,522291,17-2131
2021,524128,49-9098
2028,522320,47-5043
2025,524298,49-9071
2027,525990,49-9043
2027,522292,51-7031
2023,524210,49-9052
2023,522320,51-4192
2022,523160,53-2012
2021,523210,53-2011
2028,522130,49-9099
2028,522110,17-3024
2025,522292,15-1242
2024,524113,39-4011
2020,522210,43-9071
2024,522299,33-3012
2019,524298,39-3099
2019,524130,51-5111
2025,524210,25-2052
2024,522299,39-9032
2022,524126,11-1031
2020,524292,11-3121
2027,524130,39-5011
2021,525120,51-9195
2023,525120,27-1011
2022,524291,27-1011
2025,524127,33-9032
2028,525920,37-2019
2027,523210,47-3014
2027,523910,31-9091
2028,522210,51-9161
