year,NAICS,occ
2027,621310,19-3022
2024,622210,47-2042
2020,621493,15-1299
2020,621310,25-2058
2021,621511,43-2099
2025,622210,13-2071
2020,622210,11-9021
2024,621210,51-4192
2028,621610,51-8093
2024,621420,25-9031
2027,621111,27-4011
2019,621511,49-9031
2023,621111,15-1255
2020,621399,43-3099
2028,621112,35-3031
2021,621330,51-7041
2021,621498,29-1021
2020,621493,49-9045
2028,621491,29-1292
2024,621410,17-3029
2020,621420,29-1021
2027,621493,43-9111
2019,621210,21-2011
2021,621420,49-3092
2024,621340,51-9161
2019,621410,15-1299
2024,621111,47-5022
2026,621112,23-1023
2021,623220,21-1022
2020,621999,41-9022
2019,622310,43-5041
2022,623110,53-7072
2028,621999,33-9011
2027,621498,29-2042
2024,621492,47-2073
2027,623210,15-1255
2026,623990,53-3054
2020,622210,51-4072
2024,621111,43-9022
2025,621391,53-6041
2019,621410,45-2021
2027,621340,29-2099
2026,623210,41-3011
2025,621511,29-1071
2021,623990,45-2093
2021,621391,41-9011
2019,621512,37-2019
2027,622210,25-4011
2027,621210,43-5053
2026,623220,39-6011
2024,621320,25-9044
2023,623210,53-6051
2024,623220,49-2094
2020,621498,13-2082
2025,623110,53-7081
2021,621420,31-9091
2025,621492,43-3021
2022,621112,19-3094
2020,623220,51-9061
2019,621491,15-2011
2028,621512,51-2011
2023,621493,39-5012
2021,622210,11-3061
2023,622210,51-9151
2020,621399,17-3031
2021,623220,53-3031
2020,621491,31-2011
2020,621999,29-2051
2027,621391,29-1122
2024,621111,31-1131
2020,621512,35-9099
2019,622210,17-3028
2021,623990,19-3041
2022,623110,11-9121
2023,621340,19-3094
2026,621111,43-5032
2026,621910,43-4011
2019,623220,53-1047
2026,621999,17-2199
2025,621492,33-2021
2026,621492,37-3019
2023,621491,41-9012
2025,622310,15-1255
2021,621511,19-3093
2023,622110,29-1071
2021,621999,47-5011
2024,621330,51-6091
2020,623220,47-3016
2026,621991,47-1011
2024,621330,47-5041
2021,621498,51-7011
2023,621112,39-4021
2020,621610,39-3012
2026,621210,17-2021
2021,623990,17-3012
2019,621512,51-5112
2020,621610,11-1031
2024,621910,27-3031
2024,623220,29-2031
2028,621111,49-2021
2026,621512,49-2091
2027,621512,47-4031
2025,623110,49-1011
2019,621410,27-2042
2024,623990,39-9032
2023,623990,13-2061
2027,621210,51-7032
2025,621491,29-1249
2024,621910,31-9095
2026,621210,33-9094
2026,623220,43-4061
2021,621999,13-2031
2021,622210,29-2018
2019,621610,41-9041
2025,621610,13-2082
2025,623210,51-9195
2023,623990,39-3021
2019,623990,51-6031
2026,623110,35-1012
2026,621491,19-2043
2021,621210,17-1011
2025,621493,11-9131
2019,621310,53-7021
2023,621320,13-1161
2022,623110,41-1011
2023,621991,43-4081
2020,621391,51-4052
2024,621498,29-1243
2026,622110,49-9099
2021,621512,41-2011
2021,621511,17-3024
2022,621511,51-9162
2027,621112,45-4022
2027,621210,49-9061
2021,621399,53-7031
2021,622310,51-9051
2020,621410,51-5111
2027,621493,29-1029
2026,621310,29-1299
2019,621511,47-5099
2024,621399,49-9095
2027,623210,29-1216
2024,623110,35-9031
2020,621391,11-3031
2020,621399,53-6051
2020,623110,17-3011
2024,622310,51-6031
2021,621330,19-3022
2025,621340,23-1021
2022,621910,11-9111
2021,623110,39-2021
2021,621498,47-4071
2026,621391,25-3011
2023,623210,29-1217
2020,621493,53-6021
2024,621399,49-2093
2024,621310,29-1217
2026,621399,39-6012
2024,623990,29-1215
2024,621320,51-4061
2019,621410,49-9045
2026,621340,99-9999
2024,621112,19-1023
2019,623210,39-9032
2020,623210,43-3099
2025,621512,29-2057
2024,622310,29-1031
2019,621999,39-9041
2028,621330,51-4052
2021,621512,49-9069
2028,622110,35-9011
2024,622110,25-2011
2025,623990,49-1011
2023,623220,19-4013
2023,622110,51-9198
2025,621512,29-1125
2020,621420,27-1027
2023,621493,51-9022
2021,621391,29-1291
2028,621210,11-3061
2024,621610,43-5011
2023,623990,53-4011
2020,622110,19-1023
2020,621410,43-4051
2024,621512,53-7061
2024,623210,49-9095
2024,621320,17-2121
2027,622310,11-9199
2019,621330,27-3023
2019,621420,49-1011
2026,623990,53-6051
2023,621391,19-2042
2021,621399,11-2022
2019,621991,47-5051
2022,621991,53-7072
2022,622310,51-9081
2024,623990,51-8031
2020,621991,51-7011
2024,621340,13-1051
2028,621999,49-9012
2021,621493,27-1027
2019,622210,27-2012
2026,621399,13-2061
2022,622110,53-5031
2024,621492,47-5012
2027,621111,53-5011
2027,621410,11-3111
2025,621610,29-1129
2022,621330,13-1028
2027,621493,43-9051
2024,621111,51-7021
2021,621512,29-1129
2023,621112,53-7062
2026,621493,29-1217
2025,621410,25-3031
2023,621111,39-9032
2021,621399,51-9041
2026,621498,47-2072
2028,621512,47-5013
2027,621991,39-3012
2022,621320,25-3011
2026,621320,19-1011
2020,621493,19-1099
2019,621512,51-9162
2020,622110,51-9051
2024,621410,43-3051
2023,622310,43-4151
2024,621910,29-1126
2023,622210,27-1022
2021,621410,29-2033
2025,621493,41-9041
2020,621610,21-1023
2028,621512,39-5094
2027,622210,51-9198
2019,621511,11-9032
2026,621340,41-2012
2019,621310,45-2092
2028,621410,53-7065
2028,621112,53-4013
2026,621391,11-9141
2028,621999,49-9091
2023,621610,51-8031
2027,621391,53-3052
2024,621310,29-9021
2022,621310,25-2022
2028,621498,17-3023
2020,621210,47-2072
2020,621910,51-7099
2024,621512,53-4041
2026,623110,39-4011
2021,621991,13-1082
2022,621511,49-3043
2019,621410,45-1011
2019,623210,49-2095
2028,621320,53-6021
2028,621112,53-3032
2027,621420,51-9021
2021,621112,51-9151
2024,621492,17-3029
2019,621420,33-9094
2020,621320,29-1214
2024,621330,51-9162
2025,621493,51-4122
2023,621492,29-1081
2026,621999,25-3041
2027,621910,19-4092
2028,623990,19-3094
2024,621491,51-4022
2021,621420,29-2092
2021,623220,35-1011
2027,621320,51-9193
2021,622310,21-1094
2028,621491,41-9021
2021,621111,51-9194
2024,621112,27-4032
2019,621491,33-2011
2026,621320,43-9199
2028,621420,49-2098
2022,623990,29-9092
2023,621511,31-2022
2022,623210,25-2059
2027,621210,27-1026
2028,621399,51-4199
2020,621910,13-1199
2019,622310,17-3013
2027,621512,47-5041
2027,621410,25-1099
2022,621399,39-3092
2028,621340,43-5052
2019,623210,29-2032
2027,621910,39-3099
2021,621492,29-2092
2028,621610,47-2121
2022,621910,43-5111
2020,621492,43-9031
2024,621391,41-9022
2023,621310,17-3025
2019,623220,15-2021
2025,623990,51-9011
2024,621991,51-4193
2023,621491,43-9061
2021,621610,25-2022
2028,623220,27-1021
2025,621391,17-3023
2026,621420,53-7199
2028,621910,47-2073
2027,623990,23-1022
2023,621492,13-2053
2026,621999,51-7032
2028,621610,27-4015
2026,622110,29-1243
2026,621399,27-1026
2027,621399,29-1215
2020,621991,43-2099
2028,621492,51-3092
2025,621310,51-9124
2027,623110,49-9021
2021,622210,39-1014
2021,622210,43-3071
2028,621391,33-3021
2023,623110,41-9031
2023,621512,43-3031
2027,621498,13-1151
2019,621399,45-2091
2025,621511,49-3053
2026,621610,51-3011
2026,622110,11-3051
2028,622210,21-1018
2022,622310,19-3011
2025,621391,47-3016
2026,621420,27-2022
2020,621310,51-4121
2027,621210,19-2011
2023,622110,33-3011
2027,623990,19-1032
2021,621210,17-2051
2027,621410,51-6051
2019,622210,29-2057
2027,621410,51-7031
2024,623210,51-3023
2024,621991,51-7031
2020,621210,29-1229
2019,621610,51-9199
2023,621310,43-5011
2019,623220,25-9099
2021,623220,51-3091
2019,623110,51-9151
2027,621991,11-1031
2022,621498,29-1123
2021,623220,11-9071
2024,621391,37-1012
2028,622210,45-3031
2024,621910,25-2012
2025,621493,49-9097
2024,621210,43-3011
2026,623990,29-1029
2019,621493,51-6031
2022,621410,27-4031
2022,623990,43-2011
2025,621111,51-4121
2020,621420,27-4015
2026,621991,11-9141
2025,623210,49-9011
2025,621610,43-9051
2021,623990,41-9091
2021,621999,47-3015
2022,621610,51-9011
2026,621999,13-1082
2028,621111,53-6011
2021,621210,25-9099
2021,621210,51-9196
2019,621999,25-9021
2019,621310,39-6012
2028,621610,53-4041
2025,621512,27-2012
2026,622110,13-2053
2027,621340,53-7063
2028,622310,25-3021
2026,621320,51-4061
2025,621610,31-2012
2027,622310,21-1029
2026,621410,21-1018
2019,621310,51-9031
2022,621420,41-9021
2022,621330,47-2221
2024,621420,49-3053
2019,621330,27-3031
2022,621511,29-2052
2024,623220,51-4041
2024,621210,15-2031
2022,622310,51-3023
2021,621111,49-9044
2025,621410,43-3021
2021,621492,29-2052
2022,621340,51-4193
2027,621610,19-4092
2021,621391,53-7065
2020,621420,47-2121
2022,622210,53-6032
2021,621512,13-1032
2028,621310,39-3099
2023,621391,35-9011
2019,621491,29-1214
2024,621112,51-9051
2020,621511,47-2043
2027,621330,41-4012
2019,623210,33-1011
2027,623110,21-1094
2025,621111,51-6052
2024,623990,53-7081
2027,621420,53-2011
2026,623210,23-1011
2021,622310,17-2161
2022,621320,51-6063
2019,621112,17-2111
2020,621491,25-2021
2019,621410,15-1241
2026,623210,47-2053
2022,623110,25-3021
2022,621999,47-2031
2020,621410,29-2053
2023,621512,31-9099
2024,623990,49-1011
2019,623210,51-9196
2021,623220,25-2059
2027,623110,11-9071
2023,621210,29-2081
2026,621340,35-2012
2024,621340,39-4011
2024,623990,47-2152
2024,621391,45-4011
2023,621111,11-2021
2025,621491,31-9095
2027,623110,29-1029
2027,621498,45-4011
2021,621391,39-3093
2024,621420,15-1242
2027,621498,27-1029
2019,621210,39-3011
2022,621492,33-1021
2022,621340,27-4011
2026,621498,47-5012
2028,621112,39-4012
2020,622310,51-6099
2023,621492,43-3051
2023,621999,19-5012
2020,621492,49-9031
2026,622310,21-2021
2021,623220,21-2011
2023,621991,13-1151
2021,621111,51-6031
2021,621610,51-9011
2024,621399,49-9012
2022,621610,25-2022
2025,621498,13-2053
2027,621511,13-1032
2021,621399,33-9094
2025,621910,25-3011
2021,621493,15-2021
2023,621340,51-9111
2020,623210,35-9011
2028,622310,33-3031
2021,621340,39-5011
2021,621511,11-3013
2020,621493,19-4071
2019,621310,29-1215
2022,621493,13-2028
2025,621340,25-2023
2019,621112,23-2093
2023,621498,29-2052
2020,623210,51-2051
2028,621999,29-1218
2024,621410,53-3053
2019,621420,51-3092
2019,621991,17-2121
2019,621492,39-9011
2025,621340,29-1011
2024,621112,39-6012
2026,621910,13-1032
2026,621910,29-1041
2020,621320,19-3094
2023,621210,19-4099
2022,621491,49-9099
2026,623110,49-9021
2019,622110,39-5093
2020,621420,17-2072
2027,623990,41-3091
2028,621399,15-2021
2025,623990,51-8031
2021,621491,29-1023
2026,621391,33-1021
2019,621991,11-9041
2022,621511,17-3024
2027,621493,19-2031
2027,621391,13-2052
2021,621511,49-3043
2019,621498,19-1022
2026,621320,41-9099
2026,621111,29-1241
2028,622310,29-9021
2022,622110,51-4052
2022,621491,51-6041
2027,621492,11-3051
2025,621999,43-5053
2028,621210,43-5053
2022,621999,43-3011
2021,621498,41-9099
2023,621420,19-1011
2022,623220,21-1093
2028,621493,51-9124
2020,621610,53-1047
2023,621492,17-3029
2022,621910,15-2011
2019,621498,51-4062
2028,621410,53-6011
2020,621210,47-5012
2022,623110,19-3041
2023,622210,25-2011
2022,621210,35-2019
2027,621399,43-5021
2021,621910,49-3023
2020,621320,17-3021
2028,621492,51-9141
2021,621493,19-3099
2023,623210,17-2161
2026,622310,11-9131
2028,623220,19-4099
2022,621511,29-2061
2026,621492,43-5071
2027,621399,45-2092
2020,622310,19-2043
2022,621991,51-4033
2024,621610,43-2021
2021,621910,23-2011
2027,621112,37-2019
2020,621410,39-4021
2026,622110,13-2081
2023,621320,43-4051
2020,621112,39-9099
2021,623990,17-2061
2025,622210,11-3071
2025,621210,15-1299
2019,621399,53-3099
2022,621991,49-9096
2023,622210,17-3026
2024,621910,11-2033
2021,622110,53-7063
2019,621610,29-1222
2026,621210,53-7031
2025,621410,29-1229
2025,621310,27-4011
2026,621910,13-2082
2025,621999,11-3131
2027,621112,33-2011
2026,621493,19-4044
2019,621391,27-1027
2026,622210,43-9031
2024,621320,47-5011
2020,621391,47-3013
2026,621512,37-1011
2023,621111,43-4021
2023,621420,27-3011
2027,621610,17-2041
2020,623210,29-2035
2020,621320,53-6061
2028,622110,51-4022
2023,621491,53-5022
2025,621511,51-4111
2022,621991,51-3022
2026,621910,49-3022
2026,621310,49-2094
2024,621399,53-7073
2024,623220,41-3041
2023,621210,17-3013
2026,623990,23-1022
2022,622110,13-2071
2022,621511,19-3093
2027,621391,41-2022
2026,622110,49-3023
2023,621340,27-1012
2024,621498,27-2032
2026,621491,19-1031
2019,623210,53-7081
2020,621391,11-9151
2027,621910,51-6021
2028,621991,53-3099
2028,621330,45-2099
2019,621210,29-2043
2026,621492,33-9099
2021,621340,15-2041
2023,623210,11-9021
2022,621492,29-2052
2028,621910,17-2072
2023,623220,51-9124
2025,621310,21-1093
2026,621112,45-4022
2025,621391,17-2131
2025,621310,29-1129
2028,622110,43-3099
2027,621610,51-4041
2023,623110,47-5071
2020,621991,23-1021
2026,623210,51-9195
2028,621310,51-8031
2023,622310,51-6031
