year,NAICS,occ
2028,517410,53-7021
2028,811210,51-5113
2028,541511,53-7064
2025,334510,53-7063
2020,334517,43-4121
2024,517121,29-1221
2026,334516,31-9099
2019,517410,21-1022
2025,333242,39-4012
2019,334519,51-9198
2025,517112,53-2022
2020,513210,39-5012
2020,513199,51-9191
2020,518210,51-4199
2025,334310,51-4072
2026,517121,51-4071
2022,541511,41-3091
2020,541512,41-9099
2023,334111,13-1121
2022,334510,15-2021
2021,334510,53-1047
2026,334515,49-2021
2026,513130,53-3031
2021,334418,17-2111
2024,513120,53-5021
2024,334610,49-9045
2025,334515,27-4011
2027,334610,43-5053
2023,811210,29-1129
2022,334516,31-1132
2022,541513,53-7072
2020,611420,51-8031
2027,334511,27-1011
2025,517112,51-6093
2022,517410,43-4031
2021,518210,29-1215
2027,513210,51-4031
2023,811210,47-2181
2019,513120,41-1011
2019,334513,29-1011
2026,334511,33-1021
2027,513210,31-9096
2024,334310,11-1031
2028,334413,53-7011
2021,517112,43-4051
2019,334111,25-4011
2020,334610,29-1125
2022,517410,47-2031
2020,334111,51-4072
2024,334412,47-2072
2027,334514,11-9051
2024,334514,11-2033
2028,334517,23-1012
2023,334419,23-1012
2025,513120,13-1131
2027,541512,53-1041
2025,334413,29-2057
2027,334290,43-5032
2026,423430,21-2011
2023,541513,43-9041
2022,517810,17-2051
2021,517111,53-3032
2021,334112,11-3121
2022,611420,47-5044
2023,513120,53-4022
2020,811210,43-9051
2028,541519,19-1099
2027,334220,49-9098
2024,334515,27-4012
2028,517121,53-7063
2021,334418,53-7063
2021,517111,49-9051
2020,541513,11-3111
2027,513210,47-3013
2027,517121,47-2181
2023,334310,43-9021
2026,513120,11-2022
2020,517810,53-4022
2022,423430,37-2021
2024,334511,39-9041
2026,334515,39-3021
2028,517112,29-1292
2022,517112,49-9031
2026,334516,17-2111
2024,541519,13-2052
2019,334416,51-9194
2020,334517,29-1023
2020,334419,11-9111
2022,513120,19-2021
2024,334514,33-9021
2022,334514,35-2021
2023,334517,27-1029
2021,334417,39-9031
2020,334412,31-9099
2028,513199,11-9081
2021,334516,43-5053
2020,334111,41-2011
2021,517410,19-2011
2027,517112,47-5032
2025,541512,49-3091
2027,334510,11-3121
