display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,jobs
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2019,000000,,0,0,40240490.86685623
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2020,000000,,0,0,39451271.8092712
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2021,000000,,0,0,40675160.9402287
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2022,000000,,0,0,42733016.19434355
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2023,000000,,0,0,43157542.804972365
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2024,000000,,0,0,43108377.34434713
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2025,000000,,0,0,43936387.0161212
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2026,000000,,0,0,44573337.66909446
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2027,000000,,0,0,45071157.60440412
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,2028,000000,,0,0,45472947.01489744
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2019,000000,,0,0,15633.756305677598
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2020,000000,,0,0,15950.400790205586
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2021,000000,,0,0,17418.466236972272
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2022,000000,,0,0,19104.86655126675
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2023,000000,,0,0,18238.632462532696
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2024,000000,,0,0,17434.028280044
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2025,000000,,0,0,17833.383286625285
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2026,000000,,0,0,18144.044379138963
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2027,000000,,0,0,18391.47947143732
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,2028,000000,,0,0,18592.17412884535
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2019,000000,,0,0,1395199.3878907512
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2020,000000,,0,0,1359243.32976078
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2021,000000,,0,0,1368636.2645854384
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2022,000000,,0,0,1407943.9459309918
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,0,0,1417842.57256707
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,000000,,0,0,1410275.4527580794
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2025,000000,,0,0,1417129.5538836524
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2026,000000,,0,0,1421300.8169110694
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2027,000000,,0,0,1423457.0163378639
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,2028,000000,,0,0,1424331.543985651
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2019,000000,,0,0,360713.39145546185
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2020,000000,,0,0,353933.78285643517
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2021,000000,,0,0,365210.2286270165
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2022,000000,,0,0,373632.5548639676
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,374060.1783814777
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2024,000000,,0,0,373958.63287027687
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2025,000000,,0,0,378043.0035526242
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2026,000000,,0,0,380823.5839721211
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2027,000000,,0,0,382667.3849119618
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,2028,000000,,0,0,383840.25794524053
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2019,000000,,0,0,26075.297303923202
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2020,000000,,0,0,24145.18334047228
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2021,000000,,0,0,23937.331766075713
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2022,000000,,0,0,24824.468928608367
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2023,000000,,0,0,25255.53429022508
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2024,000000,,0,0,24992.8580641609
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2025,000000,,0,0,25062.03462973396
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2026,000000,,0,0,25063.472682439486
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2027,000000,,0,0,25011.948424069473
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,2028,000000,,0,0,24929.08708196779
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2019,000000,,0,0,80819.13248668784
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2020,000000,,0,0,76053.66110295712
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0,0,88173.30155653518
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2022,000000,,0,0,91777.16323506307
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2023,000000,,0,0,81337.46310680031
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2024,000000,,0,0,77002.15281159001
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2025,000000,,0,0,76175.065552284
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2026,000000,,0,0,75392.17636063854
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2027,000000,,0,0,74616.34673787488
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,2028,000000,,0,0,73885.0077145809
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2019,000000,,0,0,39831.03045931444
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2020,000000,,0,0,38237.92108594905
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2021,000000,,0,0,39076.20018807476
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2022,000000,,0,0,40737.62479890975
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2023,000000,,0,0,40630.89830483437
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2024,000000,,0,0,40464.47034306336
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2025,000000,,0,0,40892.551675900664
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2026,000000,,0,0,41192.516650077145
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2027,000000,,0,0,41397.066353713
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,2028,000000,,0,0,41537.13909784121
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2019,000000,,0,0,72653.78923267122
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2020,000000,,0,0,69029.72812688921
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2021,000000,,0,0,71779.66985772931
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2022,000000,,0,0,75840.88899230771
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2023,000000,,0,0,76734.08182187456
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2024,000000,,0,0,76261.75761302534
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2025,000000,,0,0,77278.17477314599
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2026,000000,,0,0,78004.39659657814
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2027,000000,,0,0,78515.58992471852
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,2028,000000,,0,0,78883.02196465705
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,000000,,0,0,318454.01636227773
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2020,000000,,0,0,316699.82784352393
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2021,000000,,0,0,328630.692623418
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2022,000000,,0,0,348277.2271942989
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,0,0,355562.0793275878
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,000000,,0,0,354444.08470474306
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2025,000000,,0,0,362010.92744596733
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2026,000000,,0,0,367714.6384422914
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2027,000000,,0,0,372047.91942262865
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2028,000000,,0,0,375470.2080764798
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2019,000000,,0,0,14288.297974662868
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2020,000000,,0,0,13840.771553389302
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2021,000000,,0,0,12801.308764447405
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2022,000000,,0,0,12120.573312675531
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2023,000000,,0,0,12356.380362738728
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2024,000000,,0,0,12133.050012286783
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2025,000000,,0,0,11828.303005503227
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2026,000000,,0,0,11549.02199305933
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2027,000000,,0,0,11283.068114152262
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,2028,000000,,0,0,11033.483065307692
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2019,000000,,0,0,29883.56952803715
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2020,000000,,0,0,28402.34571936696
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2021,000000,,0,0,29507.748048499798
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2022,000000,,0,0,30927.989673497257
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2023,000000,,0,0,32399.315849146096
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2024,000000,,0,0,32331.452453974965
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2025,000000,,0,0,33035.18243429612
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2026,000000,,0,0,33559.52205912456
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2027,000000,,0,0,33950.21713126389
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,2028,000000,,0,0,34253.53982222803
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2019,000000,,0,0,241214.5224766298
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2020,000000,,0,0,238201.74929646502
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2021,000000,,0,0,245457.12969939038
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2022,000000,,0,0,254237.10351050095
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,0,0,253925.8092489179
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2024,000000,,0,0,252072.7903195061
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2025,000000,,0,0,255105.85842892947
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2026,000000,,0,0,257189.27634194653
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2027,000000,,0,0,258590.37662105064
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,2028,000000,,0,0,259506.11408110568
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2019,000000,,0,0,12543.640186970495
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2020,000000,,0,0,12082.244419581542
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2021,000000,,0,0,12386.510843301829
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2022,000000,,0,0,12945.918406350784
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,0,0,13534.608174697558
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2024,000000,,0,0,13440.620536504237
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2025,000000,,0,0,13673.773756159142
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2026,000000,,0,0,13846.086554224228
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2027,000000,,0,0,13971.929064345766
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,2028,000000,,0,0,14068.4130732749
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2019,000000,,0,0,9971.507059796062
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2020,000000,,0,0,9099.808335389167
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2021,000000,,0,0,9149.241283806361
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2022,000000,,0,0,9207.945246220006
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2023,000000,,0,0,9444.452885087092
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2024,000000,,0,0,9533.8853963632
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2025,000000,,0,0,9564.926030734425
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2026,000000,,0,0,9579.971433651135
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,2027,000000,,0,0,9581.382196585
