display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,jobs
1,4,Research/Testing,,,00,000,43780,South Bend-Mishawaka MSA,2026,000000,,1,1,251.0266842750556
0,0,Life Sciences Total,,,00,000,21780,Evansville MSA,2022,000000,,0,0,1587.8219540244036
1,1,Ag/Bio,,,00,000,45460,Terre Haute MSA,2021,000000,,1,1,68.3440499444
2,1,Ag/Bio,,,00,000,43780,South Bend-Mishawaka MSA,2023,325320,Pesticide and Other Agricultural Chemical Manufacturing,2,2,0.0
2,3,MedDev,,,00,000,31140,Louisville/Jefferson County MSA,2028,334516,Analytical Laboratory Instrument Manufacturing,2,2,76.3912879045
1,1,Ag/Bio,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,1,1,0.0
2,3,MedDev,,,00,000,21140,Elkhart-Goshen MSA,2019,339112,Surgical and Medical Instrument Manufacturing,2,2,4.95894395376
2,3,MedDev,,,0,000,00000,United States,2026,339114,Dental Equipment and Supplies Manufacturing,2,2,17172.3602105
2,2,Pharma,,,00,000,29020,Kokomo MSA,2028,325414,Biological Product (except Diagnostic) Manufacturing,2,2,0.0
1,1,Ag/Bio,,,00,000,17140,Cincinnati MSA,2020,000000,,1,1,39.08988278777
2,3,MedDev,,,00,000,34620,Muncie MSA,2028,334516,Analytical Laboratory Instrument Manufacturing,2,2,0.0
2,2,Pharma,,,18,000,00000,Indiana,2023,325412,Pharmaceutical Preparation Manufacturing,2,2,19597.2015297
2,1,Ag/Bio,,,00,000,29200,Lafayette-West Lafayette MSA,2025,311221,Wet Corn Milling and Starch Manufacturing,2,2,445.723288975
2,4,Research/Testing,,,00,000,17140,Cincinnati MSA,2021,541713,Research and Development in Nanotechnology,2,2,15.215395797887998
2,6,Bio-Logistics,,,00,000,29200,Lafayette-West Lafayette MSA,2025,424910,Farm Supplies Merchant Wholesalers,2,2,260.366104182504
2,6,Bio-Logistics,,,00,000,18020,Columbus MSA,2028,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",2,2,11.324356491686201
1,6,Bio-Logistics,,,00,000,23060,Fort Wayne MSA,2022,000000,,1,1,456.719693163979
2,1,Ag/Bio,,,00,000,14020,Bloomington MSA,2020,325315,Compost Manufacturing,2,2,4.54987059393
0,0,Life Sciences Total,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,0,0,558.2212204056809
2,4,Research/Testing,,,00,000,14020,Bloomington MSA,2027,541380,Testing Laboratories and Services,2,2,0.71620791604016
2,1,Ag/Bio,,,00,000,29020,Kokomo MSA,2021,325311,Nitrogenous Fertilizer Manufacturing,2,2,0.0
2,4,Research/Testing,,,00,000,45460,Terre Haute MSA,2026,621511,Medical Laboratories,2,2,71.7587836252
0,0,Life Sciences Total,,,00,000,17140,Cincinnati MSA,2023,000000,,0,0,14571.003441958668
2,2,Pharma,,,00,000,45460,Terre Haute MSA,2022,325412,Pharmaceutical Preparation Manufacturing,2,2,236.116356172
2,4,Research/Testing,,,00,000,17140,Cincinnati MSA,2019,541380,Testing Laboratories and Services,2,2,175.92173672556
0,0,Life Sciences Total,,,00,000,14020,Bloomington MSA,2028,000000,,0,0,9442.0303275676
1,3,MedDev,,,0,000,00000,United States,2019,000000,,1,1,379341.9479346
2,4,Research/Testing,,,00,000,31140,Louisville/Jefferson County MSA,2024,541713,Research and Development in Nanotechnology,2,2,29.052651166385996
2,4,Research/Testing,,,18,000,00000,Indiana,2027,541713,Research and Development in Nanotechnology,2,2,170.73895714559998
0,0,Life Sciences Total,,,00,000,16980,Chicago-Naperville-Elgin MSA,2028,000000,,0,0,77506.00583003674
2,1,Ag/Bio,,,00,000,14020,Bloomington MSA,2020,325311,Nitrogenous Fertilizer Manufacturing,2,2,0.0
2,1,Ag/Bio,,,00,000,31140,Louisville/Jefferson County MSA,2021,325312,Phosphatic Fertilizer Manufacturing,2,2,0.0
2,2,Pharma,,,00,000,21140,Elkhart-Goshen MSA,2020,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,167.666666667
2,4,Research/Testing,,,00,000,21140,Elkhart-Goshen MSA,2024,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",2,2,72.7513095744567
2,6,Bio-Logistics,,,00,000,16980,Chicago-Naperville-Elgin MSA,2028,424210,Drugs and Druggists' Sundries Merchant Wholesalers,2,2,10308.2010689244
2,1,Ag/Bio,,,00,000,29200,Lafayette-West Lafayette MSA,2023,325311,Nitrogenous Fertilizer Manufacturing,2,2,0.0
2,4,Research/Testing,,,00,000,31140,Louisville/Jefferson County MSA,2026,621511,Medical Laboratories,2,2,786.724802809
1,6,Bio-Logistics,,,00,000,45460,Terre Haute MSA,2022,000000,,1,1,90.02658574254731
1,6,Bio-Logistics,,,00,000,34620,Muncie MSA,2021,000000,,1,1,25.56991706153466
1,3,MedDev,,,0,000,00000,United States,2026,000000,,1,1,405756.21447350003
2,2,Pharma,,,00,000,18020,Columbus MSA,2019,325411,Medicinal and Botanical Manufacturing,2,2,0.0
1,3,MedDev,,,18,000,00000,Indiana,2019,000000,,1,1,19528.668007134802
2,3,MedDev,,,00,000,31140,Louisville/Jefferson County MSA,2023,339113,Surgical Appliance and Supplies Manufacturing,2,2,273.669957393
2,4,Research/Testing,,,00,000,29200,Lafayette-West Lafayette MSA,2021,621511,Medical Laboratories,2,2,65.8762825567
2,1,Ag/Bio,,,0,000,00000,United States,2023,325320,Pesticide and Other Agricultural Chemical Manufacturing,2,2,14807.7971064
2,4,Research/Testing,,,18,000,00000,Indiana,2025,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",2,2,3230.74128479724
2,1,Ag/Bio,,,00,000,34620,Muncie MSA,2022,325312,Phosphatic Fertilizer Manufacturing,2,2,0.0
1,4,Research/Testing,,,18,000,00000,Indiana,2021,000000,,1,1,9755.86677136566
2,1,Ag/Bio,,,18,000,00000,Indiana,2027,325312,Phosphatic Fertilizer Manufacturing,2,2,93.3631361888
2,4,Research/Testing,,,00,000,33140,Michigan City-La Porte MSA,2023,541713,Research and Development in Nanotechnology,2,2,0.0
1,2,Pharma,,,00,000,16980,Chicago-Naperville-Elgin MSA,2025,000000,,1,1,21443.277210188
2,4,Research/Testing,,,00,000,18020,Columbus MSA,2027,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",2,2,0.513351345688677
2,3,MedDev,,,00,000,23060,Fort Wayne MSA,2024,334516,Analytical Laboratory Instrument Manufacturing,2,2,0.0
2,6,Bio-Logistics,,,00,000,31140,Louisville/Jefferson County MSA,2025,424210,Drugs and Druggists' Sundries Merchant Wholesalers,2,2,1546.4634687097198
2,1,Ag/Bio,,,00,000,29200,Lafayette-West Lafayette MSA,2021,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,2,2,0.0
2,2,Pharma,,,00,000,23060,Fort Wayne MSA,2022,325414,Biological Product (except Diagnostic) Manufacturing,2,2,0.91901601322
2,2,Pharma,,,00,000,29200,Lafayette-West Lafayette MSA,2022,325414,Biological Product (except Diagnostic) Manufacturing,2,2,0.0
1,2,Pharma,,,00,000,29200,Lafayette-West Lafayette MSA,2020,000000,,1,1,17.888551149
2,1,Ag/Bio,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2019,325314,Fertilizer (Mixing Only) Manufacturing,2,2,38.6643471624
2,6,Bio-Logistics,,,00,000,29200,Lafayette-West Lafayette MSA,2020,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",2,2,11.0221031728913
2,3,MedDev,,,00,000,29020,Kokomo MSA,2021,334516,Analytical Laboratory Instrument Manufacturing,2,2,0.0
2,6,Bio-Logistics,,,00,000,21780,Evansville MSA,2024,424210,Drugs and Druggists' Sundries Merchant Wholesalers,2,2,42.4646711641956
1,3,MedDev,,,0,000,00000,United States,2025,000000,,1,1,399391.7884343
2,4,Research/Testing,,,00,000,16980,Chicago-Naperville-Elgin MSA,2028,621511,Medical Laboratories,2,2,5233.27798295
2,2,Pharma,,,00,000,21140,Elkhart-Goshen MSA,2024,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,88.3656135864
2,2,Pharma,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,325414,Biological Product (except Diagnostic) Manufacturing,2,2,83.0981079302
0,0,Life Sciences Total,,,00,000,43780,South Bend-Mishawaka MSA,2022,000000,,0,0,1650.7950480774834
2,3,MedDev,,,00,000,14020,Bloomington MSA,2026,339114,Dental Equipment and Supplies Manufacturing,2,2,0.0
2,2,Pharma,,,00,000,21780,Evansville MSA,2024,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,0.0
2,1,Ag/Bio,,,00,000,23060,Fort Wayne MSA,2019,325311,Nitrogenous Fertilizer Manufacturing,2,2,0.0
2,6,Bio-Logistics,,,00,000,34620,Muncie MSA,2028,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",2,2,22.815214109685897
2,1,Ag/Bio,,,0,000,00000,United States,2020,325312,Phosphatic Fertilizer Manufacturing,2,2,5621.62591588
2,4,Research/Testing,,,00,000,18020,Columbus MSA,2025,621511,Medical Laboratories,2,2,53.78906723
2,2,Pharma,,,00,000,14020,Bloomington MSA,2028,325412,Pharmaceutical Preparation Manufacturing,2,2,3831.5160605
2,3,MedDev,,,00,000,29020,Kokomo MSA,2025,339112,Surgical and Medical Instrument Manufacturing,2,2,0.0
2,6,Bio-Logistics,,,00,000,33140,Michigan City-La Porte MSA,2022,424910,Farm Supplies Merchant Wholesalers,2,2,63.945898943742804
2,3,MedDev,,,00,000,29020,Kokomo MSA,2027,334516,Analytical Laboratory Instrument Manufacturing,2,2,0.0
1,4,Research/Testing,,,00,000,21140,Elkhart-Goshen MSA,2021,000000,,1,1,85.50132695409846
