display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,posting_hourly_wage
2,1,"Agricultural Production, Distribution and Processing",321113,Sawmills,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,000000,,3.0,3.01,18.7692307692
3,2,Value-Added Food and Nutrition,311,Food Manufacturing,00,000,17140,Cincinnati MSA,2023,311520,Ice Cream and Frozen Dessert Manufacturing,1.0,1.19,20.0
3,1,"Agricultural Production, Distribution and Processing",11,"Agriculture, Forestry, Fishing and Hunting",00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,111160,Rice Farming,1.0,1.06,29.9692307692
3,1,"Agricultural Production, Distribution and Processing",11,"Agriculture, Forestry, Fishing and Hunting",00,000,18020,Columbus MSA,2023,111191,Oilseed and Grain Combination Farming,1.0,1.07,
3,3,Animal Health and Nutrition,3111,Animal Food Manufacturing,00,000,21780,Evansville MSA,2023,311119,Other Animal Food Manufacturing,2.0,2.02,20.9846153846
3,1,"Agricultural Production, Distribution and Processing",11,"Agriculture, Forestry, Fishing and Hunting",0,000,00000,United States,2023,111310,Orange Groves,1.0,1.11,23.4461538462
3,2,Value-Added Food and Nutrition,4244,Grocery and Related Product Merchant Wholesalers,18,000,00000,Indiana,2023,424480,Fresh Fruit and Vegetable Merchant Wholesalers,3.0,3.08,21.2307692308
3,1,"Agricultural Production, Distribution and Processing",11,"Agriculture, Forestry, Fishing and Hunting",00,000,31140,Louisville/Jefferson County MSA,2023,112120,Dairy Cattle and Milk Production,1.0,1.33,16.8269230769
3,1,"Agricultural Production, Distribution and Processing",4245,Farm Product Raw Material Merchant Wholesalers,00,000,16980,Chicago-Naperville-Elgin MSA,2023,424590,Other Farm Product Raw Material Merchant Wholesalers,6.0,6.03,21.8461538462
3,2,Value-Added Food and Nutrition,311,Food Manufacturing,00,000,21780,Evansville MSA,2023,311999,All Other Miscellaneous Food Manufacturing,1.0,1.38,18.0307692308
3,4,Plant Science and Crop Protection,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",00,000,21780,Evansville MSA,2023,325314,Fertilizer (Mixing Only) Manufacturing,2.0,2.03,25.1076923077
3,3,Animal Health and Nutrition,3254,Pharmaceutical and Medicine Manufacturing,18,000,00000,Indiana,2023,325413,In-Vitro Diagnostic Substance Manufacturing,3.0,3.03,1.026461538462
3,2,Value-Added Food and Nutrition,311,Food Manufacturing,00,000,29200,Lafayette-West Lafayette MSA,2023,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",1.0,1.1,20.0
3,1,"Agricultural Production, Distribution and Processing",11,"Agriculture, Forestry, Fishing and Hunting",00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,111421,Nursery and Tree Production,1.0,1.22,14.4615384615
3,5,"Agricultural Equipment, Technologies, and Systems",333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",00,000,34620,Muncie MSA,2023,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",1.0,1.03,15.5
1,1,"Agricultural Production, Distribution and Processing",,,00,000,34620,Muncie MSA,2023,000000,,1.0,1.0,21.0033653846125
2,2,Value-Added Food and Nutrition,312,Beverage and Tobacco Product Manufacturing,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,2.0,2.04,19.217582417585714
2,1,"Agricultural Production, Distribution and Processing",321113,Sawmills,00,000,45460,Terre Haute MSA,2023,000000,,3.0,3.01,18.5
2,2,Value-Added Food and Nutrition,4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",00,000,16980,Chicago-Naperville-Elgin MSA,2023,000000,,4.0,4.015,21.53846153845
3,1,"Agricultural Production, Distribution and Processing",11,"Agriculture, Forestry, Fishing and Hunting",18,000,00000,Indiana,2023,112410,Sheep Farming,1.0,1.4,11.5
3,1,"Agricultural Production, Distribution and Processing",11,"Agriculture, Forestry, Fishing and Hunting",00,000,17140,Cincinnati MSA,2023,111411,Mushroom Production,1.0,1.2,
2,4,Plant Science and Crop Protection,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",0,000,00000,United States,2023,000000,,2.0,2.03,23.569230769233332
3,1,"Agricultural Production, Distribution and Processing",11,"Agriculture, Forestry, Fishing and Hunting",00,000,45460,Terre Haute MSA,2023,111211,Potato Farming,1.0,1.09,21.5548076923
3,2,Value-Added Food and Nutrition,311,Food Manufacturing,00,000,21780,Evansville MSA,2023,311351,Chocolate and Confectionery Manufacturing from Cacao Beans,1.0,1.08,
3,1,"Agricultural Production, Distribution and Processing",31122,Starch and Vegetable Fats and Oils Manufacturing,00,000,31140,Louisville/Jefferson County MSA,2023,311221,Wet Corn Milling and Starch Manufacturing,2.0,2.01,
3,1,"Agricultural Production, Distribution and Processing",11,"Agriculture, Forestry, Fishing and Hunting",00,000,16980,Chicago-Naperville-Elgin MSA,2023,111419,Other Food Crops Grown Under Cover,1.0,1.21,18.0307692308
3,2,Value-Added Food and Nutrition,311,Food Manufacturing,00,000,21140,Elkhart-Goshen MSA,2023,311999,All Other Miscellaneous Food Manufacturing,1.0,1.38,18.7076923077
3,1,"Agricultural Production, Distribution and Processing",11,"Agriculture, Forestry, Fishing and Hunting",00,000,17140,Cincinnati MSA,2023,111419,Other Food Crops Grown Under Cover,1.0,1.21,15.6923076923
3,3,Animal Health and Nutrition,1152,Support Activities for Animal Production,00,000,43780,South Bend-Mishawaka MSA,2023,115210,Support Activities for Animal Production,1.0,1.01,
3,2,Value-Added Food and Nutrition,311,Food Manufacturing,00,000,16980,Chicago-Naperville-Elgin MSA,2023,311821,Cookie and Cracker Manufacturing,1.0,1.28,18.0307692308
1,2,Value-Added Food and Nutrition,,,00,000,33140,Michigan City-La Porte MSA,2023,000000,,1.0,1.0,19.00465587044737
