display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,posting_hourly_wage
2,3,MedDev,,,00,000,23060,Fort Wayne MSA,2023,339113,Surgical Appliance and Supplies Manufacturing,2,2,39.8153846154
2,4,Research/Testing,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,541713,Research and Development in Nanotechnology,2,2,17.924307692334
2,2,Pharma,,,0,000,00000,United States,2023,325414,Biological Product (except Diagnostic) Manufacturing,2,2,56.5846153846
2,3,MedDev,,,00,000,43780,South Bend-Mishawaka MSA,2023,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,2,2,38.2769230769
2,4,Research/Testing,,,18,000,00000,Indiana,2023,541713,Research and Development in Nanotechnology,2,2,17.924307692334
2,4,Research/Testing,,,00,000,45460,Terre Haute MSA,2023,541380,Testing Laboratories and Services,2,2,2.0844307692272
2,6,Bio-Logistics,,,0,000,00000,United States,2023,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",2,2,34.1493230768932
2,4,Research/Testing,,,00,000,17140,Cincinnati MSA,2023,541713,Research and Development in Nanotechnology,2,2,15.924923076945
2,6,Bio-Logistics,,,00,000,45460,Terre Haute MSA,2023,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",2,2,43.4410461538835
2,1,Ag/Bio,,,00,000,17140,Cincinnati MSA,2023,325311,Nitrogenous Fertilizer Manufacturing,2,2,26.4
2,4,Research/Testing,,,00,000,14020,Bloomington MSA,2023,541714,Research and Development in Biotechnology (except Nanobiotechnology),2,2,26.0307692308
1,3,MedDev,,,00,000,45460,Terre Haute MSA,2023,000000,,1,1,53.04615384615
2,4,Research/Testing,,,00,000,17140,Cincinnati MSA,2023,541380,Testing Laboratories and Services,2,2,2.2628923076932
2,2,Pharma,,,00,000,29200,Lafayette-West Lafayette MSA,2023,325411,Medicinal and Botanical Manufacturing,2,2,
1,1,Ag/Bio,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,1,1,21.42884615382
1,4,Research/Testing,,,00,000,43780,South Bend-Mishawaka MSA,2023,000000,,1,1,20.177415384623323
2,2,Pharma,,,00,000,34620,Muncie MSA,2023,325412,Pharmaceutical Preparation Manufacturing,2,2,50.3384615385
2,2,Pharma,,,18,000,00000,Indiana,2023,325411,Medicinal and Botanical Manufacturing,2,2,79.1384615385
2,4,Research/Testing,,,00,000,29200,Lafayette-West Lafayette MSA,2023,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",2,2,29.2558153846014
2,6,Bio-Logistics,,,0,000,00000,United States,2023,424910,Farm Supplies Merchant Wholesalers,2,2,17.633107692301202
2,4,Research/Testing,,,00,000,23060,Fort Wayne MSA,2023,541714,Research and Development in Biotechnology (except Nanobiotechnology),2,2,20.7384615385
2,3,MedDev,,,00,000,21140,Elkhart-Goshen MSA,2023,339112,Surgical and Medical Instrument Manufacturing,2,2,26.0307692308
2,6,Bio-Logistics,,,18,000,00000,Indiana,2023,424910,Farm Supplies Merchant Wholesalers,2,2,15.6334769230964
1,2,Pharma,,,00,000,31140,Louisville/Jefferson County MSA,2023,000000,,1,1,29.2717948718
2,2,Pharma,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,50.0923076923
2,3,MedDev,,,00,000,21140,Elkhart-Goshen MSA,2023,334516,Analytical Laboratory Instrument Manufacturing,2,2,37.5
2,1,Ag/Bio,,,00,000,29200,Lafayette-West Lafayette MSA,2023,325320,Pesticide and Other Agricultural Chemical Manufacturing,2,2,14.9538461538
2,3,MedDev,,,00,000,43780,South Bend-Mishawaka MSA,2023,339112,Surgical and Medical Instrument Manufacturing,2,2,27.5076923077
2,3,MedDev,,,00,000,34620,Muncie MSA,2023,339113,Surgical Appliance and Supplies Manufacturing,2,2,13.3538461538
2,3,MedDev,,,0,000,00000,United States,2023,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,2,2,49.2
2,3,MedDev,,,00,000,16980,Chicago-Naperville-Elgin MSA,2023,339113,Surgical Appliance and Supplies Manufacturing,2,2,31.2
2,2,Pharma,,,00,000,23060,Fort Wayne MSA,2023,325413,In-Vitro Diagnostic Substance Manufacturing,2,2,
2,6,Bio-Logistics,,,00,000,33140,Michigan City-La Porte MSA,2023,424910,Farm Supplies Merchant Wholesalers,2,2,16.88
2,4,Research/Testing,,,00,000,34620,Muncie MSA,2023,541380,Testing Laboratories and Services,2,2,
2,4,Research/Testing,,,00,000,23060,Fort Wayne MSA,2023,541713,Research and Development in Nanotechnology,2,2,15.959999999999999
1,2,Pharma,,,18,000,00000,Indiana,2023,000000,,1,1,57.5076923077
