display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,Year,naics,naics_title,group_by_sort,sort,posting_hourly_wage
2,2,    622 - Hospitals,,,00,000,23060,Fort Wayne MSA,2024,622210,Psychiatric and Substance Abuse Hospitals,2,2,15.4461538462
2,1,    621 - Ambulatory Care,,,00,000,29020,Kokomo MSA,2024,621391,Offices of Podiatrists,2,2,14.0
2,1,    621 - Ambulatory Care,,,00,000,34620,Muncie MSA,2024,621498,All Other Outpatient Care Centers,2,2,21.1076923077
2,1,    621 - Ambulatory Care,,,00,000,21140,Elkhart-Goshen MSA,2024,621420,Outpatient Mental Health and Substance Abuse Centers,2,2,19.0153846154
2,1,    621 - Ambulatory Care,,,0,000,00000,United States,2024,621493,Freestanding Ambulatory Surgical and Emergency Centers,2,2,30.2153846154
2,1,    621 - Ambulatory Care,,,00,000,34620,Muncie MSA,2024,621410,Family Planning Centers,2,2,
2,1,    621 - Ambulatory Care,,,00,000,45460,Terre Haute MSA,2024,621310,Offices of Chiropractors,2,2,50.5846153846
2,3,    623 - Nursing and Residential Care,,,00,000,31140,Louisville/Jefferson County MSA,2024,623110,Nursing Care Facilities (Skilled Nursing Facilities),2,2,24.307692307700002
2,1,    621 - Ambulatory Care,,,00,000,29200,Lafayette-West Lafayette MSA,2024,621112,"Offices of Physicians, Mental Health Specialists",2,2,156.492307692
2,1,    621 - Ambulatory Care,,,00,000,17140,Cincinnati MSA,2024,621493,Freestanding Ambulatory Surgical and Emergency Centers,2,2,37.1076923077
2,1,    621 - Ambulatory Care,,,00,000,21780,Evansville MSA,2024,621511,Medical Laboratories,2,2,17.7846153846
2,1,    621 - Ambulatory Care,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,621210,Offices of Dentists,2,2,21.9692307692
2,3,    623 - Nursing and Residential Care,,,00,000,31140,Louisville/Jefferson County MSA,2024,623311,Continuing Care Retirement Communities,2,2,21.4769230769
2,1,    621 - Ambulatory Care,,,00,000,23060,Fort Wayne MSA,2024,621410,Family Planning Centers,2,2,29.2307692308
2,1,    621 - Ambulatory Care,,,00,000,33140,Michigan City-La Porte MSA,2024,621511,Medical Laboratories,2,2,20.307692307700002
2,1,    621 - Ambulatory Care,,,00,000,45460,Terre Haute MSA,2024,621512,Diagnostic Imaging Centers,2,2,35.4461538462
2,1,    621 - Ambulatory Care,,,00,000,29020,Kokomo MSA,2024,621610,Home Health Care Services,2,2,26.4
2,3,    623 - Nursing and Residential Care,,,00,000,18020,Columbus MSA,2024,623210,Residential Intellectual and Developmental Disability Facilities,2,2,8.25
2,1,    621 - Ambulatory Care,,,00,000,45460,Terre Haute MSA,2024,621498,All Other Outpatient Care Centers,2,2,34.6461538462
2,1,    621 - Ambulatory Care,,,00,000,23060,Fort Wayne MSA,2024,621910,Ambulance Services,2,2,29.9692307692
2,1,    621 - Ambulatory Care,,,00,000,23060,Fort Wayne MSA,2024,621330,Offices of Mental Health Practitioners (except Physicians),2,2,38.5846153846
2,1,    621 - Ambulatory Care,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,621111,Offices of Physicians (except Mental Health Specialists),2,2,22.9538461538
2,1,    621 - Ambulatory Care,,,00,000,45460,Terre Haute MSA,2024,621320,Offices of Optometrists,2,2,18.0307692308
2,2,    622 - Hospitals,,,00,000,29020,Kokomo MSA,2024,622110,General Medical and Surgical Hospitals,2,2,31.9384615385
0,0,Healthcare Total,,,00,000,34620,Muncie MSA,2024,000000,,0,0,30.210669378696156
2,1,    621 - Ambulatory Care,,,00,000,43780,South Bend-Mishawaka MSA,2024,621910,Ambulance Services,2,2,37.5384615385
2,2,    622 - Hospitals,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,2,2,41.5384615385
2,1,    621 - Ambulatory Care,,,00,000,29200,Lafayette-West Lafayette MSA,2024,621492,Kidney Dialysis Centers,2,2,33.1076923077
2,1,    621 - Ambulatory Care,,,00,000,23060,Fort Wayne MSA,2024,621420,Outpatient Mental Health and Substance Abuse Centers,2,2,21.4769230769
2,1,    621 - Ambulatory Care,,,00,000,14020,Bloomington MSA,2024,621498,All Other Outpatient Care Centers,2,2,38.5230769231
2,1,    621 - Ambulatory Care,,,0,000,00000,United States,2024,621112,"Offices of Physicians, Mental Health Specialists",2,2,42.0615384615
2,2,    622 - Hospitals,,,18,000,00000,Indiana,2024,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,2,2,35.6307692308
2,1,    621 - Ambulatory Care,,,00,000,18020,Columbus MSA,2024,621420,Outpatient Mental Health and Substance Abuse Centers,2,2,33.8461538462
2,1,    621 - Ambulatory Care,,,00,000,45460,Terre Haute MSA,2024,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",2,2,40.0615384615
2,1,    621 - Ambulatory Care,,,00,000,45460,Terre Haute MSA,2024,621330,Offices of Mental Health Practitioners (except Physicians),2,2,36.0615384615
2,1,    621 - Ambulatory Care,,,00,000,29020,Kokomo MSA,2024,621910,Ambulance Services,2,2,38.4
2,1,    621 - Ambulatory Care,,,00,000,33140,Michigan City-La Porte MSA,2024,621512,Diagnostic Imaging Centers,2,2,
2,1,    621 - Ambulatory Care,,,18,000,00000,Indiana,2024,621310,Offices of Chiropractors,2,2,19.5384615385
2,1,    621 - Ambulatory Care,,,00,000,21780,Evansville MSA,2024,621330,Offices of Mental Health Practitioners (except Physicians),2,2,30.4615384615
2,1,    621 - Ambulatory Care,,,00,000,14020,Bloomington MSA,2024,621492,Kidney Dialysis Centers,2,2,22.7076923077
2,1,    621 - Ambulatory Care,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,621410,Family Planning Centers,2,2,20.1230769231
2,3,    623 - Nursing and Residential Care,,,00,000,29020,Kokomo MSA,2024,623312,Assisted Living Facilities for the Elderly,2,2,16.0615384615
2,1,    621 - Ambulatory Care,,,00,000,23060,Fort Wayne MSA,2024,621498,All Other Outpatient Care Centers,2,2,24.0615384615
2,2,    622 - Hospitals,,,00,000,29020,Kokomo MSA,2024,622210,Psychiatric and Substance Abuse Hospitals,2,2,33.6
2,1,    621 - Ambulatory Care,,,18,000,00000,Indiana,2024,621511,Medical Laboratories,2,2,21.4769230769
2,1,    621 - Ambulatory Care,,,00,000,43780,South Bend-Mishawaka MSA,2024,621999,All Other Miscellaneous Ambulatory Health Care Services,2,2,35.1384615385
2,3,    623 - Nursing and Residential Care,,,00,000,21140,Elkhart-Goshen MSA,2024,623210,Residential Intellectual and Developmental Disability Facilities,2,2,14.9538461538
2,3,    623 - Nursing and Residential Care,,,00,000,34620,Muncie MSA,2024,623220,Residential Mental Health and Substance Abuse Facilities,2,2,15.0769230769
2,3,    623 - Nursing and Residential Care,,,00,000,43780,South Bend-Mishawaka MSA,2024,623220,Residential Mental Health and Substance Abuse Facilities,2,2,22.9538461538
2,1,    621 - Ambulatory Care,,,00,000,14020,Bloomington MSA,2024,621111,Offices of Physicians (except Mental Health Specialists),2,2,20.0307692308
2,3,    623 - Nursing and Residential Care,,,00,000,34620,Muncie MSA,2024,623110,Nursing Care Facilities (Skilled Nursing Facilities),2,2,27.6307692308
2,1,    621 - Ambulatory Care,,,00,000,17140,Cincinnati MSA,2024,621320,Offices of Optometrists,2,2,16.0615384615
2,1,    621 - Ambulatory Care,,,00,000,21140,Elkhart-Goshen MSA,2024,621112,"Offices of Physicians, Mental Health Specialists",2,2,15.0769230769
0,0,Healthcare Total,,,00,000,43780,South Bend-Mishawaka MSA,2024,000000,,0,0,27.7403183023793
1,2,    622 - Hospitals,,,00,000,43780,South Bend-Mishawaka MSA,2024,000000,,1,1,36.143589743566665
2,3,    623 - Nursing and Residential Care,,,00,000,34620,Muncie MSA,2024,623210,Residential Intellectual and Developmental Disability Facilities,2,2,55.8173076923
2,1,    621 - Ambulatory Care,,,00,000,21140,Elkhart-Goshen MSA,2024,621492,Kidney Dialysis Centers,2,2,34.0923076923
1,3,    623 - Nursing and Residential Care,,,00,000,29200,Lafayette-West Lafayette MSA,2024,000000,,1,1,19.323076923083335
1,2,    622 - Hospitals,,,00,000,18020,Columbus MSA,2024,000000,,1,1,20.6769230769
1,1,    621 - Ambulatory Care,,,00,000,21780,Evansville MSA,2024,000000,,1,1,26.716194331984212
2,1,    621 - Ambulatory Care,,,00,000,33140,Michigan City-La Porte MSA,2024,621420,Outpatient Mental Health and Substance Abuse Centers,2,2,13.9692307692
2,3,    623 - Nursing and Residential Care,,,00,000,29200,Lafayette-West Lafayette MSA,2024,623110,Nursing Care Facilities (Skilled Nursing Facilities),2,2,22.3384615385
2,2,    622 - Hospitals,,,00,000,33140,Michigan City-La Porte MSA,2024,622210,Psychiatric and Substance Abuse Hospitals,2,2,19.7538461538
2,3,    623 - Nursing and Residential Care,,,00,000,18020,Columbus MSA,2024,623312,Assisted Living Facilities for the Elderly,2,2,16.0615384615
1,3,    623 - Nursing and Residential Care,,,00,000,43780,South Bend-Mishawaka MSA,2024,000000,,1,1,22.666666666666668
2,1,    621 - Ambulatory Care,,,00,000,31140,Louisville/Jefferson County MSA,2024,621493,Freestanding Ambulatory Surgical and Emergency Centers,2,2,28.9846153846
2,1,    621 - Ambulatory Care,,,00,000,16980,Chicago-Naperville-Elgin MSA,2024,621399,Offices of All Other Miscellaneous Health Practitioners,2,2,28.9846153846
2,1,    621 - Ambulatory Care,,,0,000,00000,United States,2024,621330,Offices of Mental Health Practitioners (except Physicians),2,2,30.2461538462
2,1,    621 - Ambulatory Care,,,00,000,34620,Muncie MSA,2024,621420,Outpatient Mental Health and Substance Abuse Centers,2,2,49.0
2,1,    621 - Ambulatory Care,,,00,000,34620,Muncie MSA,2024,621493,Freestanding Ambulatory Surgical and Emergency Centers,2,2,25.9692307692
2,2,    622 - Hospitals,,,00,000,33140,Michigan City-La Porte MSA,2024,622110,General Medical and Surgical Hospitals,2,2,32.9230769231
2,1,    621 - Ambulatory Care,,,00,000,23060,Fort Wayne MSA,2024,621210,Offices of Dentists,2,2,20.4923076923
2,1,    621 - Ambulatory Care,,,00,000,34620,Muncie MSA,2024,621910,Ambulance Services,2,2,24.7475961538
2,1,    621 - Ambulatory Care,,,00,000,21780,Evansville MSA,2024,621910,Ambulance Services,2,2,18.6461538462
1,2,    622 - Hospitals,,,18,000,00000,Indiana,2024,000000,,1,1,30.55384615386667
1,1,    621 - Ambulatory Care,,,00,000,23060,Fort Wayne MSA,2024,000000,,1,1,24.39120879120476
2,1,    621 - Ambulatory Care,,,00,000,23060,Fort Wayne MSA,2024,621999,All Other Miscellaneous Ambulatory Health Care Services,2,2,30.8307692308
2,1,    621 - Ambulatory Care,,,00,000,29200,Lafayette-West Lafayette MSA,2024,621491,HMO Medical Centers,2,2,35.5692307692
2,1,    621 - Ambulatory Care,,,00,000,18020,Columbus MSA,2024,621111,Offices of Physicians (except Mental Health Specialists),2,2,28.4
2,1,    621 - Ambulatory Care,,,00,000,29020,Kokomo MSA,2024,621320,Offices of Optometrists,2,2,16.0615384615
2,1,    621 - Ambulatory Care,,,00,000,45460,Terre Haute MSA,2024,621410,Family Planning Centers,2,2,
2,1,    621 - Ambulatory Care,,,00,000,29200,Lafayette-West Lafayette MSA,2024,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",2,2,29.9692307692
2,1,    621 - Ambulatory Care,,,00,000,18020,Columbus MSA,2024,621511,Medical Laboratories,2,2,16.0615384615
2,3,    623 - Nursing and Residential Care,,,0,000,00000,United States,2024,623220,Residential Mental Health and Substance Abuse Facilities,2,2,21.5076923077
2,1,    621 - Ambulatory Care,,,00,000,29200,Lafayette-West Lafayette MSA,2024,621391,Offices of Podiatrists,2,2,52.3
2,3,    623 - Nursing and Residential Care,,,00,000,29200,Lafayette-West Lafayette MSA,2024,623312,Assisted Living Facilities for the Elderly,2,2,18.0307692308
1,3,    623 - Nursing and Residential Care,,,18,000,00000,Indiana,2024,000000,,1,1,20.4205128205
2,3,    623 - Nursing and Residential Care,,,00,000,33140,Michigan City-La Porte MSA,2024,623311,Continuing Care Retirement Communities,2,2,18.0307692308
2,1,    621 - Ambulatory Care,,,00,000,34620,Muncie MSA,2024,621310,Offices of Chiropractors,2,2,55.3846153846
2,1,    621 - Ambulatory Care,,,00,000,43780,South Bend-Mishawaka MSA,2024,621610,Home Health Care Services,2,2,20.5230769231
2,1,    621 - Ambulatory Care,,,00,000,14020,Bloomington MSA,2024,621610,Home Health Care Services,2,2,29.9692307692
2,2,    622 - Hospitals,,,00,000,31140,Louisville/Jefferson County MSA,2024,622110,General Medical and Surgical Hospitals,2,2,29.9692307692
2,1,    621 - Ambulatory Care,,,00,000,43780,South Bend-Mishawaka MSA,2024,621491,HMO Medical Centers,2,2,
2,3,    623 - Nursing and Residential Care,,,00,000,43780,South Bend-Mishawaka MSA,2024,623312,Assisted Living Facilities for the Elderly,2,2,18.5230769231
2,1,    621 - Ambulatory Care,,,00,000,43780,South Bend-Mishawaka MSA,2024,621420,Outpatient Mental Health and Substance Abuse Centers,2,2,20.6153846154
2,1,    621 - Ambulatory Care,,,00,000,29020,Kokomo MSA,2024,621330,Offices of Mental Health Practitioners (except Physicians),2,2,31.2615384615
2,1,    621 - Ambulatory Care,,,00,000,34620,Muncie MSA,2024,621111,Offices of Physicians (except Mental Health Specialists),2,2,24.0615384615
2,1,    621 - Ambulatory Care,,,00,000,14020,Bloomington MSA,2024,621320,Offices of Optometrists,2,2,17.0461538462
1,3,    623 - Nursing and Residential Care,,,00,000,33140,Michigan City-La Porte MSA,2024,000000,,1,1,19.4436698718
2,1,    621 - Ambulatory Care,,,00,000,14020,Bloomington MSA,2024,621112,"Offices of Physicians, Mental Health Specialists",2,2,46.8923076923
2,1,    621 - Ambulatory Care,,,00,000,21780,Evansville MSA,2024,621991,Blood and Organ Banks,2,2,
2,1,    621 - Ambulatory Care,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,2024,621410,Family Planning Centers,2,2,29.6
2,3,    623 - Nursing and Residential Care,,,00,000,21140,Elkhart-Goshen MSA,2024,623990,Other Residential Care Facilities,2,2,22.8923076923
