display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,naics,naics_title,Year,group_by_sort,sort,wages
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,000000,,2020,0,0,75294.52618526074
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,000000,,2022,0,0,108299.60058628346
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2021,0,0,91205.80999318315
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,000000,,2024,0,0,81256.17464280853
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,000000,,2020,0,0,72470.945827032
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2020,0,0,118234.95031785463
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2022,0,0,129752.46135678094
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,000000,,2021,0,0,81834.70075535978
0,0,Total Advanced and Traded Industries,,,00,000,45460,Terre Haute MSA,000000,,2021,0,0,72111.23412122673
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,000000,,2023,0,0,121472.8507464102
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,000000,,2020,0,0,78180.73157170913
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2023,0,0,91805.61197631602
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,000000,,2022,0,0,117299.77061670522
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,000000,,2021,0,0,85536.4232809576
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,000000,,2023,0,0,111642.87371219664
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,000000,,2023,0,0,110821.03157873671
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2022,0,0,85580.955891346
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,000000,,2024,0,0,127804.77427992201
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,0,0,132523.3948548433
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,000000,,2022,0,0,108560.41906133869
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,000000,,2024,0,0,117832.37371955551
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,000000,,2022,0,0,85277.49227623547
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2020,0,0,79628.23037964803
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2021,0,0,78940.00653366161
0,0,Total Advanced and Traded Industries,,,00,000,45460,Terre Haute MSA,000000,,2024,0,0,82249.74120922023
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,000000,,2020,0,0,107511.84360154471
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,000000,,2022,0,0,108152.8381558635
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,0,0,84403.1965314721
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,000000,,2021,0,0,86182.83937879994
0,0,Total Advanced and Traded Industries,,,18,000,00000,Indiana,000000,,2023,0,0,94587.06062463432
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,000000,,2023,0,0,89638.46593974213
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,000000,,2024,0,0,123036.76151006656
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,000000,,2020,0,0,89159.41269225722
0,0,Total Advanced and Traded Industries,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2022,0,0,83588.14156466768
0,0,Total Advanced and Traded Industries,,,00,000,45460,Terre Haute MSA,000000,,2022,0,0,76285.94099228502
0,0,Total Advanced and Traded Industries,,,18,000,00000,Indiana,000000,,2020,0,0,82693.00522057613
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,000000,,2020,0,0,77525.32264360122
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2024,0,0,135990.03089512672
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,000000,,2023,0,0,117996.98716836318
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2020,0,0,87749.02137673099
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2022,0,0,94188.10810143074
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,000000,,2020,0,0,68476.44473103691
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,000000,,2022,0,0,74379.6768200556
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,000000,,2023,0,0,78912.3422252633
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,000000,,2024,0,0,80218.26518500772
0,0,Total Advanced and Traded Industries,,,18,000,00000,Indiana,000000,,2021,0,0,87914.18147223364
0,0,Total Advanced and Traded Industries,,,18,000,00000,Indiana,000000,,2024,0,0,100367.059565535
0,0,Total Advanced and Traded Industries,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2021,0,0,126584.08837392168
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,000000,,2023,0,0,87383.96585270016
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2023,0,0,104861.45961123584
0,0,Total Advanced and Traded Industries,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2020,0,0,76929.04246904197
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2020,0,0,92980.5868994789
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2022,0,0,100755.65866101516
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,000000,,2024,0,0,124012.04772418318
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,000000,,2021,0,0,101387.78661813261
0,0,Total Advanced and Traded Industries,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2024,0,0,89089.99459046866
0,0,Total Advanced and Traded Industries,,,0,000,00000,United States,000000,,2021,0,0,114404.08957963012
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,000000,,2020,0,0,103094.31906532266
0,0,Total Advanced and Traded Industries,,,00,000,17140,Cincinnati MSA,000000,,2021,0,0,105955.94053482605
0,0,Total Advanced and Traded Industries,,,00,000,18020,Columbus MSA,000000,,2020,0,0,95116.82843379414
0,0,Total Advanced and Traded Industries,,,00,000,23060,Fort Wayne MSA,000000,,2024,0,0,90926.84248351734
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2021,0,0,97109.27330272069
0,0,Total Advanced and Traded Industries,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2024,0,0,113534.93080313344
0,0,Total Advanced and Traded Industries,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2021,0,0,82022.28791881372
0,0,Total Advanced and Traded Industries,,,00,000,45460,Terre Haute MSA,000000,,2023,0,0,78892.27569801096
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,000000,,2022,0,0,86759.38938101464
0,0,Total Advanced and Traded Industries,,,00,000,14020,Bloomington MSA,000000,,2024,0,0,94200.2054646582
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,000000,,2024,0,0,89355.8460319241
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,000000,,2024,0,0,97086.15260890505
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2023,0,0,98625.4505932025
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,000000,,2023,0,0,78068.8225546642
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,000000,,2020,0,0,83639.34688237218
0,0,Total Advanced and Traded Industries,,,00,000,29020,Kokomo MSA,000000,,2021,0,0,94690.96287115235
0,0,Total Advanced and Traded Industries,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2024,0,0,96021.13740352138
0,0,Total Advanced and Traded Industries,,,00,000,33140,Michigan City-La Porte MSA,000000,,2021,0,0,75498.06558851614
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,000000,,2021,0,0,74152.09458316563
0,0,Total Advanced and Traded Industries,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2023,0,0,86663.6025535009
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,000000,,2021,0,0,88298.45930119876
0,0,Total Advanced and Traded Industries,,,00,000,21140,Elkhart-Goshen MSA,000000,,2022,0,0,89698.26372000902
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,000000,,2022,0,0,88918.57518204159
0,0,Total Advanced and Traded Industries,,,00,000,21780,Evansville MSA,000000,,2023,0,0,92922.6809672758
0,0,Total Advanced and Traded Industries,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2024,0,0,103130.85039267791
0,0,Total Advanced and Traded Industries,,,00,000,34620,Muncie MSA,000000,,2022,0,0,75623.55918024147
0,0,Total Advanced and Traded Industries,,,00,000,45460,Terre Haute MSA,000000,,2020,0,0,68827.89803155923
0,0,Total Advanced and Traded Industries,,,18,000,00000,Indiana,000000,,2022,0,0,91682.75360705196
1,1,Manufacturing,,,0,000,00000,United States,000000,,2020,1,1,90474.14477304157
1,1,Manufacturing,,,0,000,00000,United States,000000,,2021,1,1,94252.53801608374
1,1,Manufacturing,,,0,000,00000,United States,000000,,2022,1,1,97379.75587414722
1,1,Manufacturing,,,0,000,00000,United States,000000,,2023,1,1,101191.81044503687
1,1,Manufacturing,,,0,000,00000,United States,000000,,2024,1,1,104868.97166797651
1,1,Manufacturing,,,00,000,14020,Bloomington MSA,000000,,2020,1,1,74923.51559370682
1,1,Manufacturing,,,00,000,14020,Bloomington MSA,000000,,2021,1,1,85007.75463566648
1,1,Manufacturing,,,00,000,14020,Bloomington MSA,000000,,2022,1,1,83574.16352683472
1,1,Manufacturing,,,00,000,14020,Bloomington MSA,000000,,2023,1,1,87149.358762647
1,1,Manufacturing,,,00,000,14020,Bloomington MSA,000000,,2024,1,1,92219.31207392275
1,1,Manufacturing,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2020,1,1,98383.62038258287
1,1,Manufacturing,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2021,1,1,105315.52977483084
1,1,Manufacturing,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2022,1,1,109644.03782221982
1,1,Manufacturing,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,1,1,110846.11904497546
1,1,Manufacturing,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2024,1,1,113458.48640638212
1,1,Manufacturing,,,00,000,17140,Cincinnati MSA,000000,,2020,1,1,99542.70395103474
1,1,Manufacturing,,,00,000,17140,Cincinnati MSA,000000,,2021,1,1,99680.84301345552
1,1,Manufacturing,,,00,000,17140,Cincinnati MSA,000000,,2022,1,1,102110.6212853731
1,1,Manufacturing,,,00,000,17140,Cincinnati MSA,000000,,2023,1,1,106388.91559924971
1,1,Manufacturing,,,00,000,17140,Cincinnati MSA,000000,,2024,1,1,114153.49041474712
1,1,Manufacturing,,,00,000,18020,Columbus MSA,000000,,2020,1,1,95261.46187257524
1,1,Manufacturing,,,00,000,18020,Columbus MSA,000000,,2021,1,1,102435.1583177798
1,1,Manufacturing,,,00,000,18020,Columbus MSA,000000,,2022,1,1,109797.4973359752
1,1,Manufacturing,,,00,000,18020,Columbus MSA,000000,,2023,1,1,109436.62666524603
1,1,Manufacturing,,,00,000,18020,Columbus MSA,000000,,2024,1,1,124583.88693802596
1,1,Manufacturing,,,00,000,21140,Elkhart-Goshen MSA,000000,,2020,1,1,69153.926584835
1,1,Manufacturing,,,00,000,21140,Elkhart-Goshen MSA,000000,,2021,1,1,80491.9098709817
1,1,Manufacturing,,,00,000,21140,Elkhart-Goshen MSA,000000,,2022,1,1,82355.83017383475
1,1,Manufacturing,,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,1,1,75979.14857436379
1,1,Manufacturing,,,00,000,21140,Elkhart-Goshen MSA,000000,,2024,1,1,81914.8074230626
1,1,Manufacturing,,,00,000,21780,Evansville MSA,000000,,2020,1,1,84207.76037207802
1,1,Manufacturing,,,00,000,21780,Evansville MSA,000000,,2021,1,1,85289.68656802182
1,1,Manufacturing,,,00,000,21780,Evansville MSA,000000,,2022,1,1,89491.77398113819
1,1,Manufacturing,,,00,000,21780,Evansville MSA,000000,,2023,1,1,92297.48059779676
1,1,Manufacturing,,,00,000,21780,Evansville MSA,000000,,2024,1,1,96828.52911354072
1,1,Manufacturing,,,00,000,23060,Fort Wayne MSA,000000,,2020,1,1,76267.59520507391
1,1,Manufacturing,,,00,000,23060,Fort Wayne MSA,000000,,2021,1,1,79099.68074187734
1,1,Manufacturing,,,00,000,23060,Fort Wayne MSA,000000,,2022,1,1,82500.18680592586
1,1,Manufacturing,,,00,000,23060,Fort Wayne MSA,000000,,2023,1,1,84156.03073363368
1,1,Manufacturing,,,00,000,23060,Fort Wayne MSA,000000,,2024,1,1,87460.46853963107
1,1,Manufacturing,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2020,1,1,106064.0115854392
1,1,Manufacturing,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2021,1,1,107645.53295494056
1,1,Manufacturing,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2022,1,1,111656.58708162156
1,1,Manufacturing,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2023,1,1,118197.3169972896
1,1,Manufacturing,,,00,000,26900,Indianapolis-Carmel-Greenwood MSA,000000,,2024,1,1,130448.1050878795
1,1,Manufacturing,,,00,000,29020,Kokomo MSA,000000,,2020,1,1,94080.00634319196
1,1,Manufacturing,,,00,000,29020,Kokomo MSA,000000,,2021,1,1,100450.57619808662
