display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,NAICS,naics_title,Year,group_by_sort,wages
0,0,Total Agbiosciences,,,00,000,21140,Elkhart-Goshen MSA,000000,,2020,0.0,57901.45811101078
0,0,Total Agbiosciences,,,00,000,29020,Kokomo MSA,000000,,2022,0.0,75653.56820663382
0,0,Total Agbiosciences,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2021,0.0,80428.48433901135
0,0,Total Agbiosciences,,,00,000,33140,Michigan City-La Porte MSA,000000,,2024,0.0,64902.343296668696
0,0,Total Agbiosciences,,,00,000,34620,Muncie MSA,000000,,2020,0.0,56386.82743569611
0,0,Total Agbiosciences,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2020,0.0,85669.97172833454
0,0,Total Agbiosciences,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2022,0.0,92682.77007569057
0,0,Total Agbiosciences,,,00,000,23060,Fort Wayne MSA,000000,,2021,0.0,59612.36316191913
0,0,Total Agbiosciences,,,00,000,45460,Terre Haute MSA,000000,,2021,0.0,62434.34279359719
0,0,Total Agbiosciences,,,0,000,00000,United States,000000,,2023,0.0,71876.85086604451
0,0,Total Agbiosciences,,,00,000,23060,Fort Wayne MSA,000000,,2020,0.0,57248.562830920404
0,0,Total Agbiosciences,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2023,0.0,78065.09886852546
0,0,Total Agbiosciences,,,0,000,00000,United States,000000,,2022,0.0,69585.86789342962
0,0,Total Agbiosciences,,,00,000,14020,Bloomington MSA,000000,,2021,0.0,54704.9989226987
0,0,Total Agbiosciences,,,00,000,17140,Cincinnati MSA,000000,,2023,0.0,84745.02585975736
0,0,Total Agbiosciences,,,00,000,18020,Columbus MSA,000000,,2023,0.0,72132.05035912934
0,0,Total Agbiosciences,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2022,0.0,74362.22246258454
0,0,Total Agbiosciences,,,0,000,00000,United States,000000,,2024,0.0,74171.07847388773
0,0,Total Agbiosciences,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,0.0,94188.00143309127
0,0,Total Agbiosciences,,,00,000,17140,Cincinnati MSA,000000,,2022,0.0,82017.52407840546
0,0,Total Agbiosciences,,,00,000,17140,Cincinnati MSA,000000,,2024,0.0,85131.93286149365
0,0,Total Agbiosciences,,,00,000,23060,Fort Wayne MSA,000000,,2022,0.0,60817.93414728768
0,0,Total Agbiosciences,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2020,0.0,71885.58313599245
0,0,Total Agbiosciences,,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2021,0.0,70534.57686781211
0,0,Total Agbiosciences,,,00,000,45460,Terre Haute MSA,000000,,2024,0.0,67822.2371396366
0,0,Total Agbiosciences,,,0,000,00000,United States,000000,,2020,0.0,63664.300788121785
0,0,Total Agbiosciences,,,00,000,18020,Columbus MSA,000000,,2022,0.0,66084.32211581012
0,0,Total Agbiosciences,,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,0.0,67836.25071410449
0,0,Total Agbiosciences,,,00,000,21780,Evansville MSA,000000,,2021,0.0,79427.38807547132
0,0,Total Agbiosciences,,,18,000,00000,Indiana,000000,,2023,0.0,72337.00713844514
0,0,Total Agbiosciences,,,00,000,14020,Bloomington MSA,000000,,2023,0.0,60447.514058166846
0,0,Total Agbiosciences,,,00,000,18020,Columbus MSA,000000,,2024,0.0,86277.07489782719
0,0,Total Agbiosciences,,,00,000,29020,Kokomo MSA,000000,,2020,0.0,54589.52534847479
0,0,Total Agbiosciences,,,00,000,43780,South Bend-Mishawaka MSA,000000,,2022,0.0,59647.86977891014
0,0,Total Agbiosciences,,,00,000,45460,Terre Haute MSA,000000,,2022,0.0,65139.3503409908
0,0,Total Agbiosciences,,,18,000,00000,Indiana,000000,,2020,0.0,63575.99358657063
0,0,Total Agbiosciences,,,00,000,14020,Bloomington MSA,000000,,2020,0.0,52313.63416183202
0,0,Total Agbiosciences,,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2024,0.0,96214.23626022003
0,0,Total Agbiosciences,,,00,000,29020,Kokomo MSA,000000,,2023,0.0,75744.73538586029
0,0,Total Agbiosciences,,,00,000,31140,Louisville/Jefferson County MSA,000000,,2020,0.0,79595.9609274012
