display_level,sector,sector_name,subsector,subsector_name,statefips,countyfips,metrofips,geo_area,naics,naics_title,Year,group_by_sort,sort,wages
0,0,Manufacturing & Logistics Total,0,,00,000,21140,Elkhart-Goshen MSA,000000,,2020,0,0,69333.7356379919
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,000000,,2022,0,0,112268.74330170068
0,0,Manufacturing & Logistics Total,0,,00,000,31140,Louisville/Jefferson County MSA,000000,,2021,0,0,82931.08839191192
0,0,Manufacturing & Logistics Total,0,,00,000,33140,Michigan City-La Porte MSA,000000,,2024,0,0,79794.71938970951
0,0,Manufacturing & Logistics Total,0,,00,000,34620,Muncie MSA,000000,,2020,0,0,66072.47900339567
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2020,0,0,94507.02815554645
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2022,0,0,103973.62578367264
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,000000,,2021,0,0,77262.10340146229
0,0,Manufacturing & Logistics Total,0,,00,000,45460,Terre Haute MSA,000000,,2021,0,0,71244.76970925365
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,000000,,2023,0,0,98582.37626071935
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,000000,,2020,0,0,73792.55355080146
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2023,0,0,90470.41664236119
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,000000,,2022,0,0,94658.21235276881
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,000000,,2021,0,0,82713.59304418159
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,000000,,2023,0,0,97714.19651744599
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,000000,,2023,0,0,109258.05564788592
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2022,0,0,84055.49161822002
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,000000,,2024,0,0,102090.9875077715
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2023,0,0,105885.39656828059
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,000000,,2022,0,0,94008.17420671204
0,0,Manufacturing & Logistics Total,0,,00,000,17140,Cincinnati MSA,000000,,2024,0,0,103779.23743261748
0,0,Manufacturing & Logistics Total,0,,00,000,23060,Fort Wayne MSA,000000,,2022,0,0,80984.97891111101
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2020,0,0,78747.68101491375
0,0,Manufacturing & Logistics Total,0,,00,000,29200,Lafayette-West Lafayette MSA,000000,,2021,0,0,76872.63934565651
0,0,Manufacturing & Logistics Total,0,,00,000,45460,Terre Haute MSA,000000,,2024,0,0,81947.9454139501
0,0,Manufacturing & Logistics Total,0,,0,000,00000,United States,000000,,2020,0,0,87072.0086474914
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,000000,,2022,0,0,109168.31592849633
0,0,Manufacturing & Logistics Total,0,,00,000,21140,Elkhart-Goshen MSA,000000,,2023,0,0,76576.20378347309
0,0,Manufacturing & Logistics Total,0,,00,000,21780,Evansville MSA,000000,,2021,0,0,79967.4489776088
0,0,Manufacturing & Logistics Total,0,,18,000,00000,Indiana,000000,,2023,0,0,89405.53335252752
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,000000,,2023,0,0,86031.32016386672
0,0,Manufacturing & Logistics Total,0,,00,000,18020,Columbus MSA,000000,,2024,0,0,123174.43184777898
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,000000,,2020,0,0,90816.39851286361
0,0,Manufacturing & Logistics Total,0,,00,000,43780,South Bend-Mishawaka MSA,000000,,2022,0,0,79332.11297307978
0,0,Manufacturing & Logistics Total,0,,00,000,45460,Terre Haute MSA,000000,,2022,0,0,75631.72819442856
0,0,Manufacturing & Logistics Total,0,,18,000,00000,Indiana,000000,,2020,0,0,78105.83000499473
0,0,Manufacturing & Logistics Total,0,,00,000,14020,Bloomington MSA,000000,,2020,0,0,73683.81973037898
0,0,Manufacturing & Logistics Total,0,,00,000,16980,Chicago-Naperville-Elgin MSA,000000,,2024,0,0,107848.4118169058
0,0,Manufacturing & Logistics Total,0,,00,000,29020,Kokomo MSA,000000,,2023,0,0,123053.90851671106
