sector,sector_name,naics_code,naics_title,lightcast_naics,lightcast_naics_title,group_by,group_by_title,share,naics_version,sort,group_by_sort
1,Manufacturing,311111,Dog and Cat Food Manufacturing,311111,Dog and Cat Food Manufacturing,3111,Animal Food Manufacturing,1.0,2022,,
1,Manufacturing,311119,Other Animal Food Manufacturing,311119,Other Animal Food Manufacturing,3111,Animal Food Manufacturing,1.0,2022,,
1,Manufacturing,311211,Flour Milling,311211,Flour Milling,3112,Grain and Oilseed Milling,1.0,2022,,
1,Manufacturing,311212,Rice Milling,311212,Rice Milling,3112,Grain and Oilseed Milling,1.0,2022,,
1,Manufacturing,311213,Malt Manufacturing,311213,Malt Manufacturing,3112,Grain and Oilseed Milling,1.0,2022,,
1,Manufacturing,311221,Wet Corn Milling and Starch Manufacturing,311221,Wet Corn Milling and Starch Manufacturing,3112,Grain and Oilseed Milling,1.0,2022,,
1,Manufacturing,311224,Soybean and Other Oilseed Processing,311224,Soybean and Other Oilseed Processing,3112,Grain and Oilseed Milling,1.0,2022,,
1,Manufacturing,311225,Fats and Oils Refining and Blending,311225,Fats and Oils Refining and Blending,3112,Grain and Oilseed Milling,1.0,2022,,
1,Manufacturing,311230,Breakfast Cereal Manufacturing,311230,Breakfast Cereal Manufacturing,3112,Grain and Oilseed Milling,1.0,2022,,
1,Manufacturing,311313,Beet Sugar Manufacturing,311313,Beet Sugar Manufacturing,3113,Sugar and Confectionery Product Manufacturing,1.0,2022,,
1,Manufacturing,311314,Cane Sugar Manufacturing,311314,Cane Sugar Manufacturing,3113,Sugar and Confectionery Product Manufacturing,1.0,2022,,
1,Manufacturing,311340,Nonchocolate Confectionery Manufacturing,311340,Nonchocolate Confectionery Manufacturing,3113,Sugar and Confectionery Product Manufacturing,1.0,2022,,
1,Manufacturing,311351,Chocolate and Confectionery Manufacturing from Cacao Beans,311351,Chocolate and Confectionery Manufacturing from Cacao Beans,3113,Sugar and Confectionery Product Manufacturing,1.0,2022,,
1,Manufacturing,311352,Confectionery Manufacturing from Purchased Chocolate,311352,Confectionery Manufacturing from Purchased Chocolate,3113,Sugar and Confectionery Product Manufacturing,1.0,2022,,
1,Manufacturing,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,1.0,2022,,
1,Manufacturing,311412,Frozen Specialty Food Manufacturing,311412,Frozen Specialty Food Manufacturing,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,1.0,2022,,
1,Manufacturing,311421,Fruit and Vegetable Canning,311421,Fruit and Vegetable Canning,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,1.0,2022,,
1,Manufacturing,311422,Specialty Canning,311422,Specialty Canning,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,1.0,2022,,
1,Manufacturing,311423,Dried and Dehydrated Food Manufacturing,311423,Dried and Dehydrated Food Manufacturing,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,1.0,2022,,
1,Manufacturing,311511,Fluid Milk Manufacturing,311511,Fluid Milk Manufacturing,3115,Dairy Product Manufacturing,1.0,2022,,
1,Manufacturing,311512,Creamery Butter Manufacturing,311512,Creamery Butter Manufacturing,3115,Dairy Product Manufacturing,1.0,2022,,
1,Manufacturing,311513,Cheese Manufacturing,311513,Cheese Manufacturing,3115,Dairy Product Manufacturing,1.0,2022,,
1,Manufacturing,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",3115,Dairy Product Manufacturing,1.0,2022,,
1,Manufacturing,311520,Ice Cream and Frozen Dessert Manufacturing,311520,Ice Cream and Frozen Dessert Manufacturing,3115,Dairy Product Manufacturing,1.0,2022,,
1,Manufacturing,311611,Animal (except Poultry) Slaughtering,311611,Animal (except Poultry) Slaughtering,3116,Animal Slaughtering and Processing,1.0,2022,,
1,Manufacturing,311612,Meat Processed from Carcasses,311612,Meat Processed from Carcasses,3116,Animal Slaughtering and Processing,1.0,2022,,
1,Manufacturing,311613,Rendering and Meat Byproduct Processing,311613,Rendering and Meat Byproduct Processing,3116,Animal Slaughtering and Processing,1.0,2022,,
1,Manufacturing,311615,Poultry Processing,311615,Poultry Processing,3116,Animal Slaughtering and Processing,1.0,2022,,
1,Manufacturing,311710,Seafood Product Preparation and Packaging,311710,Seafood Product Preparation and Packaging,3117,Seafood Product Preparation and Packaging,1.0,2022,,
1,Manufacturing,311811,Retail Bakeries,311811,Retail Bakeries,3118,Bakeries and Tortilla Manufacturing,1.0,2022,,
1,Manufacturing,311812,Commercial Bakeries,311812,Commercial Bakeries,3118,Bakeries and Tortilla Manufacturing,1.0,2022,,
1,Manufacturing,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",3118,Bakeries and Tortilla Manufacturing,1.0,2022,,
1,Manufacturing,311821,Cookie and Cracker Manufacturing,311821,Cookie and Cracker Manufacturing,3118,Bakeries and Tortilla Manufacturing,1.0,2022,,
1,Manufacturing,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",3118,Bakeries and Tortilla Manufacturing,1.0,2022,,
1,Manufacturing,311830,Tortilla Manufacturing,311830,Tortilla Manufacturing,3118,Bakeries and Tortilla Manufacturing,1.0,2022,,
1,Manufacturing,311911,Roasted Nuts and Peanut Butter Manufacturing,311911,Roasted Nuts and Peanut Butter Manufacturing,3119,Other Food Manufacturing,1.0,2022,,
1,Manufacturing,311919,Other Snack Food Manufacturing,311919,Other Snack Food Manufacturing,3119,Other Food Manufacturing,1.0,2022,,
1,Manufacturing,311920,Coffee and Tea Manufacturing,311920,Coffee and Tea Manufacturing,3119,Other Food Manufacturing,1.0,2022,,
1,Manufacturing,311930,Flavoring Syrup and Concentrate Manufacturing,311930,Flavoring Syrup and Concentrate Manufacturing,3119,Other Food Manufacturing,1.0,2022,,
1,Manufacturing,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",3119,Other Food Manufacturing,1.0,2022,,
1,Manufacturing,311942,Spice and Extract Manufacturing,311942,Spice and Extract Manufacturing,3119,Other Food Manufacturing,1.0,2022,,
1,Manufacturing,311991,Perishable Prepared Food Manufacturing,311991,Perishable Prepared Food Manufacturing,3119,Other Food Manufacturing,1.0,2022,,
1,Manufacturing,311999,All Other Miscellaneous Food Manufacturing,311999,All Other Miscellaneous Food Manufacturing,3119,Other Food Manufacturing,1.0,2022,,
1,Manufacturing,312111,Soft Drink Manufacturing,312111,Soft Drink Manufacturing,3121,Beverage Manufacturing,1.0,2022,,
1,Manufacturing,312112,Bottled Water Manufacturing,312112,Bottled Water Manufacturing,3121,Beverage Manufacturing,1.0,2022,,
1,Manufacturing,312113,Ice Manufacturing,312113,Ice Manufacturing,3121,Beverage Manufacturing,1.0,2022,,
1,Manufacturing,312120,Breweries,312120,Breweries,3121,Beverage Manufacturing,1.0,2022,,
1,Manufacturing,312130,Wineries,312130,Wineries,3121,Beverage Manufacturing,1.0,2022,,
1,Manufacturing,312140,Distilleries,312140,Distilleries,3121,Beverage Manufacturing,1.0,2022,,
1,Manufacturing,312230,Tobacco Manufacturing,312230,Tobacco Manufacturing,3122,Tobacco Manufacturing,1.0,2022,,
1,Manufacturing,313110,"Fiber, Yarn, and Thread Mills",313110,"Fiber, Yarn, and Thread Mills",3131,"Fiber, Yarn, and Thread Mills",1.0,2022,,
1,Manufacturing,313210,Broadwoven Fabric Mills,313210,Broadwoven Fabric Mills,3132,Fabric Mills,1.0,2022,,
1,Manufacturing,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,3132,Fabric Mills,1.0,2022,,
