sector,sector_name,naics_version,naics_code,naics_title,compTia_reportYear
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,333242,  Semiconductor machinery manufacturing,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,333242,  Semiconductor machinery manufacturing,2021
,,2017,334111,  Electronic computer manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334111,  Electronic computer manufacturing,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334112,  Computer storage device manufacturing,2023
,,2017,334112,  Computer storage device manufacturing,2021
,,2017,334118,  Other computer peripheral equipment mfg,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334118,  Other computer peripheral equipment mfg,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334210,  Telephone apparatus manufacturing,2023
,,2017,334210,  Telephone apparatus manufacturing,2021
,,2017,334220,  Broadcast and wireless communications equip.,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334220,  Broadcast and wireless communications equip.,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334290,  Other communications equipment manufacturing,2023
,,2017,334290,  Other communications equipment manufacturing,2021
,,2017,334310,  Audio and video equipment manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334310,  Audio and video equipment manufacturing,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334412,  Bare printed circuit board manufacturing,2023
,,2017,334412,  Bare printed circuit board manufacturing,2021
,,2017,334413,  Semiconductors and related device mfg.,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334413,  Semiconductors and related device mfg.,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334416,"  Capacitor, resistor, and inductor mfg.",2023
,,2017,334416,"  Capacitor, resistor, and inductor mfg.",2021
,,2017,334417,  Electronic connector manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334417,  Electronic connector manufacturing,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334418,  Printed circuit assembly manufacturing,2023
,,2017,334418,  Printed circuit assembly manufacturing,2021
,,2017,334419,  Other electronic component manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334419,  Other electronic component manufacturing,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334510,  Electromedical apparatus manufacturing,2023
,,2017,334510,  Electromedical apparatus manufacturing,2021
,,2017,334511,"  Search, detection, and navigation instruments",2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334511,"  Search, detection, and navigation instruments",2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334512,  Automatic environmental control manufacturing,2023
,,2017,334512,  Automatic environmental control manufacturing,2021
,,2017,334513,  Industrial process variable instruments,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334513,  Industrial process variable instruments,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334514,  Totalizing fluid meters and counting devices,2023
,,2017,334514,  Totalizing fluid meters and counting devices,2021
,,2017,334515,  Electricity and signal testing instruments,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334515,  Electricity and signal testing instruments,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2017,334516,  Analytical laboratory instrument mfg.,2023
