sector,sector_name,subsector,subsector_name,naics_code,naics_title,naics_version,group_by,group_by_title,level
1,Manufacturing,13.0,x-All Other Manufacturing,312230,Tobacco Manufacturing,2022,3122,Tobacco Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,313110,"Fiber, Yarn, and Thread Mills",2022,3131,"Fiber, Yarn, and Thread Mills",2
1,Manufacturing,13.0,x-All Other Manufacturing,313210,Broadwoven Fabric Mills,2022,3132,Fabric Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,2022,3132,Fabric Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,313230,Nonwoven Fabric Mills,2022,3132,Fabric Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,313240,Knit Fabric Mills,2022,3132,Fabric Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,313310,Textile and Fabric Finishing Mills,2022,3133,Textile and Fabric Finishing and Fabric Coating Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,313320,Fabric Coating Mills,2022,3133,Textile and Fabric Finishing and Fabric Coating Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,314110,Carpet and Rug Mills,2022,3141,Textile Furnishings Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,314120,Curtain and Linen Mills,2022,3141,Textile Furnishings Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,314910,Textile Bag and Canvas Mills,2022,3149,Other Textile Product Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",2022,3149,Other Textile Product Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,314999,All Other Miscellaneous Textile Product Mills,2022,3149,Other Textile Product Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,315120,Apparel Knitting Mills,2022,3151,Apparel Knitting Mills,2
1,Manufacturing,13.0,x-All Other Manufacturing,315210,Cut and Sew Apparel Contractors,2022,3152,Cut and Sew Apparel Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,315250,Cut and Sew Apparel Manufacturing (except Contractors),2022,3152,Cut and Sew Apparel Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,315990,Apparel Accessories and Other Apparel Manufacturing,2022,3159,Apparel Accessories and Other Apparel Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,316110,Leather and Hide Tanning and Finishing,2022,3161,Leather and Hide Tanning and Finishing,2
1,Manufacturing,13.0,x-All Other Manufacturing,316210,Footwear Manufacturing,2022,3162,Footwear Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,316990,Other Leather and Allied Product Manufacturing,2022,3169,Other Leather and Allied Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,321920,Wood Container and Pallet Manufacturing,2022,3219,Other Wood Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,322110,Pulp Mills,2022,3221,"Pulp, Paper, and Paperboard Mills",2
1,Manufacturing,13.0,x-All Other Manufacturing,322120,Paper Mills,2022,3221,"Pulp, Paper, and Paperboard Mills",2
1,Manufacturing,13.0,x-All Other Manufacturing,322130,Paperboard Mills,2022,3221,"Pulp, Paper, and Paperboard Mills",2
1,Manufacturing,13.0,x-All Other Manufacturing,322211,Corrugated and Solid Fiber Box Manufacturing,2022,3222,Converted Paper Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,322212,Folding Paperboard Box Manufacturing,2022,3222,Converted Paper Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,322219,Other Paperboard Container Manufacturing,2022,3222,Converted Paper Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,322220,Paper Bag and Coated and Treated Paper Manufacturing,2022,3222,Converted Paper Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,322230,Stationery Product Manufacturing,2022,3222,Converted Paper Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,322291,Sanitary Paper Product Manufacturing,2022,3222,Converted Paper Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,322299,All Other Converted Paper Product Manufacturing,2022,3222,Converted Paper Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,323111,Commercial Printing (except Screen and Books),2022,3231,Printing and Related Support Activities,2
1,Manufacturing,13.0,x-All Other Manufacturing,323113,Commercial Screen Printing,2022,3231,Printing and Related Support Activities,2
1,Manufacturing,13.0,x-All Other Manufacturing,323117,Books Printing,2022,3231,Printing and Related Support Activities,2
1,Manufacturing,13.0,x-All Other Manufacturing,323120,Support Activities for Printing,2022,3231,Printing and Related Support Activities,2
1,Manufacturing,13.0,x-All Other Manufacturing,324121,Asphalt Paving Mixture and Block Manufacturing,2022,3241,Petroleum and Coal Products Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,324122,Asphalt Shingle and Coating Materials Manufacturing,2022,3241,Petroleum and Coal Products Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,324191,Petroleum Lubricating Oil and Grease Manufacturing,2022,3241,Petroleum and Coal Products Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,325110,Petrochemical Manufacturing,2022,3251,Basic Chemical Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,325120,Industrial Gas Manufacturing,2022,3251,Basic Chemical Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,325180,Other Basic Inorganic Chemical Manufacturing,2022,3251,Basic Chemical Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",2022,3251,Basic Chemical Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,325910,Printing Ink Manufacturing,2022,3259,Other Chemical Product and Preparation Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,325920,Explosives Manufacturing,2022,3259,Other Chemical Product and Preparation Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",2022,3259,Other Chemical Product and Preparation Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2022,3259,Other Chemical Product and Preparation Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",2022,3271,Clay Product and Refractory Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327120,Clay Building Material and Refractories Manufacturing,2022,3271,Clay Product and Refractory Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327211,Flat Glass Manufacturing,2022,3272,Glass and Glass Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327212,Other Pressed and Blown Glass and Glassware Manufacturing,2022,3272,Glass and Glass Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327213,Glass Container Manufacturing,2022,3272,Glass and Glass Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327310,Cement Manufacturing,2022,3273,Cement and Concrete Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327320,Ready-Mix Concrete Manufacturing,2022,3273,Cement and Concrete Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327331,Concrete Block and Brick Manufacturing,2022,3273,Cement and Concrete Product Manufacturing,2
1,Manufacturing,13.0,x-All Other Manufacturing,327332,Concrete Pipe Manufacturing,2022,3273,Cement and Concrete Product Manufacturing,2
