sector,sector_name,naics_code,naics_title,lightcast_naics,lightcast_naics_title,group_by,group_by_title,share,naics_version,sort,group_by_sort
1,    521 - Central Bank,521110,Monetary Authorities–Central Bank,521110,Monetary Authorities–Central Bank,521,Monetary Authorities–Central Bank,1.0,2022,,
2,    522 - Credit Intermediation,522110,Commercial Banking,522110,Commercial Banking,522,Credit Intermediation and Related Activities,1.0,2022,,
2,    522 - Credit Intermediation,522130,Credit Unions,522130,Credit Unions,522,Credit Intermediation and Related Activities,1.0,2022,,
2,    522 - Credit Intermediation,522180,Savings Institutions and Other Depository Credit Intermediation,522180,Savings Institutions and Other Depository Credit Intermediation,522,Credit Intermediation and Related Activities,1.0,2022,,
2,    522 - Credit Intermediation,522210,Credit Card Issuing,522210,Credit Card Issuing,522,Credit Intermediation and Related Activities,1.0,2022,,
2,    522 - Credit Intermediation,522220,Sales Financing,522220,Sales Financing,522,Credit Intermediation and Related Activities,1.0,2022,,
2,    522 - Credit Intermediation,522291,Consumer Lending,522291,Consumer Lending,522,Credit Intermediation and Related Activities,1.0,2022,,
2,    522 - Credit Intermediation,522292,Real Estate Credit,522292,Real Estate Credit,522,Credit Intermediation and Related Activities,1.0,2022,,
2,    522 - Credit Intermediation,522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation",522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation",522,Credit Intermediation and Related Activities,1.0,2022,,
2,    522 - Credit Intermediation,522310,Mortgage and Nonmortgage Loan Brokers,522310,Mortgage and Nonmortgage Loan Brokers,522,Credit Intermediation and Related Activities,1.0,2022,,
2,    522 - Credit Intermediation,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",522,Credit Intermediation and Related Activities,1.0,2022,,
2,    522 - Credit Intermediation,522390,Other Activities Related to Credit Intermediation,522390,Other Activities Related to Credit Intermediation,522,Credit Intermediation and Related Activities,1.0,2022,,
3,    523 - Securities and Investments,523150,Investment Banking and Securities Intermediation,523150,Investment Banking and Securities Intermediation,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",1.0,2022,,
3,    523 - Securities and Investments,523160,Commodity Contracts Intermediation,523160,Commodity Contracts Intermediation,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",1.0,2022,,
3,    523 - Securities and Investments,523210,Securities and Commodity Exchanges,523210,Securities and Commodity Exchanges,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",1.0,2022,,
3,    523 - Securities and Investments,523910,Miscellaneous Intermediation,523910,Miscellaneous Intermediation,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",1.0,2022,,
3,    523 - Securities and Investments,523940,Portfolio Management and Investment Advice,523940,Portfolio Management and Investment Advice,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",1.0,2022,,
3,    523 - Securities and Investments,523991,"Trust, Fiduciary, and Custody Activities",523991,"Trust, Fiduciary, and Custody Activities",523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",1.0,2022,,
3,    523 - Securities and Investments,523999,Miscellaneous Financial Investment Activities,523999,Miscellaneous Financial Investment Activities,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",1.0,2022,,
4,    524 - Insurance,524113,Direct Life Insurance Carriers,524113,Direct Life Insurance Carriers,524,Insurance Carriers and Related Activities,1.0,2022,,
4,    524 - Insurance,524114,Direct Health and Medical Insurance Carriers,524114,Direct Health and Medical Insurance Carriers,524,Insurance Carriers and Related Activities,1.0,2022,,
4,    524 - Insurance,524126,Direct Property and Casualty Insurance Carriers,524126,Direct Property and Casualty Insurance Carriers,524,Insurance Carriers and Related Activities,1.0,2022,,
4,    524 - Insurance,524127,Direct Title Insurance Carriers,524127,Direct Title Insurance Carriers,524,Insurance Carriers and Related Activities,1.0,2022,,
4,    524 - Insurance,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",524,Insurance Carriers and Related Activities,1.0,2022,,
4,    524 - Insurance,524130,Reinsurance Carriers,524130,Reinsurance Carriers,524,Insurance Carriers and Related Activities,1.0,2022,,
4,    524 - Insurance,524210,Insurance Agencies and Brokerages,524210,Insurance Agencies and Brokerages,524,Insurance Carriers and Related Activities,1.0,2022,,
4,    524 - Insurance,524291,Claims Adjusting,524291,Claims Adjusting,524,Insurance Carriers and Related Activities,1.0,2022,,
4,    524 - Insurance,524292,Third-Party Administration of Insurance and Pension Funds,524292,Third-Party Administration of Insurance and Pension Funds,524,Insurance Carriers and Related Activities,1.0,2022,,
4,    524 - Insurance,524298,All Other Insurance Related Activities,524298,All Other Insurance Related Activities,524,Insurance Carriers and Related Activities,1.0,2022,,
5,    525 - Funds and Trusts,525110,Pension Funds,525110,Pension Funds,525,"Funds, Trusts, and Other Financial Vehicles",1.0,2022,,
5,    525 - Funds and Trusts,525120,Health and Welfare Funds,525120,Health and Welfare Funds,525,"Funds, Trusts, and Other Financial Vehicles",1.0,2022,,
5,    525 - Funds and Trusts,525190,Other Insurance Funds,525190,Other Insurance Funds,525,"Funds, Trusts, and Other Financial Vehicles",1.0,2022,,
5,    525 - Funds and Trusts,525910,Open-End Investment Funds,525910,Open-End Investment Funds,525,"Funds, Trusts, and Other Financial Vehicles",1.0,2022,,
5,    525 - Funds and Trusts,525920,"Trusts, Estates, and Agency Accounts",525920,"Trusts, Estates, and Agency Accounts",525,"Funds, Trusts, and Other Financial Vehicles",1.0,2022,,
5,    525 - Funds and Trusts,525930,Real Estate Investment Trusts (REITs),525930,Real Estate Investment Trusts (REITs),525,"Funds, Trusts, and Other Financial Vehicles",1.0,2022,,
5,    525 - Funds and Trusts,525990,Other Financial Vehicles,525990,Other Financial Vehicles,525,"Funds, Trusts, and Other Financial Vehicles",1.0,2022,,
