sector,sector_name,naics_code,naics_title,lightcast_naics,lightcast_naics_title,group_by,group_by_title,share,naics_version,sort,group_by_sort
1,    621 - Ambulatory Care,621111,Offices of Physicians (except Mental Health Specialists),621111,Offices of Physicians (except Mental Health Specialists),621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621112,"Offices of Physicians, Mental Health Specialists",621112,"Offices of Physicians, Mental Health Specialists",621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621210,Offices of Dentists,621210,Offices of Dentists,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621310,Offices of Chiropractors,621310,Offices of Chiropractors,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621320,Offices of Optometrists,621320,Offices of Optometrists,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621330,Offices of Mental Health Practitioners (except Physicians),621330,Offices of Mental Health Practitioners (except Physicians),621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621391,Offices of Podiatrists,621391,Offices of Podiatrists,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621399,Offices of All Other Miscellaneous Health Practitioners,621399,Offices of All Other Miscellaneous Health Practitioners,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621410,Family Planning Centers,621410,Family Planning Centers,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621420,Outpatient Mental Health and Substance Abuse Centers,621420,Outpatient Mental Health and Substance Abuse Centers,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621491,HMO Medical Centers,621491,HMO Medical Centers,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621492,Kidney Dialysis Centers,621492,Kidney Dialysis Centers,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621493,Freestanding Ambulatory Surgical and Emergency Centers,621493,Freestanding Ambulatory Surgical and Emergency Centers,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621498,All Other Outpatient Care Centers,621498,All Other Outpatient Care Centers,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621511,Medical Laboratories,621511,Medical Laboratories,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621512,Diagnostic Imaging Centers,621512,Diagnostic Imaging Centers,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621610,Home Health Care Services,621610,Home Health Care Services,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621910,Ambulance Services,621910,Ambulance Services,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621991,Blood and Organ Banks,621991,Blood and Organ Banks,621,Ambulatory Health Care Services,1.0,2022,,
1,    621 - Ambulatory Care,621999,All Other Miscellaneous Ambulatory Health Care Services,621999,All Other Miscellaneous Ambulatory Health Care Services,621,Ambulatory Health Care Services,1.0,2022,,
2,    622 - Hospitals,622110,General Medical and Surgical Hospitals,622110,General Medical and Surgical Hospitals,622,Hospitals,1.0,2022,,
2,    622 - Hospitals,622210,Psychiatric and Substance Abuse Hospitals,622210,Psychiatric and Substance Abuse Hospitals,622,Hospitals,1.0,2022,,
2,    622 - Hospitals,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,622,Hospitals,1.0,2022,,
3,    623 - Nursing and Residential Care,623110,Nursing Care Facilities (Skilled Nursing Facilities),623110,Nursing Care Facilities (Skilled Nursing Facilities),623,Nursing and Residential Care Facilities,1.0,2022,,
3,    623 - Nursing and Residential Care,623210,Residential Intellectual and Developmental Disability Facilities,623210,Residential Intellectual and Developmental Disability Facilities,623,Nursing and Residential Care Facilities,1.0,2022,,
3,    623 - Nursing and Residential Care,623220,Residential Mental Health and Substance Abuse Facilities,623220,Residential Mental Health and Substance Abuse Facilities,623,Nursing and Residential Care Facilities,1.0,2022,,
3,    623 - Nursing and Residential Care,623310,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,623310,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,623,Nursing and Residential Care Facilities,1.0,2022,,
3,    623 - Nursing and Residential Care,623990,Other Residential Care Facilities,623990,Other Residential Care Facilities,623,Nursing and Residential Care Facilities,1.0,2022,,
