statefips,countyfips,place,year,age,attainment_rate
23,000,Maine,2024,25-64,49.252900
06,000,California,2017,25-64,42.067100
44,000,Rhode Island,2010,25-64,41.218800
31,000,Nebraska,2010,25-64,41.990800
30,000,Montana,2013,25-64,39.036800
21,000,Kentucky,2022,25-64,39.460800
26,000,Michigan,2010,25-64,36.379500
06,000,California,2022,25-64,45.615900
08,000,Colorado,2017,25-64,50.527300
33,000,New Hampshire,2021,25-64,51.628100
41,000,Oregon,2017,25-64,43.898000
49,000,Utah,2023,25-64,49.333700
17,000,Illinois,2021,25-64,48.327600
48,000,Texas,2015,25-64,36.444400
37,000,North Carolina,2012,25-64,38.441200
44,000,Rhode Island,2011,25-64,43.159800
30,000,Montana,2011,25-64,39.164300
26,000,Michigan,2015,25-64,39.427800
27,000,Minnesota,2017,25-64,50.833500
16,000,Idaho,2014,25-64,35.710500
39,000,Ohio,2010,25-64,35.789200
13,000,Georgia,2022,25-64,45.549500
30,000,Montana,2014,25-64,39.619900
50,000,Vermont,2010,25-64,44.080900
27,000,Minnesota,2010,25-64,45.786900
37,000,North Carolina,2023,25-64,49.098800
45,000,South Carolina,2013,25-64,36.784300
40,000,Oklahoma,2024,25-64,38.599900
38,000,North Dakota,2023,25-64,51.860200
20,000,Kansas,2012,25-64,41.333800
38,000,North Dakota,2019,25-64,48.673600
09,000,Connecticut,2014,25-64,48.212500
54,000,West Virginia,2019,25-64,31.662000
11,000,District of Columbia,2013,25-64,61.233600
35,000,New Mexico,2024,25-64,39.588300
54,000,West Virginia,2021,25-64,34.617900
42,000,Pennsylvania,2014,25-64,40.788300
15,000,Hawaii,2013,25-64,44.259600
21,000,Kentucky,2012,25-64,31.688000
45,000,South Carolina,2012,25-64,36.052800
24,000,Maryland,2024,25-64,53.182600
19,000,Iowa,2010,25-64,39.683400
05,000,Arkansas,2023,25-64,36.798100
25,000,Massachusetts,2015,25-64,52.198400
35,000,New Mexico,2022,25-64,39.960600
30,000,Montana,2015,25-64,40.888000
21,000,Kentucky,2011,25-64,30.769100
06,000,California,2014,25-64,40.212200
53,000,Washington,2024,25-64,52.855800
02,000,Alaska,2021,25-64,41.194300
48,000,Texas,2023,25-64,43.674700
15,000,Hawaii,2010,25-64,41.622400
56,000,Wyoming,2022,25-64,44.121800
54,000,West Virginia,2018,25-64,31.103200
37,000,North Carolina,2014,25-64,40.282500
37,000,North Carolina,2015,25-64,40.940200
49,000,Utah,2012,25-64,41.411200
04,000,Arizona,2014,25-64,36.790800
34,000,New Jersey,2016,25-64,48.166700
44,000,Rhode Island,2023,25-64,48.566400
53,000,Washington,2010,25-64,42.502900
47,000,Tennessee,2013,25-64,33.845200
33,000,New Hampshire,2017,25-64,49.219000
50,000,Vermont,2019,25-64,48.707500
40,000,Oklahoma,2016,25-64,34.752600
02,000,Alaska,2023,25-64,40.699500
02,000,Alaska,2011,25-64,34.419500
28,000,Mississippi,2017,25-64,33.924200
24,000,Maryland,2012,25-64,45.539100
13,000,Georgia,2011,25-64,36.366200
16,000,Idaho,2024,25-64,44.730100
44,000,Rhode Island,2022,25-64,50.043100
12,000,Florida,2010,25-64,36.495300
