year,statefips,metrofips,geo_area,cicp_initiative,females,males
2023,00,21140,Elkhart-Goshen MSA,AgriNovus,4215.125319857572,6471.664437019401
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,45090.69203841993,49841.24121487387
2024,00,21140,Elkhart-Goshen MSA,BioCrossroads,673.6987551636743,740.9645033354559
2021,00,34620,Muncie MSA,Conexus,4596.39898018054,18207.120667029674
2024,00,21140,Elkhart-Goshen MSA,Conexus,87147.94477090405,197194.1901843966
2021,00,16980,Chicago-Naperville-Elgin MSA,Finance,376177.0916562537,328589.27822454815
2020,00,43780,South Bend-Mishawaka MSA,Finance,8419.451297605121,4101.367399072752
2020,00,29200,Lafayette-West Lafayette MSA,Finance,4091.4088055707684,2029.009891737423
2021,00,29020,Kokomo MSA,Healthcare,9469.750841322431,1794.683663496951
2020,00,43780,South Bend-Mishawaka MSA,Healthcare,40061.927740811945,8826.23832607169
2020,00,29200,Lafayette-West Lafayette MSA,Healthcare,25069.70868131812,5307.465481590752
2024,00,45460,Terre Haute MSA,Advanced and Traded Industries,14605.199627630329,35060.14097587433
2022,00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,28112.53954145913,64671.42947906689
2021,00,33140,Michigan City-La Porte MSA,BioCrossroads,516.1923652724853,344.5642571778584
2023,00,16980,Chicago-Naperville-Elgin MSA,Conexus,1098186.1464043448,2222203.404635619
2021,18,00000,Indiana,TechPoint,68348.6907732351,130879.22166738691
2024,00,21780,Evansville MSA,Finance,7517.476124153968,4303.557215356137
2022,18,00000,Indiana,Finance,215371.2854206391,120072.8963794439
2022,00,21780,Evansville MSA,Healthcare,48297.89236708218,10167.837398136753
2023,00,16980,Chicago-Naperville-Elgin MSA,Healthcare,1064286.073289643,307131.0522569821
2020,18,00000,Indiana,AgriNovus,117719.86107448803,264972.9023911092
2022,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,2555.9104257741114,4372.152910913577
2024,00,21780,Evansville MSA,Conexus,32000.162693808445,85026.2687000116
2024,00,29020,Kokomo MSA,Conexus,10752.872714604046,32364.56709364684
2022,00,43780,South Bend-Mishawaka MSA,TechPoint,3598.4221774727653,4871.910130948377
2021,0,00000,United States,TechPoint,5927000.101910158,11374658.442777272
2020,00,14020,Bloomington MSA,Finance,3540.264073140149,2052.805663588572
2022,00,23060,Fort Wayne MSA,Healthcare,77706.90292831621,17733.72921455859
2022,00,18020,Columbus MSA,Healthcare,8161.799295302653,1452.1696258169402
2024,00,18020,Columbus MSA,Healthcare,9122.356310035071,1657.2605832936301
2021,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,83674.8865172414,180845.01815260874
2021,18,00000,Indiana,Advanced and Traded Industries,1121585.1308735628,2046723.1393341494
2023,00,34620,Muncie MSA,AgriNovus,627.4495377500177,1699.0110675425933
2023,00,21780,Evansville MSA,BioCrossroads,1845.4366876516362,3587.373042352149
2022,00,34620,Muncie MSA,BioCrossroads,162.3009956605752,131.83987304321954
2024,00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,306683.06383041467,613012.8659548854
2022,00,23060,Fort Wayne MSA,Conexus,66949.43126761388,166844.18461788355
2021,00,23060,Fort Wayne MSA,TechPoint,5864.933488603719,11738.327109039365
2024,00,33140,Michigan City-La Porte MSA,TechPoint,626.3307184714051,695.7431875098121
2023,00,23060,Fort Wayne MSA,TechPoint,6132.671254498308,11112.753596675733
2022,00,29200,Lafayette-West Lafayette MSA,TechPoint,1355.255610544014,2920.5440904092934
2022,00,31140,Louisville/Jefferson County MSA,Healthcare,179383.6215157902,43487.31602006679
2020,00,17140,Cincinnati MSA,Advanced and Traded Industries,402728.5022155036,659072.846353318
2020,00,45460,Terre Haute MSA,AgriNovus,1313.9029154912078,4426.5603814870865
2023,18,00000,Indiana,Conexus,1021174.5163471287,2344839.702438928
2024,00,16980,Chicago-Naperville-Elgin MSA,Conexus,1104398.227945494,2223676.1556966007
2023,00,17140,Cincinnati MSA,Healthcare,307180.4587016476,78016.17515851259
2024,00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,39309.02442198156,67710.05213084584
2023,00,29200,Lafayette-West Lafayette MSA,AgriNovus,6793.627646912564,15143.948397175429
2021,00,14020,Bloomington MSA,AgriNovus,1565.9015145262283,3260.5933899730103
2020,00,31140,Louisville/Jefferson County MSA,AgriNovus,22668.052348088462,50117.28965426551
2024,0,00000,United States,BioCrossroads,3453570.482620987,4127726.6968903877
2020,18,00000,Indiana,BioCrossroads,83124.1953008423,103358.29416579362
2023,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,108262.02125240557,119420.42980670546
2023,00,45460,Terre Haute MSA,Conexus,12223.268273898806,42303.0326782299
2021,00,29020,Kokomo MSA,TechPoint,183.682247956905,459.7524461959199
2020,00,21140,Elkhart-Goshen MSA,TechPoint,1385.32203157515,1590.7220179282053
2020,00,29200,Lafayette-West Lafayette MSA,TechPoint,988.361662376322,2256.6410499620133
2022,00,33140,Michigan City-La Porte MSA,TechPoint,818.2119625865399,821.3865094768651
2023,00,45460,Terre Haute MSA,Finance,3405.6615141029965,1466.1232714867588
2023,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,2599.74300085467,4947.05020031558
2024,00,43780,South Bend-Mishawaka MSA,BioCrossroads,2032.9148196433414,2540.317510224764
2021,00,21780,Evansville MSA,BioCrossroads,1575.7633901524744,2960.631721838658
2021,00,45460,Terre Haute MSA,TechPoint,454.76759791184696,1147.2118901594881
2021,00,34620,Muncie MSA,Finance,3022.949569504032,1544.85180394701
2024,00,18020,Columbus MSA,Finance,2291.9414656444287,1048.505787989397
2023,00,45460,Terre Haute MSA,Healthcare,20711.611239571288,4694.2131547197
2020,00,31140,Louisville/Jefferson County MSA,Healthcare,169449.78668380287,40762.2946770592
2022,00,21780,Evansville MSA,Advanced and Traded Industries,42539.3753526352,79673.49904407313
2022,00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,41999.908413621226,68600.93100268175
2020,00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,24822.406551872842,60384.630606171864
2023,00,33140,Michigan City-La Porte MSA,AgriNovus,3482.810888014204,6039.934380692347
