statefips,metrofips,geo_area,cicp_initiative,sector,Year,jobs,wages
00,17140,Cincinnati MSA,AgriNovus,Total,2023,32259.945950496458,84745.02585975736
00,34620,Muncie MSA,AgriNovus,Total,2023,581.6151513232238,65002.335506306874
00,29200,Lafayette-West Lafayette MSA,AgriNovus,Total,2019,5265.148429367561,
0,00000,United States,Advanced and Traded Industries,Total,2020,39451271.809271194,107511.84360154471
00,23060,Fort Wayne MSA,Finance,Total,2020,9861.294465668945,92590.50765134345
00,14020,Bloomington MSA,Finance,Total,2022,1673.4008105233997,80111.32735055483
00,43780,South Bend-Mishawaka MSA,Finance,Total,2019,4287.275906365707,
00,18020,Columbus MSA,Healthcare,Total,2023,3359.310063890065,80008.00847186749
18,00000,Indiana,Healthcare,Total,2020,332532.1868819489,73465.5033014445
00,14020,Bloomington MSA,BioCrossroads,Total,2023,9592.277306361082,94378.2068546865
00,29020,Kokomo MSA,Conexus,Total,2023,10938.30882680987,123053.90851671106
00,31140,Louisville/Jefferson County MSA,TechPoint,Total,2020,17285.263220423934,97946.44955461952
00,16980,Chicago-Naperville-Elgin MSA,Finance,Total,2023,235903.57278389065,194664.96464542078
00,34620,Muncie MSA,Finance,Total,2021,1522.6004578175034,81111.4318253271
00,16980,Chicago-Naperville-Elgin MSA,Healthcare,Total,2021,435255.51519400196,81518.32074992085
00,33140,Michigan City-La Porte MSA,Healthcare,Total,2023,4476.07766329404,78492.87352212289
00,21780,Evansville MSA,Healthcare,Total,2019,20013.380655896857,
00,21140,Elkhart-Goshen MSA,AgriNovus,Total,2023,2671.6974392162924,67836.25071410449
0,00000,United States,Advanced and Traded Industries,Total,2023,43157542.80497236,121472.8507464102
18,00000,Indiana,Advanced and Traded Industries,Total,2020,1015750.0794330379,82693.00522057613
18,00000,Indiana,Finance,Total,2023,112597.24818840738,104738.16209333374
00,21140,Elkhart-Goshen MSA,Finance,Total,2022,1804.516659101175,91988.91824005051
00,16980,Chicago-Naperville-Elgin MSA,Healthcare,Total,2020,432438.92215271096,80067.87563729999
00,45460,Terre Haute MSA,BioCrossroads,Total,2022,601.5589982782766,104887.056743026
00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,Total,2019,25742.512295670378,
00,34620,Muncie MSA,Conexus,Total,2020,5648.163913549812,66072.47900339567
00,33140,Michigan City-La Porte MSA,TechPoint,Total,2022,546.5328240221651,76720.0283283708
00,43780,South Bend-Mishawaka MSA,TechPoint,Total,2019,2219.9454794693534,
00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,Total,2020,316699.8278435239,92980.5868994789
0,00000,United States,Advanced and Traded Industries,Total,2019,40240490.866856225,
00,21140,Elkhart-Goshen MSA,Healthcare,Total,2022,8516.94803278384,79412.32968908499
18,00000,Indiana,BioCrossroads,Total,2022,68581.20928629042,138741.08297999008
00,16980,Chicago-Naperville-Elgin MSA,Conexus,Total,2022,819302.319623635,103973.62578367264
00,34620,Muncie MSA,Conexus,Total,2022,5897.781602682927,72539.87364095003
00,17140,Cincinnati MSA,Finance,Total,2022,53975.566218162174,120459.859883212
0,00000,United States,Finance,Total,2019,6451922.27350324,
00,45460,Terre Haute MSA,Healthcare,Total,2022,8444.40778679004,76494.00978040166
00,14020,Bloomington MSA,Healthcare,Total,2022,7764.442376266761,82972.96907519182
0,00000,United States,AgriNovus,Total,2022,5156949.013644763,69585.86789342962
00,34620,Muncie MSA,BioCrossroads,Total,2019,79.84936722480248,
00,23060,Fort Wayne MSA,TechPoint,Total,2020,5705.28960684137,98432.8956502502
00,21780,Evansville MSA,TechPoint,Total,2022,2035.1652765963797,106382.1716320483
00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,Total,2021,29507.748048499798,78940.00653366161
00,21780,Evansville MSA,Advanced and Traded Industries,Total,2021,39076.200188074756,86182.83937879994
00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,Total,2023,355562.0793275878,104861.45961123584
00,17140,Cincinnati MSA,Healthcare,Total,2022,124449.91148598523,85732.16649473316
00,17140,Cincinnati MSA,BioCrossroads,Total,2023,14571.003441958668,131231.0475599094
00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,Total,2019,73343.81758759062,
00,23060,Fort Wayne MSA,Advanced and Traded Industries,Total,2020,69029.72812688921,78180.73157170913
00,18020,Columbus MSA,Advanced and Traded Industries,Total,2021,23937.331766075713,101387.78661813261
0,00000,United States,Advanced and Traded Industries,Total,2021,40675160.94022871,114404.08957963012
00,29020,Kokomo MSA,Healthcare,Total,2020,3913.635209717441,68112.02652526798
00,31140,Louisville/Jefferson County MSA,BioCrossroads,Total,2023,6172.991271532881,136268.2185939645
00,21780,Evansville MSA,BioCrossroads,Total,2019,1413.1921057232062,
00,29200,Lafayette-West Lafayette MSA,Conexus,Total,2021,24838.05583257371,76872.63934565651
00,21140,Elkhart-Goshen MSA,Conexus,Total,2019,75123.99527131353,
00,31140,Louisville/Jefferson County MSA,Finance,Total,2021,41262.02656513741,111503.84454330546
18,00000,Indiana,Finance,Total,2022,111814.72726671977,101626.28057174997
00,29200,Lafayette-West Lafayette MSA,AgriNovus,Total,2020,5408.515939862951,71885.58313599245
00,33140,Michigan City-La Porte MSA,AgriNovus,Total,2022,2412.2372759249565,61001.678086747255
00,43780,South Bend-Mishawaka MSA,BioCrossroads,Total,2021,1631.7360030206921,100313.33354187052
00,21780,Evansville MSA,Conexus,Total,2019,29089.658698659983,
00,45460,Terre Haute MSA,Conexus,Total,2019,13052.87765685433,
00,21140,Elkhart-Goshen MSA,TechPoint,Total,2020,992.0146831674051,68708.63459773196
00,18020,Columbus MSA,TechPoint,Total,2019,810.8483814181604,
00,21140,Elkhart-Goshen MSA,TechPoint,Total,2019,1086.4059904285746,
00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,Total,2020,28402.34571936696,79628.23037964803
00,29020,Kokomo MSA,Advanced and Traded Industries,Total,2021,12801.308764447405,94690.96287115235
00,14020,Bloomington MSA,Finance,Total,2020,1864.3565789105821,73256.67290353788
00,29020,Kokomo MSA,Finance,Total,2023,889.587588466292,84410.55202914777
00,43780,South Bend-Mishawaka MSA,Finance,Total,2023,4175.3016770900085,102352.49635672811
00,18020,Columbus MSA,Healthcare,Total,2020,3068.3107699850484,70357.84586984801
00,14020,Bloomington MSA,BioCrossroads,Total,2022,10517.125212330819,89718.82248437247
00,21140,Elkhart-Goshen MSA,BioCrossroads,Total,2021,558.2212204056809,84449.93649986268
00,45460,Terre Haute MSA,Conexus,Total,2021,12429.988611298617,71244.76970925365
00,43780,South Bend-Mishawaka MSA,Conexus,Total,2022,25364.771665584834,79332.11297307978
00,34620,Muncie MSA,Conexus,Total,2023,6131.157293303241,75683.88611313251
0,00000,United States,TechPoint,Total,2023,6159062.724439629,184616.6575252796
00,14020,Bloomington MSA,TechPoint,Total,2022,1046.5447843626682,103608.83563001714
00,29020,Kokomo MSA,TechPoint,Total,2019,202.554440398023,
00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,Total,2023,35669.5313942435,86663.6025535009
00,21780,Evansville MSA,Healthcare,Total,2021,19640.569216189062,77318.63770961772
