year,statefips,metrofips,geo_area,cicp_initiative,occ,occ_title,jobs
2019,0,00000,United States,Advanced and Traded Industries,11-3021,Computer and Information Systems Managers,598535.2014327738
2019,0,00000,United States,Advanced and Traded Industries,11-9041,Architectural and Engineering Managers,318751.8606175133
2019,0,00000,United States,Advanced and Traded Industries,11-9121,Natural Sciences Managers,90629.8061234602
2019,0,00000,United States,Advanced and Traded Industries,15-1211,Computer Systems Analysts,852669.7715707569
2019,0,00000,United States,Advanced and Traded Industries,15-1212,Information Security Analysts,193057.21804470068
2019,0,00000,United States,Advanced and Traded Industries,15-1221,Computer and Information Research Scientists,34424.711333469364
2019,0,00000,United States,Advanced and Traded Industries,15-1231,Computer Network Support Specialists,194231.881659786
2019,0,00000,United States,Advanced and Traded Industries,15-1232,Computer User Support Specialists,720476.5473967635
2019,0,00000,United States,Advanced and Traded Industries,15-1241,Computer Network Architects,205009.45237591947
2019,0,00000,United States,Advanced and Traded Industries,15-1242,Database Administrators,83847.94588231816
2019,0,00000,United States,Advanced and Traded Industries,15-1243,Database Architects,65852.87261327727
2019,0,00000,United States,Advanced and Traded Industries,15-1244,Network and Computer Systems Administrators,419459.7945287535
2019,0,00000,United States,Advanced and Traded Industries,15-1251,Computer Programmers,287718.40721117496
2019,0,00000,United States,Advanced and Traded Industries,15-1252,Software Developers,1908496.9112593278
2019,0,00000,United States,Advanced and Traded Industries,15-1253,Software Quality Assurance Analysts and Testers,254710.93535900227
2019,0,00000,United States,Advanced and Traded Industries,15-1254,Web Developers,88126.90249121127
2019,0,00000,United States,Advanced and Traded Industries,15-1255,Web and Digital Interface Designers,77619.53787855108
2019,0,00000,United States,Advanced and Traded Industries,15-1299,"Computer Occupations, All Other",435809.53002818103
2019,0,00000,United States,Advanced and Traded Industries,15-2011,Actuaries,52918.73498545009
2019,0,00000,United States,Advanced and Traded Industries,15-2021,Mathematicians,1832.4184802239622
2019,0,00000,United States,Advanced and Traded Industries,15-2031,Operations Research Analysts,144239.6408972683
2019,0,00000,United States,Advanced and Traded Industries,15-2041,Statisticians,44619.91905210735
2019,0,00000,United States,Advanced and Traded Industries,15-2051,Data Scientists,128523.7481125191
2019,0,00000,United States,Advanced and Traded Industries,15-2099,"Mathematical Science Occupations, All Other",653.512354351384
2019,0,00000,United States,Advanced and Traded Industries,17-1011,"Architects, Except Landscape and Naval",193088.31863779994
2019,0,00000,United States,Advanced and Traded Industries,17-1012,Landscape Architects,27739.1067400328
2019,0,00000,United States,Advanced and Traded Industries,17-1021,Cartographers and Photogrammetrists,8818.92112819598
2019,0,00000,United States,Advanced and Traded Industries,17-1022,Surveyors,70223.23816903337
2019,0,00000,United States,Advanced and Traded Industries,17-2011,Aerospace Engineers,104218.19603370751
2019,0,00000,United States,Advanced and Traded Industries,17-2021,Agricultural Engineers,1358.8922499869702
2019,0,00000,United States,Advanced and Traded Industries,17-2031,Bioengineers and Biomedical Engineers,32428.53729899135
2019,0,00000,United States,Advanced and Traded Industries,17-2041,Chemical Engineers,55551.8385795358
2019,0,00000,United States,Advanced and Traded Industries,17-2051,Civil Engineers,374800.8392821641
2019,0,00000,United States,Advanced and Traded Industries,17-2061,Computer Hardware Engineers,120147.44046565836
2019,0,00000,United States,Advanced and Traded Industries,17-2071,Electrical Engineers,286437.8844269003
2019,0,00000,United States,Advanced and Traded Industries,17-2072,"Electronics Engineers, Except Computer",167345.21350302023
2019,0,00000,United States,Advanced and Traded Industries,17-2081,Environmental Engineers,66674.92538389414
2019,0,00000,United States,Advanced and Traded Industries,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",28814.748873202603
2019,0,00000,United States,Advanced and Traded Industries,17-2112,Industrial Engineers,550638.328621134
2019,0,00000,United States,Advanced and Traded Industries,17-2121,Marine Engineers and Naval Architects,20684.954071136537
2019,0,00000,United States,Advanced and Traded Industries,17-2131,Materials Engineers,47474.507570046044
2019,0,00000,United States,Advanced and Traded Industries,17-2141,Mechanical Engineers,538136.1391275777
2019,0,00000,United States,Advanced and Traded Industries,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",6009.434498718602
2019,0,00000,United States,Advanced and Traded Industries,17-2161,Nuclear Engineers,11353.880162393461
2019,0,00000,United States,Advanced and Traded Industries,17-2171,Petroleum Engineers,34727.09818446978
2019,0,00000,United States,Advanced and Traded Industries,17-2199,"Engineers, All Other",200235.1805819496
2019,0,00000,United States,Advanced and Traded Industries,17-3011,Architectural and Civil Drafters,167644.4598731854
2019,0,00000,United States,Advanced and Traded Industries,17-3012,Electrical and Electronics Drafters,32328.746210152814
2019,0,00000,United States,Advanced and Traded Industries,17-3013,Mechanical Drafters,93174.68658149957
2019,0,00000,United States,Advanced and Traded Industries,17-3019,"Drafters, All Other",20762.183479794112
2019,0,00000,United States,Advanced and Traded Industries,17-3021,Aerospace Engineering and Operations Technologists and Technicians,22758.74826922052
2019,0,00000,United States,Advanced and Traded Industries,17-3022,Civil Engineering Technologists and Technicians,70429.87063032224
2019,0,00000,United States,Advanced and Traded Industries,17-3023,Electrical and Electronic Engineering Technologists and Technicians,174196.20079231143
2019,0,00000,United States,Advanced and Traded Industries,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,24659.490856371565
2019,0,00000,United States,Advanced and Traded Industries,17-3025,Environmental Engineering Technologists and Technicians,23812.731847038576
2019,0,00000,United States,Advanced and Traded Industries,17-3026,Industrial Engineering Technologists and Technicians,125383.12759258927
2019,0,00000,United States,Advanced and Traded Industries,17-3027,Mechanical Engineering Technologists and Technicians,76838.69715847632
2019,0,00000,United States,Advanced and Traded Industries,17-3028,Calibration Technologists and Technicians,15665.376049902208
2019,0,00000,United States,Advanced and Traded Industries,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",99631.20202249935
2019,0,00000,United States,Advanced and Traded Industries,17-3031,Surveying and Mapping Technicians,75724.03763901006
2019,0,00000,United States,Advanced and Traded Industries,19-1011,Animal Scientists,1994.642672785114
