year,statefips,metrofips,geo_area,cicp_initiative,jobs
2019,0,00000,United States,Advanced and Traded Industries,12778509.555441082
2019,0,00000,United States,AgriNovus,288920.89694987104
2019,0,00000,United States,BioCrossroads,1414899.0331870208
2019,0,00000,United States,Conexus,5995044.244344559
2019,0,00000,United States,Finance,1051995.098894774
2019,0,00000,United States,Healthcare,385780.54170444515
2019,0,00000,United States,TechPoint,5305119.752428709
2019,00,14020,Bloomington MSA,Advanced and Traded Industries,6083.576784788088
2019,00,14020,Bloomington MSA,AgriNovus,157.54533453218133
2019,00,14020,Bloomington MSA,BioCrossroads,3591.0496353944645
2019,00,14020,Bloomington MSA,Conexus,5705.586149621211
2019,00,14020,Bloomington MSA,Finance,227.4816812482354
2019,00,14020,Bloomington MSA,Healthcare,270.22794997865844
2019,00,14020,Bloomington MSA,TechPoint,1068.6752195120298
2019,00,16980,Chicago-Naperville-Elgin MSA,Advanced and Traded Industries,360469.70679910044
2019,00,16980,Chicago-Naperville-Elgin MSA,AgriNovus,6776.4691657769445
2019,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,35840.74494946598
2019,00,16980,Chicago-Naperville-Elgin MSA,Conexus,166096.08546383595
2019,00,16980,Chicago-Naperville-Elgin MSA,Finance,39205.83158758157
2019,00,16980,Chicago-Naperville-Elgin MSA,Healthcare,11420.701034935402
2019,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,131435.87384968562
2019,00,17140,Cincinnati MSA,Advanced and Traded Industries,100609.70290724556
2019,00,17140,Cincinnati MSA,AgriNovus,1858.6917651334002
2019,00,17140,Cincinnati MSA,BioCrossroads,7476.847899193407
2019,00,17140,Cincinnati MSA,Conexus,55665.82978419902
2019,00,17140,Cincinnati MSA,Finance,10622.76487756154
2019,00,17140,Cincinnati MSA,Healthcare,3678.710626367699
2019,00,17140,Cincinnati MSA,TechPoint,25482.729420466516
2019,00,18020,Columbus MSA,Advanced and Traded Industries,10321.618697172054
2019,00,18020,Columbus MSA,AgriNovus,35.35317525655989
2019,00,18020,Columbus MSA,BioCrossroads,398.6170709686628
2019,00,18020,Columbus MSA,Conexus,11935.53869199395
2019,00,18020,Columbus MSA,Finance,139.1670135904524
2019,00,18020,Columbus MSA,Healthcare,17.020233388009203
2019,00,18020,Columbus MSA,TechPoint,989.3299022739519
2019,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,7045.701815364586
2019,00,21140,Elkhart-Goshen MSA,AgriNovus,62.51068864368311
2019,00,21140,Elkhart-Goshen MSA,BioCrossroads,204.62812623634446
2019,00,21140,Elkhart-Goshen MSA,Conexus,7887.978499177993
2019,00,21140,Elkhart-Goshen MSA,Finance,211.48575012749933
2019,00,21140,Elkhart-Goshen MSA,Healthcare,198.0889172042546
2019,00,21140,Elkhart-Goshen MSA,TechPoint,689.8332418403826
2019,00,21780,Evansville MSA,Advanced and Traded Industries,7540.504180831532
2019,00,21780,Evansville MSA,AgriNovus,276.0188251469357
2019,00,21780,Evansville MSA,BioCrossroads,649.4504062433797
2019,00,21780,Evansville MSA,Conexus,4971.22563932972
2019,00,21780,Evansville MSA,Finance,298.69090757898164
2019,00,21780,Evansville MSA,Healthcare,373.84383077702057
2019,00,21780,Evansville MSA,TechPoint,1433.3854916449864
