cicp_initiative,sector,sector_name,Year,statefips,metrofips,geo_area,entry_level_ed,jobs
Advanced and Traded Industries,0,,2019,0,00000,United States,Associate's degree,942724.3153011843
Advanced and Traded Industries,0,,2019,0,00000,United States,Bachelor's degree,13036278.381472114
Advanced and Traded Industries,0,,2019,0,00000,United States,Doctoral or professional degree,293850.14252926246
Advanced and Traded Industries,0,,2019,0,00000,United States,High school diploma or equivalent,19017319.201132134
Advanced and Traded Industries,0,,2019,0,00000,United States,Master's degree,113691.86298231572
Advanced and Traded Industries,0,,2019,0,00000,United States,No formal educational credential,3917984.6194976224
Advanced and Traded Industries,0,,2019,0,00000,United States,Postsecondary nondegree award,1882947.7776241908
Advanced and Traded Industries,0,,2019,0,00000,United States,"Some college, no degree",1035694.5663224496
Advanced and Traded Industries,0,,2019,00,14020,Bloomington MSA,Associate's degree,561.3289751201667
Advanced and Traded Industries,0,,2019,00,14020,Bloomington MSA,Bachelor's degree,4274.444907031946
Advanced and Traded Industries,0,,2019,00,14020,Bloomington MSA,Doctoral or professional degree,195.41667659497074
Advanced and Traded Industries,0,,2019,00,14020,Bloomington MSA,High school diploma or equivalent,8814.747625262678
Advanced and Traded Industries,0,,2019,00,14020,Bloomington MSA,Master's degree,19.837564978553086
Advanced and Traded Industries,0,,2019,00,14020,Bloomington MSA,No formal educational credential,1042.5445655338367
Advanced and Traded Industries,0,,2019,00,14020,Bloomington MSA,Postsecondary nondegree award,417.47074297767784
Advanced and Traded Industries,0,,2019,00,14020,Bloomington MSA,"Some college, no degree",307.9652481748054
Advanced and Traded Industries,0,,2019,00,16980,Chicago-Naperville-Elgin MSA,Associate's degree,26498.419014965795
Advanced and Traded Industries,0,,2019,00,16980,Chicago-Naperville-Elgin MSA,Bachelor's degree,474972.96509359666
Advanced and Traded Industries,0,,2019,00,16980,Chicago-Naperville-Elgin MSA,Doctoral or professional degree,8836.27312632501
Advanced and Traded Industries,0,,2019,00,16980,Chicago-Naperville-Elgin MSA,High school diploma or equivalent,640160.6502079463
Advanced and Traded Industries,0,,2019,00,16980,Chicago-Naperville-Elgin MSA,Master's degree,3297.1626850949915
Advanced and Traded Industries,0,,2019,00,16980,Chicago-Naperville-Elgin MSA,No formal educational credential,146054.42084205736
Advanced and Traded Industries,0,,2019,00,16980,Chicago-Naperville-Elgin MSA,Postsecondary nondegree award,64190.12289005701
