egr,cicp_initiative,new_est_type,new_est_type_desc,Total_Establishments,Total_Employment,Total_Wages,Avg_Wage
1,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,2231,6651,432723551,65055.13366411066
1,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,27,1405.6666666666667,81552324,58016.829973915104
1,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,10,659.5,31290709,47446.10917361637
1,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,9,763.0833333333334,33374852,43736.83782898329
1,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,172,1125,49729801,44204.267555555554
1,AgriNovus,2,Qualified - 21-50 Employees at start,7,285.75,14329665,50147.55905511811
1,AgriNovus,3,Qualified - 51-100 Employees at start,2,51.41666666666667,760144,14783.999999999998
1,BioX,1,Qualified New - 1-20 or fewer Employees at start,91,260.8333333333333,21623268,82900.70798722045
1,BioX,4,Qualified - 101+ Employees at start,1,95,2872965,30241.736842105263
1,Conexus,1,Qualified New - 1-20 or fewer Employees at start,649,2855,164772113,57701.3996497373
1,Conexus,2,Qualified - 21-50 Employees at start,20,1047.9166666666667,62624803,59761.2434194831
1,Conexus,3,Qualified - 51-100 Employees at start,7,302.4166666666667,15317472,50650.22430421603
1,Conexus,4,Qualified - 101+ Employees at start,8,668.0833333333334,30501887,45655.81189971311
1,Other,1,Qualified New - 1-20 or fewer Employees at start,4324,16974.083333333332,658574270,38793.100108498744
1,Other,2,Qualified - 21-50 Employees at start,205,5582.666666666667,175876178,31503.972653451157
1,Other,3,Qualified - 51-100 Employees at start,54,2632.5,95785900,36385.9069325736
1,Other,4,Qualified - 101+ Employees at start,14,1123.4166666666667,36045775,32085.84674727394
1,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,306,465.4166666666667,40286167,86559.35613249776
1,Total,1,Qualified New - 1-20 or fewer Employees at start,6668,23958.916666666668,1109031973,46283.10935038103
1,Total,2,Qualified - 21-50 Employees at start,234,7105.666666666667,262346247,36920.70840174508
1,Total,3,Qualified - 51-100 Employees at start,65,3319.25,127506603,38414.28123823153
1,Total,4,Qualified - 101+ Employees at start,23,1886.5,69420627,36798.636098595285
2,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,1593,6568.083333333333,405968417,61808.382201809254
2,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,35,2532.5833333333335,169289805,66844.71257938205
2,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,10,589.75,31154203,52826.117846545145
2,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,3,349.16666666666663,25135394,71986.80859188545
2,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,186,634.5,22881770,36062.6792750197
2,AgriNovus,2,Qualified - 21-50 Employees at start,7,119.66666666666667,2510246,20976.9860724234
2,AgriNovus,3,Qualified - 51-100 Employees at start,2,43.833333333333336,451048,10290.068441064639
2,BioX,1,Qualified New - 1-20 or fewer Employees at start,93,344.4166666666667,30251625,87834.38180498427
2,Conexus,1,Qualified New - 1-20 or fewer Employees at start,519,3396.0833333333335,184348559,54281.87146958506
2,Conexus,2,Qualified - 21-50 Employees at start,28,2301.5,152162094,66114.31414295024
2,Conexus,3,Qualified - 51-100 Employees at start,9,485.8333333333333,26572392,54694.46037735849
2,Conexus,4,Qualified - 101+ Employees at start,2,327.16666666666663,22884444,69947.3581253184
2,Other,1,Qualified New - 1-20 or fewer Employees at start,2967,12035.166666666666,486918623,40453.72560967166
2,Other,2,Qualified - 21-50 Employees at start,107,2330.5833333333335,63383911,27196.58640540637
