egr,cicp_initiative,Establishments,Employment,Avg_Wage,Counties
1,Total,6990,36270.333333333336,43235.51764986996,7
1,Other,4597,26312.666666666668,36719.393714054066,7
1,Advanced & Traded Industries,2277,9479.25,61070.18793680934,7
1,Conexus,684,4873.416666666667,56055.46922932234,7
1,TechPoint,306,465.4166666666667,86559.35613249776,7
1,AgriNovus,181,1462.1666666666667,44331.20483301037,7
1,BioX,92,355.8333333333333,68841.87259953162,6
2,Total,4874,27513,46774.532620942824,5
2,Other,3109,17169.75,37447.341108635825,5
2,Advanced & Traded Industries,1641,10039.583333333334,62905.20094625441,5
2,Conexus,558,6510.583333333333,59282.658594339984,5
2,TechPoint,236,533.8333333333334,92309.04277240086,5
2,AgriNovus,195,798,32384.791979949874,5
2,BioX,93,344.4166666666667,87834.38180498427,5
3,Total,6266,32790.5,40950.76814931154,11
3,Other,4031,22322.5,33973.988442154776,11
3,Advanced & Traded Industries,2068,9890,56542.58190091001,11
3,Conexus,676,6401,48847.27261365412,11
3,TechPoint,272,609.1666666666666,79681.83857729139,11
3,AgriNovus,249,1884.4166666666667,38785.310219785075,11
3,BioX,86,388.3333333333333,88349.6060085837,11
4,Total,3490,16100.166666666666,38630.49121644704,12
4,Other,2278,12134.583333333334,31780.92015245682,12
4,Advanced & Traded Industries,1054,3447,62404.784740353934,12
4,Conexus,332,1802.5833333333333,56614.45887846147,12
4,AgriNovus,210,954.9166666666666,38342.56985775373,12
4,TechPoint,189,486.9166666666667,81174.52883792573,10
4,BioX,85,358,85913.7094972067,9
5,Total,12322,60479,48590.228938970555,8
5,Other,7571,43287.75,39376.27444253859,8
5,Advanced & Traded Industries,4574,16732.166666666668,72178.27260864801,8
5,TechPoint,930,2016.1666666666667,107565.37521699595,8
5,Conexus,896,7840.666666666667,54211.345803928234,8
5,BioX,284,636.3333333333334,130277.17653221582,8
5,AgriNovus,253,1745.3333333333333,41981.317608861726,8
6,Total,1926,10685.5,39509.6971597024,9
6,Other,1286,7157.416666666667,33707.08556392553,9
6,Advanced & Traded Industries,553,2950,53521.758983050844,9
6,Conexus,209,1980,54303.98282828283,9
6,AgriNovus,124,1331.5833333333333,42268.52468865386,9
6,TechPoint,66,151.83333333333334,60373.35016465422,8
6,BioX,17,76.25,73118.75409836066,7
7,Total,1366,6489.083333333333,37729.293557127996,6
7,Other,970,5136.75,32516.775782352655,6
7,Advanced & Traded Industries,349,1191.75,59871.47052653661,6
7,Conexus,124,607.8333333333334,51111.9764189745,6
7,AgriNovus,62,232.08333333333334,35842.62118491921,6
7,TechPoint,39,53.833333333333336,72314.74922600618,5
7,BioX,13,41.166666666666664,55805.82995951417,3
8,Total,2427,12346.666666666666,40434.41322894169,8
8,Other,1648,8870.583333333334,33378.150102868094,8
8,Advanced & Traded Industries,720,3281.0833333333335,59173.82013054631,8
8,Conexus,210,1430.0833333333333,42671.20424217703,8
8,TechPoint,128,542.8333333333334,72022.95548050353,8
8,AgriNovus,80,380.6666666666667,36875.429947460594,8
8,BioX,34,104.83333333333333,70727.54213036566,6
9,Total,2246,10650,37353.263755868546,10
9,Other,1529,7910.416666666667,30960.361169344218,10
9,Advanced & Traded Industries,672,2635.4166666666665,56407.806735177866,10
9,Conexus,219,1706.5833333333333,49981.53405928024,10
9,TechPoint,93,173.16666666666666,83180.00962463907,10
9,AgriNovus,85,340,39416.05882352941,10
9,BioX,24,65.58333333333333,69172.97077509531,7
10,Total,2392,13763.25,44973.007029589666,6
10,Other,1565,9929.416666666666,39011.645598516196,6
10,Advanced & Traded Industries,793,3778,59621.766807834836,6
10,Conexus,222,2075.25,51451.723406818455,6
10,TechPoint,126,374.9166666666667,70755.77150477884,5
10,AgriNovus,60,834.0833333333334,55337.64212209012,6
10,BioX,32,88.08333333333333,92517.54777672658,4
11,Total,3376,17725.166666666668,38541.374185480156,9
11,Other,2267,13160.583333333334,32012.700450208005,9
11,Advanced & Traded Industries,1004,4302.916666666667,58254.17650818243,9
11,Conexus,260,2301,49884.807475010864,9
11,TechPoint,141,252.16666666666666,76299.14871116987,9
11,AgriNovus,139,552.5,44216.93755656108,9
11,BioX,41,90.58333333333333,102933.25114995401,8
12,Total,10334,63168.916666666664,51989.07268474606,1
12,Other,6683,46441.25,42955.63616397061,1
12,Advanced & Traded Industries,3549,16202.916666666666,76735.72391801888,1
12,TechPoint,755,2975.0833333333335,104155.0421556819,1
12,Conexus,732,5601.833333333333,52464.322037428225,1
12,BioX,193,701.5,130407.46685673557,1
12,AgriNovus,116,1599.3333333333333,45904.642559399756,1
