msa,cicp_initiative,new_est_type,new_est_type_desc,Total_Establishments,Total_Employment,Total_Wages,Avg_Wage
14020,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,404,1056.75,68766444,65067.98296664301
14020,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,6,269.91666666666663,11619395,43048.08274158691
14020,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,28,154.5,4215998,27278.983818770226
14020,AgriNovus,2,Qualified - 21-50 Employees at start,1,15.333333333333334,621174,40511.34782608695
14020,BioX,1,Qualified New - 1-20 or fewer Employees at start,26,63.25,4420743,69893.1699604743
14020,Conexus,1,Qualified New - 1-20 or fewer Employees at start,76,360.3333333333333,14597695,40495.39870490287
14020,Conexus,2,Qualified - 21-50 Employees at start,5,246.58333333333331,10506351,42607.7093612707
14020,Other,1,Qualified New - 1-20 or fewer Employees at start,862,4097.5,142676316,34820.33337400854
14020,Other,2,Qualified - 21-50 Employees at start,23,570.6666666666666,13347287,23388.9375
14020,Other,3,Qualified - 51-100 Employees at start,9,482,17372810,36043.174273858924
14020,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,94,176,16781493,95349.39204545454
14020,TechPoint,2,Qualified - 21-50 Employees at start,1,143.91666666666666,5348056,37160.782860451654
14020,Total,1,Qualified New - 1-20 or fewer Employees at start,1284,5192.666666666667,214156842,41241.0429451791
14020,Total,2,Qualified - 21-50 Employees at start,29,840.5833333333334,24966682,29701.614355110538
14020,Total,3,Qualified - 51-100 Employees at start,9,482,17372810,36043.174273858924
17140,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,89,270.4166666666667,14914216,55152.72480739599
17140,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,22,64.91666666666667,2127573,32773.910141206674
17140,BioX,1,Qualified New - 1-20 or fewer Employees at start,5,3.4166666666666665,301704,88303.60975609756
17140,Conexus,1,Qualified New - 1-20 or fewer Employees at start,37,176.75,8092368,45784.26025459689
17140,Other,1,Qualified New - 1-20 or fewer Employees at start,154,472.6666666666667,13553341,28673.767277856135
17140,Other,2,Qualified - 21-50 Employees at start,5,95.75,1559866,16291.028720626631
17140,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,9,10.5,957228,91164.57142857143
17140,Total,1,Qualified New - 1-20 or fewer Employees at start,252,762.4166666666666,29156145,38241.47513389442
17140,Total,2,Qualified - 21-50 Employees at start,5,95.75,1559866,16291.028720626631
18020,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,205,470.8333333333333,28135264,59749.605663716815
18020,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,3,46.916666666666664,4721703,100640.20603907638
18020,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,1,13.166666666666666,1039518,78950.7341772152
18020,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,21,77.5,2519420,32508.645161290322
18020,AgriNovus,2,Qualified - 21-50 Employees at start,1,6.583333333333333,259492,39416.50632911392
18020,AgriNovus,3,Qualified - 51-100 Employees at start,1,13.166666666666666,1039518,78950.7341772152
18020,BioX,1,Qualified New - 1-20 or fewer Employees at start,7,24.5,1707375,69688.77551020408
18020,Conexus,1,Qualified New - 1-20 or fewer Employees at start,47,149.16666666666666,7530340,50482.726256983246
18020,Conexus,2,Qualified - 21-50 Employees at start,3,46.916666666666664,4721703,100640.20603907638
18020,Conexus,3,Qualified - 51-100 Employees at start,1,13.166666666666666,1039518,78950.7341772152
18020,Other,1,Qualified New - 1-20 or fewer Employees at start,383,1563.3333333333333,54080003,34582.14498933902
18020,Other,2,Qualified - 21-50 Employees at start,22,523.75,16781059,32040.208114558474
18020,Other,3,Qualified - 51-100 Employees at start,4,180.91666666666669,3844615,21250.750806080145
18020,Other,4,Qualified - 101+ Employees at start,2,397.5,11566055,29096.993710691822
18020,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,34,59.91666666666667,5000727,83461.36856745479
18020,Total,1,Qualified New - 1-20 or fewer Employees at start,596,2055.6666666666665,83135857,40432.681692881466
18020,Total,2,Qualified - 21-50 Employees at start,26,577.25,21762254,37699.877003031615
18020,Total,3,Qualified - 51-100 Employees at start,5,194.08333333333334,4884133,25165.13353370545
18020,Total,4,Qualified - 101+ Employees at start,2,397.5,11566055,29096.993710691822
