msa,cicp_initiative,Establishments,Employment,Avg_Wage,Counties
14020,Total,1322,6515.25,39367.711292736276,2
14020,Other,894,5150.166666666667,33668.11682469823,2
14020,Advanced & Traded Industries,410,1326.6666666666667,60587.92914572864,2
14020,TechPoint,95,319.9166666666667,69172.85438916384,2
14020,Conexus,81,606.9166666666666,41353.60648084581,2
14020,AgriNovus,29,169.83333333333334,28473.6624141315,2
14020,BioX,26,63.25,69893.1699604743,2
17140,Total,257,858.1666666666666,35792.352689842686,3
17140,Other,159,568.4166666666666,26587.89033866002,3
17140,Advanced & Traded Industries,89,270.4166666666667,55152.72480739599,3
17140,Conexus,37,176.75,45784.26025459689,3
17140,AgriNovus,22,64.91666666666667,32773.910141206674,3
17140,TechPoint,9,10.5,91164.57142857143,3
17140,BioX,5,3.4166666666666665,88303.60975609756,3
18020,Total,629,3224.5,37627.091952240655,1
18020,Other,411,2665.5,32359.83830425811,1
18020,Advanced & Traded Industries,209,530.9166666666666,63839.25977083661,1
18020,Conexus,51,209.25,63520.00477897252,1
18020,TechPoint,34,59.91666666666667,83461.36856745479,1
18020,AgriNovus,23,97.25,39264.0616966581,1
18020,BioX,7,24.5,69688.77551020408,1
21140,Total,1620,11151.583333333334,49208.1869091833,1
21140,Other,971,5290.083333333333,34571.23460563003,1
21140,Advanced & Traded Industries,612,5757.416666666667,62863.08077986365,1
21140,Conexus,295,4213.25,62882.57520916157,1
21140,AgriNovus,76,351.1666666666667,34000.98338870432,1
21140,TechPoint,50,92.91666666666667,89697.16950672645,1
21140,BioX,18,58.833333333333336,68735.76203966005,1
21780,Total,2258,12461.916666666666,39861.034565308975,3
21780,Other,1527,9411.916666666666,33233.89837351585,3
21780,Advanced & Traded Industries,692,2957.8333333333335,60690.311714655996,3
21780,Conexus,145,1476.3333333333333,51332.819823888014,3
21780,TechPoint,112,196.91666666666666,74809.04104951334,3
21780,AgriNovus,50,259.4166666666667,53526.017346610985,3
21780,BioX,29,52.583333333333336,135260.51980982567,3
23060,Total,3853,19985.166666666668,41596.11245006713,3
23060,Other,2498,14390.833333333334,34770.8715965024,3
23060,Advanced & Traded Industries,1298,5426.666666666667,59497.20055282555,3
23060,Conexus,326,3114.5,48158.469096163106,3
23060,TechPoint,200,417.25,85275.11324146195,3
23060,AgriNovus,81,402.4166666666667,36205.351832677574,3
23060,BioX,56,186.91666666666666,119057.38207757469,3
23844,Total,6124,32083.916666666668,43487.9573618142,4
23844,Other,4022,23598.833333333332,36850.370427916634,4
23844,Advanced & Traded Industries,2022,8203.166666666666,62258.11064832687,4
23844,Conexus,602,4466.083333333333,56232.31951934021,4
23844,TechPoint,279,420,86439.99523809523,4
23844,AgriNovus,131,1065.5833333333333,46539.47321498397,4
23844,BioX,85,315.4166666666667,67637.74478203434,4
26900,Total,23051,125349.25,50130.58315865472,11
26900,Other,14542,91205,41086.08897538512,11
26900,Advanced & Traded Industries,8216,33110.333333333336,74357.52730768843,11
26900,TechPoint,1701,5006.166666666667,105616.93930818656,11
26900,Conexus,1660,13522.083333333334,53538.984648568694,11
26900,BioX,481,1341.9166666666667,130245.1376762094,11
26900,AgriNovus,391,3428.0833333333335,44185.66973770571,11
29020,Total,505,2313.75,34428.19665045921,1
29020,Other,373,1981.25,29992.326561514197,1
29020,Advanced & Traded Industries,119,300.3333333333333,62557.93784683685,1
29020,Conexus,34,87.75,52536.64957264957,1
29020,AgriNovus,23,69.5,40560.8345323741,1
29020,TechPoint,22,40.25,91407.35403726708,1
29020,BioX,5,4.916666666666667,8112.813559322033,1
29200,Total,1703,8797.166666666666,39697.88549343539,3
29200,Other,1085,6696.333333333333,31494.77027228832,3
29200,Advanced & Traded Industries,570,1977.75,67266.80975856402,3
29200,Conexus,139,1016,60865.899606299216,3
29200,TechPoint,135,403.5,82675.20693928128,2
29200,BioX,65,293.1666666666667,91378.5196134167,1
29200,AgriNovus,62,270.0833333333333,30368.897253933974,3
31140,Total,2353,13674.916666666666,45063.73384359442,5
31140,Other,1542,9867.916666666666,39096.97670058692,5
31140,Advanced & Traded Industries,779,3755.5,59713.74703767807,5
31140,Conexus,217,2068.0833333333335,51479.36511262441,5
31140,TechPoint,126,374.9166666666667,70755.77150477884,5
31140,AgriNovus,58,829.75,55411.27448026514,5
31140,BioX,32,88.08333333333333,92517.54777672658,4
33140,Total,679,3205.9166666666665,43128.14098931663,1
33140,Other,466,2091.5,37232.46665072914,1
33140,Advanced & Traded Industries,198,1078.4166666666667,54629.4088555753,1
33140,Conexus,51,279,59390.49462365591,1
33140,TechPoint,24,37.916666666666664,95632.87912087912,1
33140,AgriNovus,23,187.08333333333334,38123.6846325167,1
33140,BioX,6,35.416666666666664,80186.0611764706,1
34620,Total,633,3717.75,37168.091184183984,1
34620,Other,440,2863.3333333333335,32821.422118742725,1
34620,Advanced & Traded Industries,177,755.8333333333334,52722.93009922822,1
34620,Conexus,43,353.8333333333333,55186.48516250589,1
34620,TechPoint,32,56.833333333333336,71111.68328445748,1
34620,AgriNovus,19,146.75,43416.722316865416,1
34620,BioX,3,6.416666666666667,47230.753246753244,1
43780,Total,2040,10978.75,45244.16140270978,1
43780,Other,1353,8405.666666666666,40030.001943133604,1
43780,Advanced & Traded Industries,658,2536.5,62422.10289769367,1
43780,TechPoint,135,309.6666666666667,94863.93003229279,1
43780,Conexus,129,1186.8333333333333,50860.20615082152,1
43780,BioX,41,151.75,61271.73640856672,1
