cohort_year,cicp_initiative,New_Establishments,Initial_Employment,Initial_Wages
2017,Advanced & Traded Industries,2056,3322,165980489
2017,AgriNovus,159.647000627,355.2461881826667,9930663.302858217
2017,BioX,55.541,70.64958333333334,6254652.104
2017,Conexus,599,1453,56115027
2017,Other,4896,12132.25,305913911
2017,TechPoint,288,355.4166666666667,24422064
2017,Total,7045,15648.5,478727682
2018,Advanced & Traded Industries,2268,3696.25,211473808
2018,AgriNovus,193.905380341,447.97488762641666,15102356.565493723
2018,BioX,78.68,92.92516666666667,19552314.587
2018,Conexus,727,1481.8333333333333,65742509
2018,Other,5234,13542.25,357353515
2018,TechPoint,283,554.9166666666666,42252402
2018,Total,7607,17446.083333333332,575290281
2019,Advanced & Traded Industries,2515,4041.1666666666665,224933682
2019,AgriNovus,221.174397035,512.5088719005834,16746822.518540736
2019,BioX,117.724,126.74975,11490694.595999999
2019,Conexus,689,1872.3333333333333,76592251
2019,Other,5359,12587.916666666666,351274675
2019,TechPoint,386,413.4166666666667,31568010
2019,Total,7987,16838.666666666668,583500968
2020,Advanced & Traded Industries,2614,3815.4166666666665,257077833
2020,AgriNovus,162.306246137,428.2162570055833,16689644.2418559
2020,BioX,113.153,116.03399999999999,12056660.544
2020,Conexus,691,1710.0833333333333,79864975
2020,Other,5227,11792.583333333334,353217266
2020,TechPoint,448,451.5,38612525
2020,Total,7931,15816.583333333334,618071595
2021,Advanced & Traded Industries,3743,4858.75,316602529
2021,AgriNovus,233.366852198,434.35702239525,19206397.932280753
2021,BioX,178.179,188.7195,17641506.987
2021,Conexus,909,1908.5833333333333,89473403
2021,Other,6552,14940.083333333334,503144668
2021,TechPoint,719,820.3333333333334,73092506
2021,Total,10416,19996.25,828591837
2022,Advanced & Traded Industries,4530,6418.916666666667,458638390
2022,AgriNovus,265,634,25438808
2022,BioX,252,327.0833333333333,33095438
2022,Conexus,897,3066,155928675
2022,Other,6911,14636.5,546508771
2022,TechPoint,1059,826.5833333333334,83690606
2022,Total,11658,21338.833333333332,1022595070
